
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"Cheb hakim","Win Raki Zayda biha Hyati Damartiha (feat. Kacimou Nouni)"
2,"Mazouzi Sghir","Li Mrid Bina Rabbi Ychafih (feat. Tchikou22)"
3,"DYSTINCT","YAMA"
4,"Cheb Mustapha","Zahri Kan Ja Bnadem (feat. Manini Sahar)"
5,"Djam, TiMoh & Fouzi Torino","Yemma Le3ziza"
6,"Cheb Mirou","والفو العبودية"
7,"Mohamed Benchenet","Hawchna"
8,"Cheb Hichem TGV","9arawni Liyam - البرية لي لحقت"
9,"Cheb Hakim","Talgi Dek L Morceau (feat. Nouni Pianiste)"
10,"Cheb Momo & Djalil Palermo","Sahran lil"
11,"EMIN & JONY","Камин"
12,"Abdou Gambetta & Raouf Samourai","Rani out"
13,"cheb sofiane 31","عمري حسني عوني"
14,"ZXKAI & slxughter","NO BATIDÃO (Slowed)"
15,"GP Explorer, ElGrandeToto & La Mano 1.9","Thunes (feat. Zed)"
16,"Sofiane Asla","نصبر قلبي ونلهالك"
17,"Kader Tirigou","T9adret 3liya"
18,"Djalil Palermo","Denia (feat. Zuma Woed)"
19,"Cheb Nadir 22","3la Tayha Raki Tel3bi (feat. Manini Sahar)"
20,"Albert Brite","Wild"
21,"Desert Blues","Itel"
22,"Mert","Ajajaj (feat. Soolking)"
23,"Pause","Cage"
24,"Cheb Faycal","Waara hadi el waara"
25,"Trippie Redd & Diplo","Wish (Audiomack Trap Symphony Version)"
26,"Flenn","One Shot 9"
27,"SKAI ISYOURGOD","Stacks from All Sides"
28,"Otilia","Bilionera (Radio Edit)"
29,"Cheb Rami","Pour Le Moment Manich Nhas"
30,"Cheb Sghir & Yahia Parolier","Labgha 3ch9ak Hareb"
31,"FloyyMenor & Cris MJ","Gata Only"
32,"greco","Bandoleros (Production Music)"
33,"Cheb Momo","Hiya F Lfayda"
34,"SALIMA CHICA","SONGI SONGI"
35,"Shakira","Addicted to You"
36,"Cheb Aymen Sghir","Ya Ge3 Yhalbouha Fel Amana Y3almouha (feat. Manini Sahar)"
37,"Draganov","3DABI"
38,"Ali Amran","Dihin axir (feat. Melissa Sekhi)"
39,"Black Eyed Peas & Shakira","GIRL LIKE ME"
40,"Abdou Gambetta","Ana 3liha Nma3ni"
41,"Sofiane Asla","عشقك ادمان"
42,"dj Samir, DJ Zarek, DJ DUDA & LUNxdiE","Lua na Praça (Slowed)"
43,"Cheb Mirou & Rami Latinos","Ya Zahri Sket"
44,"Sayfalse, Cape & Jxndro","Montagem Rugada"
45,"Franglish & KeBlack","Génération impolie"
46,"Abraham Mateo & Ana Mena","Quiero Decirte"
47,"Easykid","Shiny"
48,"Kid Cudi","Maui Wowie"
49,"Taylor Swift","The Fate of Ophelia"
50,"Gala","Freed From Desire"
51,"Phobia Isaac","Malayin"
52,"Cheb Faycal","Galbek houa lbanka (Live)"
53,"The Stranglers","Golden Brown"
54,"Lana Del Rey","Cinnamon Girl"
55,"L'vibe","VOLCAN #2 (feat. BLADE)"
56,"bxkq & PXLWYSE","TE CONOCÍ (Super Slowed)"
57,"Houari Djazira","Nti Tebghini w Ana Nebghik"
58,"Cheb Âmrou","C'est toi que jaime"
59,"Nahide Babashli","Anlasana"
60,"Mous-K","Cole Palmer"
61,"Amirou_19","من قلبي بغيتها (feat. Mourad sghir)"
62,"Charli xcx & Caroline Polachek","Everything is romantic featuring caroline polachek"
63,"Cheb Ali Madjadji","حلفت عاهد منك منعشقش حد"
64,"Andromeda & elysian.","MONTAGEM COMA"
65,"Mc Herculano","Nuthin' but a G thang"
66,"Delarue, Morad & ElGrandeToto","Obligación"
67,"Tkandz & CXSPER","Now or Never"
68,"CEO Blessed DJ Savage liquid FM","nanotechnology mind control"
69,"Cheb Faycal","Jabatni lkabeda (Live)"
70,"Cheb Reda","La Blessure"
71,"Cheb Hamidou","Twahchet Nossii Lanti Ghalta Na Ng3oud Ghir Nghlat"
72,"Cheb Fethi Yeux Vert","Bras Ma Nazdam LDarkom"
73,"Rohff & Indila","Thug mariage (feat. Indila)"
74,"MDP","Fake Love (Orchestral Version)"
75,"Skorap","MVR"
76,"King of Yemeni art","الوفاء ماتغير - سالم المسعودي جلسة حصرية"
77,"bxkq & PXLWYSE","TE CONOCÍ (Slowed)"
78,"Anas","Sugar Daddy (feat. Cheb Faycal)"
79,"Werenoi","Poney"
80,"GIMS","Habibi (Pilule Bleue)"
81,"Cheb Mourad","Habibi Chou Ghayarek"
82,"Coolzone","Nasty Jamz"
83,"Furacão 2000","Mimosa 2000"
84,"Cheb Sifou & Redouane Aroussi","Galbi W Galbak Machi Kif Kif"
85,"Stromae","Papaoutai"
86,"FloyyMenor, Ozuna & Anitta","Gata Only (Remix)"
87,"Cheb Mouiz","Saafet Galbi (feat. Ilyes La Puissance)"
88,"Dj Navega","Alone"
89,"Semicenk","Sen Kaldın"
90,"cheb abdou bel abbes","Darbtak Khalat Atar"
91,"TUL8TE","Heseeny"
92,"Cheb Hamidou","Galouli ghir Mewalfeha"
93,"Mounim Slimani","Jedi ou Jedek"
94,"ZXKAI & slxughter","NO BATIDÃO"
95,"Naza & SDM","Tout donner"
96,"The Stranglers","Golden Brown (Slowed Down Version)"
97,"Cheba Warda","Drabte 3achka 3achit Laska"
98,"Draganov","Tach"
99,"Didine Canon 16","Yusuf Rais"
100,"Flenn","Honey"
101,"Chemsou Freeklane","El Achk Li Fat"
102,"Cheb Momo","Atiteha l'amour عطيتها"
103,"Amr Diab","Khalik Maaya"
104,"TRAP KING","Frank Lucas"
105,"QMIIR","SEMPERO (Super Slowed)"
106,"Cheb Mehdi","قرعة فطابلة"
107,"La Fouine & L2B","Flying Blue"
108,"Mohamed Benchenet","Nti Sahara"
109,"KHAOS, Jmilton & Mc Jajau","Montagem Supersonic (Slowed)"
110,"Oria","Toi jamais"
111,"Trap king & Djalil Palermo","Bizzare"
112,"Didine Canon 16","SAYGA"
113,"Kader Tirigou","Rani Ntmach W Nafchal"
