
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"Taylor Swift","The Fate of Ophelia"
2,"Abraham Mateo & Ana Mena","Quiero Decirte"
3,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast","Golden"
4,"Roze Oficial, Max Carra, Valen & RAMKY EN LOS CONTROLES","Tu jardín con enanitos"
5,"Rels B","TU VAS SIN (fav)"
6,"Kidd Voodoo & JC Reyes","Me Mareo"
7,"Alex Warren","Ordinary"
8,"Jere Klein, Katteyes & Mateo on the Beatz","TODO KE VER"
9,"4 Non Blondes","What's Up?"
10,"Charli xcx & Caroline Polachek","Everything is romantic featuring caroline polachek"
11,"Lola Young","Messy"
12,"Alleh & Yorghaki","capaz (merengueton)"
13,"Chappell Roan","Good Luck, Babe!"
14,"The La Planta, Flor Alvarez & Pushi","Mil Preguntas"
15,"Pixies","All I Think About Now"
16,"Kybba, Sean Paul, Ryan Castro & Busy Signal","Ba Ba Bad Remix"
17,"Teddy Swims","Lose Control"
18,"cjnobeat, MC Morena & MC GW","Até Quebrar a Cama 2.0"
19,"Cazzu","Con Otra"
20,"Trippie Redd & Diplo","Wish (Audiomack Trap Symphony Version)"
21,"W Sound, Beéle & Ovy On the Drums","La Plena (W Sound 05)"
22,"Benson Boone","Beautiful Things"
23,"Airbag","Nunca Lo Olvides"
24,"Miranda! & Santiago Motorizado","Extraño"
25,"El Bogueto & Yung Beef","Cuando No Era Cantante"
26,"Furacão 2000","Mimosa 2000"
27,"Gotye","Somebody That I Used to Know (feat. Kimbra)"
28,"Keane","Somewhere Only We Know"
29,"Yes","Owner of a Lonely Heart"
30,"Hector Bambino EL Father y Wisin & Yandel","El Teléfono"
31,"Foreigner","I Want To Know What Love Is (Remastered)"
32,"Camila Moreno","Hablando a tu corazón"
33,"Tim Sanders","Do To Me"
34,"Beéle","no tiene sentido"
35,"Blessd, Anuel AA, Kris R. & Luar La L","YOGURCITO REMIX (feat. ROA, Yan Block)"
36,"Cristian Marchi","Fast Cars & Superstars (feat. Reverend Haus)"
37,"Sebastián Yatra, Lucho RK, Belinda & Gente de Zona","CANCIÓN PARA REGRESAR"
38,"Easykid","Shiny"
39,"Miley Cyrus","Secrets (feat. Lindsey Buckingham & Mick Fleetwood)"
40,"George Michael","Careless Whisper"
41,"Martin Moreno & kid wazi","Session Guaratech #1 Kid Wazi"
42,"Elia y Elizabeth","Soy Una Nube"
43,"David Guetta, Teddy Swims & Tones And I","Gone Gone Gone"
44,"Luck Ra","TU MISTERIOSO ALGUIEN (CUARTETO) [feat. Miranda!]"
45,"Empire Of The Sun","We Are The People"
46,"Young Cister & Kreamly","QLOO*"
47,"Cacho Castaña","Septiembre Del '88"
48,"M83","Outro"
49,"Maria Becerra, TINI & XROSS","HASTA QUE ME ENAMORO"
50,"Los Ángeles Azules, Luck Ra & Yami Safdie","Si Sabes Contar"
51,"Emanero, David Bisbal & Luciano Pereyra","La peligrosa"
52,"Gala","Freed From Desire"
53,"Don Omar","Anda Sola"
54,"EMIN & JONY","Камин"
55,"George Harrison","Beware of Darkness (2014 Remaster)"
56,"Creedence Clearwater Revival","Have You Ever Seen The Rain"
57,"Alannah Myles","Black Velvet"
58,"Radiohead","Creep"
59,"MC Tairon & Mc Vitin Da Igrejinha","Baile no Morro (Mixed)"
60,"Tyler, The Creator","Sugar On My Tongue"
61,"Lady Gaga","The Dead Dance"
62,"The Hollies","Long Cool Woman (In a Black Dress)"
63,"The Police","Every Breath You Take"
64,"Bonnie Tyler","Total Eclipse of the Heart"
65,"Crowded House","Don't Dream It's Over"
66,"Dj Plaga & mamiyosoyelth","Perreo Th 7"
67,"Starship","Nothing's Gonna Stop Us Now"
