
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"Olivia Dean","Man I Need"
2,"Taylor Swift","The Fate of Ophelia"
3,"sombr","12 to 12"
4,"RAYE","WHERE IS MY HUSBAND!"
5,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast","Golden"
6,"Ed Sheeran","A Little More"
7,"Disco Lines & Tinashe","No Broke Boys"
8,"David Guetta, Teddy Swims & Tones And I","Gone Gone Gone"
9,"Olivia Dean","Nice To Each Other"
10,"Keli Holiday","Dancing2"
11,"Vance Joy","Divine Feelings"
12,"Olivia Dean","So Easy (To Fall In Love)"
13,"Taylor Swift","Opalite"
14,"Yes Boone","All I Really Want"
15,"The Kid LAROI","A COLD PLAY"
16,"Lady Gaga","The Dead Dance"
17,"Tkandz & CXSPER","Now or Never"
18,"Alex Warren","Eternity"
19,"Justin Bieber","DAISIES"
20,"Tate McRae","TIT FOR TAT"
21,"Chappell Roan","Good Luck, Babe!"
22,"Charli xcx & Caroline Polachek","Everything is romantic featuring caroline polachek"
23,"Billie Eilish","when the party's over"
24,"Fontaines D.C.","Starburster"
25,"sombr","back to friends"
26,"4 Non Blondes","What's Up?"
27,"Kid Cudi","Maui Wowie"
28,"Trippie Redd & Diplo","Wish (Audiomack Trap Symphony Version)"
29,"sombr","undressed"
30,"Guy Sebastian","Get It Done"
31,"Tate McRae","Just Keep Watching (From F1® The Movie)"
32,"Calvin Harris & Jessie Reyez","Ocean"
33,"Alex Warren","Ordinary"
34,"Sabrina Carpenter","Tears"
35,"DJ Seinfeld & Confidence Man","The Right"
36,"Archie Roach","There Is a Garden"
37,"Sara Landry","Girlboss"
38,"Furacão 2000","Mimosa 2000"
39,"Benson Boone","Mr Electric Blue"
40,"Ed Sheeran","Sapphire"
41,"Fred again.. & Amyl and The Sniffers","you're a star"
42,"Nicki Minaj","Beez In The Trap (feat. 2 Chainz)"
43,"Ninajirachi","Infohazard"
44,"Alex Warren & Jelly Roll","Bloodline"
45,"Ecchi.mp4","Rather Be in Oakland (feat. Karri)"
46,"Mel Blue","Be That to You"
47,"Ed Sheeran","Camera"
48,"Fred again.., Skepta & PlaqueBoyMax","Victory Lap"
49,"Sabrina Carpenter","When Did You Get Hot?"
50,"Tame Impala","Dracula"
51,"Sonny Fodera, D.O.D & Poppy Baskcomb","Think About Us"
52,"GIVĒON","Dancing in the Smoke (From the Netflix Series "Nobody Wants This" Season 2)"
53,"Baker Boy & Pardyalone","RUNNING LOW"
54,"Lost Frequencies & The Temper Trap","Sweet Disposition (a moment, a love)"
55,"Lola Young","Messy"
56,"Ravyn Lenae","Love Me Not"
57,"Cassandra Coleman","Bite My Tongue (From the Netflix Series "Nobody Wants This" Season 2)"
58,"The Rions","Welcome to the Conversation"
59,"Rihanna","Stay (feat. Mikky Ekko)"
60,"Dermot Kennedy","Melodies (From the Netflix Series "Nobody Wants This" Season 2)"
61,"Tame Impala","My Old Ways"
62,"KATSEYE","Gabriela"
63,"Benson Boone","Mystical Magical"
64,"Sabrina Carpenter","Manchild"
65,"Balu Brigada","Sideways"
66,"Breaking Rust","Livin' On Borrowed Time"
67,"Sammy Virji, Spice & Flowdan","Match My Mood"
68,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, Kevin Woo, samUIL Lee & KPop Demon Hunters Cast","Soda Pop"
69,"Joji","PIXELATED KISSES"
70,"The Goo Goo Dolls","Iris"
71,"Pitbull","Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)"
72,"EsDeeKid & Rico Ace","Phantom"
73,"Lady Gaga","How Bad Do U Want Me"
74,"Benson Boone","Beautiful Things"
75,"Jelly Roll","Liar"
76,"Tyler, The Creator","Sugar On My Tongue"
77,"Lewis Capaldi","Survive"
78,"oskar med k & Khalid","nobody (make me feel)"
79,"ROSÉ & Bruno Mars","APT."
80,"Journey","Don't Stop Believin'"
81,"BLOW RECORDS & Mc Jhey","Predador de Perereca"
82,"CHRYSTAL & NOTION","The Days (NOTION Remix)"
83,"Teddy Swims","Lose Control"
84,"Shaboozey","A Bar Song (Tipsy)"
85,"Teddy Swims","The Door"
86,"EMIN & JONY","Камин"
87,"Doja Cat","Gorgeous"
88,"oskar med k","Make Me Feel"
89,"CYRIL & maryjo","Still Into You"
90,"Teddy Swims","Bad Dreams"
91,"New Radicals","You Get What You Give"
92,"Empire Of The Sun","We Are The People"
93,"Chappell Roan","Pink Pony Club"
94,"The Killers","Mr. Brightside"
95,"Creedence Clearwater Revival","Have You Ever Seen The Rain"
96,"Mary J. Blige","Family Affair"
97,"PlaqueBoyMax, Rakai & BunnaB","TURN UP"
98,"Noah Kahan & Gracie Abrams","Everywhere, Everything"
99,"Gracie Abrams","That’s So True"
100,"Kehlani","Folded"
101,"Sam Fender","Rein Me In"
102,"Yeat","COMË N GO"
103,"Dean Lewis","I Hate That It's True"
104,"Gotye","Somebody That I Used to Know (feat. Kimbra)"
105,"Nerve","MOTION SICKNESS"
106,"EsDeeKid","4 Raws"
107,"Ellie Goulding","Anything Could Happen"
108,"Playlunch","Keith"
109,"Ocean Alley","Drenched"
110,"Alannah Myles","Black Velvet"
111,"Taylor Swift","Wood"
112,"George Harrison","Beware of Darkness (2014 Remaster)"
113,"Yes Boone","Best I've Found"
114,"Ariana Grande","twilight zone"
115,"Gunna","wgft (feat. Burna Boy)"
116,"MGMT","Kids"
117,"Portishead","Roads"
118,"Stereophonics","Dakota"
119,"Empire Of The Sun","Walking On A Dream"
120,"Starship","Nothing's Gonna Stop Us Now"
121,"Leona Lewis","Bleeding Love"
122,"Scorpions","Wind of Change"
123,"Joey Valence & Brae","BUST DOWN (feat. TiaCorine)"
124,"Flo Rida","Low (feat. T-Pain)"
125,"Foreigner","I Want To Know What Love Is (Remastered)"
126,"The Last Dinner Party","Second Best"
127,"Gigi Perez","Sailor Song"
128,"Ruel","Wild Guess"
129,"The Verve","Bitter Sweet Symphony"
130,"Yes","Owner of a Lonely Heart"
131,"Gorillaz","Feel Good Inc"
132,"Timbaland, Keri Hilson & D.O.E.","The Way I Are"
133,"Shaboozey & Myles Smith","Blink Twice"
134,"The Cranberries","Dreams"
135,"Baylee Lynn","That's What I'll Be (From the Netflix Series "Nobody Wants This" Season 2)"
136,"Hozier","Too Sweet"
137,"Pitbull & Ne-Yo","Time of Our Lives"
