
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"Taylor Swift","The Fate of Ophelia"
2,"Pizzera & Jaus","Zweifelturm"
3,"David Guetta, Teddy Swims & Tones And I","Gone Gone Gone"
4,"sombr","undressed"
5,"Roy Black","Geträumt"
6,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast","Golden"
7,"Ed Sheeran","Sapphire"
8,"Lewis Capaldi","Survive"
9,"Charli xcx & Caroline Polachek","Everything is romantic featuring caroline polachek"
10,"Disco Lines & Tinashe","No Broke Boys"
11,"Trippie Redd & Diplo","Wish (Audiomack Trap Symphony Version)"
12,"Abraham Mateo & Ana Mena","Quiero Decirte"
13,"Tkandz & CXSPER","Now or Never"
14,"Lady Gaga","The Dead Dance"
15,"Hurts & Purple Disco Machine","Wonderful Life '25 (Extended)"
16,"NEIKED & Portugal. The Man","Glide"
17,"Olivia Dean","Man I Need"
18,"Volbeat","Time Will Heal"
19,"Amy Macdonald","Is This What You've Been Waiting For?"
20,"Furacão 2000","Mimosa 2000"
21,"Alex Warren","Ordinary"
22,"Nikbinler","Eylülzede"
23,"Kid Cudi","Maui Wowie"
24,"Nicki Minaj","Beez In The Trap (feat. 2 Chainz)"
25,"4 Non Blondes","What's Up?"
26,"Milky Chance","Camouflage"
27,"Icegergert & Zivert","БАНК"
28,"Michael Patrick Kelly","The One"
29,"RAYE","WHERE IS MY HUSBAND!"
30,"Lewis Capaldi","Something In The Heavens"
31,"Lemo","1000 zu 1"
32,"Sabrina Carpenter","Manchild"
33,"Miley Cyrus","End of the World"
34,"Calum Scott","You Are The Reason"
35,"Lola Young","Messy"
36,"DYSTINCT","YAMA"
37,"oskar med k","Make Me Feel"
38,"KATO","Turn The Lights Off (feat. Jon)"
39,"Shakira","Addicted to You"
40,"Chip & Dale","Tätowierer"
41,"AKORGO BOYS","ДЫК КЫН ДЫШ"
42,"Rea Garvey","Take This Heart"
43,"sombr","12 to 12"
44,"Aerosmith & YUNGBLUD","My Only Angel"
45,"BIBIZA & Ikkimel","Galopp!"
46,"sombr","back to friends"
47,"HUGEL, Topic & Arash","I Adore You (feat. Daecolm)"
48,"Thorsteinn Einarsson","Oh Love"
49,"KAMRAD","Be Mine"
50,"Josh.","Ich tanze meinen Namen"
51,"Seiler und Speer","In ana aundan Sproch"
52,"Debbie","All Night Long"
53,"The Goo Goo Dolls","Iris"
54,"EMIN & JONY","Камин"
55,"CEO Blessed DJ Savage liquid FM","nanotechnology mind control"
56,"SABI & MIA BOYKA","Базовый минимум"
57,"Lady Gaga","Always Remember Us This Way"
58,"Chappell Roan","Good Luck, Babe!"
59,"The Killers","Mr. Brightside"
60,"Sayfalse, Cape & Jxndro","Montagem Rugada"
61,"Albert Brite","Wild"
62,"EsDeeKid & Rico Ace","Phantom"
63,"Folkshilfe & AVEC","Home / Dahoam"
64,"RIAN","Verwandtschaftstreffen"
65,"Semicenk","Sen Kaldın"
66,"BUNT. & Mapei","TRIPPIN"
67,"Fontaines D.C.","Starburster"
68,"GroßstadtEngel","Gute Laune"
69,"RIAN","Hausparty"
70,"David Guetta & Sia","Beautiful People"
71,"Gracie Abrams","That’s So True"
72,"ClockClock","Adore Ya"
73,"BLACKPINK","JUMP"
74,"Mary J. Blige","Family Affair"
75,"Tom Odell","Another Love"
76,"Ravyn Lenae","Love Me Not"
77,"Jakone & Kiliana","Жиганская"
78,"The Cranberries","Dreams"
79,"Yeat","COMË N GO"
80,"Anne Mosters (aus The Voice of Germany 2025) & Rachel Leggio (aus The Voice of Germany 2025)","Redbone (aus "The Voice of Germany 2025") [Live]"
81,"Ricchi & Poveri","Sarà Perché Ti Amo"
82,"brux XTN","Paid to Exist"
83,"Ваня Дмитриенко & Аня Пересильд","Силуэт (из к/ф «Алиса в Стране Чудес»)"
84,"Folkshilfe","Weit weg"
85,"Levi Heron","The Glen (Levi Heron Edit)"
86,"Volbeat","Cape of Our Hero"
87,"Parov Stelar","Brass Devil"
88,"Felix Jaehn & JHart","PRIDE"
89,"panicbaby","Claw Marks"
90,"MOLIY, Silent Addy, Skillibeng & Shenseea","Shake It To The Max (FLY) [Remix]"
91,"Coldplay, Little Simz, Burna Boy, Elyanna & TINI","WE PRAY"
92,"Tyler, The Creator","Sugar On My Tongue"
93,"Easykid","Shiny"
94,"Bruce Springsteen","Waitin' On a Sunny Day"
95,"FloyyMenor & Cris MJ","Gata Only"
96,"Calvin Harris & Clementine Douglas","Blessings"
97,"LoVibe.","a good man with a broken heart"
98,"ROSÉ & Bruno Mars","APT."
99,"Ed Sheeran & Elton John","Merry Christmas"
100,"Bilderbuch","Maschin"
101,"ZXKAI & slxughter","NO BATIDÃO (Slowed)"
102,"PlaqueBoyMax, Rakai & BunnaB","TURN UP"
103,"Keane","Somewhere Only We Know"
104,"LINKIN PARK","The Emptiness Machine"
105,"Nico Santos","Ray Of Light"
106,"Unique II","Break My Stride"
107,"BasBariTenori","Ternjice (feat. Willi Resetarits)"
108,"2hollis","poster boy"
109,"Çağla & Doğu Swag","Seni Düşündüm"
110,"Santigold","Disparate Youth"
111,"Portishead","Roads"
112,"The Stranglers","Golden Brown"
113,"Lady Gaga & Bruno Mars","Die With A Smile (Acoustic)"
114,"Sting","Shape Of My Heart"
115,"Seiler und Speer","Mama Leone (Live)"
116,"New Order","Blue Monday"
117,"Jazeek","AKON"
118,"Albert Brite","Я хочу каждый твой атом"
119,"Pixies","Where Is My Mind?"
120,"Bonnie Tyler","Total Eclipse of the Heart"
121,"SKAI ISYOURGOD","Stacks from All Sides"
122,"Sean Paul & Keyshia Cole","(When You Gonna) Give It Up to Me (Radio Version)"
123,"Journey","Don't Stop Believin'"
124,"Tate McRae","you broke me first"
125,"Yasmo & die Klangkantine","Geh ma net"
126,"Klangkarussell","Shipwreck"
127,"Billie Eilish","BIRDS OF A FEATHER"
128,"Glockenbach & Tom Walker","Home"
129,"SDP, Sido & Esther Graf","Mama hat gesagt"
130,"Chappell Roan","The Subway"
131,"Rihanna","Stay (feat. Mikky Ekko)"
132,"Sweetbox","Everything's Gonna Be Alright"
133,"Lord Huron","The Night We Met"
134,"EsDeeKid, fakemink & Rico Ace","LV Sandals"
135,"Calum Scott & Whitney Houston","I Wanna Dance With Somebody (Who Loves Me)"
136,"Foreigner","I Want To Know What Love Is (Remastered)"
137,"Benson Boone","Sorry I'm Here For Someone Else"
138,"Guns N' Roses","Sweet Child O' Mine"
139,"Tame Impala","Dracula"
140,"Gotye","Somebody That I Used to Know (feat. Kimbra)"
141,"Münchener Freiheit","Ohne Dich (schlaf' ich heut' Nacht nicht ein)"
142,"GIMS","Habibi (Pilule Bleue)"
143,"The Gardener & The Tree","mistaken for a while (OST Hundertdreizehn)"
144,"Benson Boone","Beautiful Things"
145,"Sabrina Carpenter","Tears"
146,"Döf","Codo"
147,"Hansi Dujmic","Ausgeliefert"
148,"Ed Sheeran","Perfect"
149,"Empire Of The Sun","We Are The People"
150,"Tate McRae","Just Keep Watching (From F1® The Movie)"
