
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"Çağla & Doğu Swag","Seni Düşündüm"
2,"Semicenk","Sen Kaldın"
3,"melih","Keşkelerle Süslenen Sonbaharlar / Elvedayla Süslenmiş Bir Yarının Dünündeyim"
4,"BLOK3","napıyosun mesela ?"
5,"Elvin Nasir","Qal Sənə Qurban (feat. Nazpəri Dostəliyeva)"
6,"Rauf Tagiyev","Keyvan (Etrin duyulur havada)"
7,"Farid Gasanov","Eyni"
8,"Trippie Redd & Diplo","Wish (Audiomack Trap Symphony Version)"
9,"Norm Ender & Ebru Gündeş","Bir Çift Göz"
10,"Demet Özdemir","Ah Yar"
11,"Sunnatillo Do'stov","Alyonushka"
12,"Sahipsiz Şarkılar","Gitme bu gece"
13,"BLOK3","git"
14,"Sherine","بتمنى انساك"
15,"SKAI ISYOURGOD","Stacks from All Sides"
16,"AKORGO BOYS","ДЫК КЫН ДЫШ"
17,"Furacão 2000","Mimosa 2000"
18,"Charli xcx & Caroline Polachek","Everything is romantic featuring caroline polachek"
19,"Zmeex","Shadow"
20,"EMIN & JONY","Камин"
21,"Lvbel C5 & AKDO","ANLADIM SENİ"
22,"Canbay & Wolker & Aleyna Kalaycıoğlu","EPEY ZAMAN GEÇTİ"
23,"Brada","Voodoo"
24,"SABI & MIA BOYKA","Базовый минимум"
25,"FloyyMenor & Cris MJ","Gata Only"
26,"Cem Adrian","Ben Seni Çok Sevdim"
27,"Nikbinler","Eylülzede"
28,"Billie Eilish","WILDFLOWER"
29,"Ragga Oktay","Gitme Kal (feat. Yıldız Tilbe)"
30,"CEO Blessed DJ Savage liquid FM","nanotechnology mind control"
31,"Pikapta Raks","Toroslu Yollar"
32,"Gala","Freed From Desire"
33,"Ahmet Kaya","Herkes Kendi İşine"
34,"İskender Paydaş","Batsın Bu Dünya (feat. BBD Korosu)"
35,"Tyler, The Creator","Sugar On My Tongue"
36,"Tim Duzit","Kat Slater (Native Remedies Remix)"
37,"GIMS","Habibi (Pilule Bleue)"
38,"Inna","Caliente (Radio Edit)"
39,"Shakira","Addicted to You"
40,"Sting","Shape Of My Heart"
41,"Nuri Serinlendirici","Kas (Live)"
42,"Ati242","Her Nerdeysen"
43,"Ahmet Kaya","Şiire Gazele"
44,"Selda Bağcan","Sürgün"
45,"Semicenk","Çıkmaz Bir Sokakta"
46,"Empire Of The Sun","We Are The People"
47,"asanrap","вот как то так (Slowed)"
48,"Namiq Qasımov","Bəsimsən"
49,"ELMAN","С неба (feat. TRIDA)"
50,"Fasıl-ı Jazz","Yekte"
51,"Cəlal Əhmədov","Gülüm"
52,"The Stranglers","Golden Brown"
53,"Cem Yıldız","Mânâ"
54,"Huseyn Jafar","Apar"
55,"Albert Brite","Wild"
56,"Poizi","Y"
57,"Arlene MC","Mamazota"
58,"Хизри Далгатов","Любовь моя милая"
59,"Mehin","Döngə"
60,"Niyaməddin Musayev","Sənsiz Səhər Açılmayır"
61,"Coolzone","Nasty Jamz"
62,"NEMO OFFİCİAL","Mənzərəsən"
63,"Lana Del Rey","Cinnamon Girl"
64,"MOLIY, Silent Addy, Skillibeng & Shenseea","Shake It To The Max (FLY) [Remix]"
65,"Elmira Rəhimova","İntizar"
66,"Aikerim Kalaubaeva","Жүрек неге жылайды"
67,"Reza $adeghi","Jaadeh chalus"
68,"Ceylin Arslan","Senin Olsun"
