
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"Icegergert & Zivert","БАНК"
2,"Ваня Дмитриенко & Аня Пересильд","Силуэт (из к/ф «Алиса в Стране Чудес»)"
3,"Albert Brite","Wild"
4,"KATO","Turn The Lights Off (feat. Jon)"
5,"SABI & MIA BOYKA","Базовый минимум"
6,"Trippie Redd & Diplo","Wish (Audiomack Trap Symphony Version)"
7,"Бонд с кнопкой","Сидр"
8,"Charli xcx & Caroline Polachek","Everything is romantic featuring caroline polachek"
9,"Ваня Дмитриенко","Шёлк"
10,"ELMAN","С неба (feat. TRIDA)"
11,"Jakone & Kiliana","Жиганская"
12,"Sayfalse, Cape & Jxndro","Montagem Rugada"
13,"MONA","Воин и дракон (Из к/с «Ониксовый шторм»)"
14,"Jeny Vesna","Живи как хочешь"
15,"Линочка Ли","Любить тебя"
16,"Dan Korshunov & Кэнни","Сколько их было"
17,"Златенция","Маленькой девочкой"
18,"АлСми","Базовый минимум"
19,"Abraham Mateo & Ana Mena","Quiero Decirte"
20,"Garik Garik","Судьба капканы расставит, а я их вновь обойду"
21,"Jeny Vesna","Отъебитесь"
22,"Albert Brite","Я хочу каждый твой атом"
23,"Shannon Jae Prior","The Usual (feat. Jesse Scott)"
24,"Gorod 312","Фонари"
25,"Furacão 2000","Mimosa 2000"
26,"CEO Blessed DJ Savage liquid FM","nanotechnology mind control"
27,"Doppiez","Почему"
28,"Crash Adams","New Heart"
29,"ZXKAI & slxughter","NO BATIDÃO (Slowed)"
30,"Icegergert & SKY RAE","Наследство"
31,"tuborosho","shalawa"
32,"NAVAI","Суперзвезда"
33,"Tyler, The Creator","Sugar On My Tongue"
34,"Don Toliver","Lose My Mind (feat. Doja Cat) [From F1® The Movie]"
35,"Monetochka","Каждый раз"
36,"Alex Warren","Ordinary"
37,"Shakira","Addicted to You"
38,"BLACKPINK","JUMP"
39,"HOLLYFLAME","Красками"
40,"hatikoali","GO!"
41,"Shouse","Only You"
42,"ivanzolo2004","Баобаб"
43,"Mr. Menace & Sir Soaked","S.I.A.S.D."
44,"Musicairecords","Riki Tiki"
45,"gotlibgotlibgotlib","аромат"
46,"Alfa & Manu Chao","A me mi piace"
47,"Beautiful Boys","Нежная Любовь"
48,"MONA","Иордан"
49,"MACAN & Три дня дождя","Здравствуй"
50,"AY YOLA","Homay"
51,"tima ishet svet","волна"
52,"DJ Asul","Matadora"
53,"NAVAI & MONA","Есенин"
54,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast","Golden"
55,"Akmal'","Ты мне покажи..."
56,"Alla Pugacheva","Девочка секонд-хенд"
57,"тёмный принц","овердоз"
58,"Ara Martirosyan","Карусели"
59,"Lesha Svik, NILETTO & Mary Gu","Аритмия"
60,"Mari Sa","Крылья"
61,"a8p4s","Не видно"
62,"Albert Brite","Wild (Sped Up)"
63,"sombr","back to friends"
64,"Sting","Shape Of My Heart"
65,"张佳伊","劳动光荣"
66,"Rae Sremmurd","Swang"
67,"BEARWOLF","ТОПИМ"
68,"Gosti Iz Budushchego","Он Чужой"
69,"EsDeeKid & Rico Ace","Phantom"
70,"PlaqueBoyMax, Rakai & BunnaB","TURN UP"
71,"Aphex Twin","Pulsewidth"
72,"Анна Немченко","Танцпол везде"
73,"xe1to","Не в этом городе"
74,"a8p4s","Струны души"
75,"Timbaland","Give It to Me (feat. Justin Timberlake & Nelly Furtado)"
76,"КАЗАКИ ДЕЛАЮТ ХИТЫ","Облака"
77,"NEIKED & Portugal. The Man","Glide"
78,"Endshpil","10"
79,"HOLLYFLAME","Нежность"
80,"Bad Omens","Dying To Love"
81,"BONES","CtrlAltDelete"
82,"Thomas Mraz","Чернила"
83,"Basta","Голос (feat. Полина Гагарина)"
84,"Ramil'","Что у нее внутри"
85,"WokkHelly","До-Ре-Ми 2"
86,"Jax Jones","Breathe (feat. Ina Wroldsen)"
87,"Минаева","На ощупь"
88,"Nebezao","Урбан"
89,"Filatov & Karas","Иногда"
90,"M00NCHILD & GONE.Fludd","Рядом С Тобой"
91,"Ozoda","Ko'k Jiguli"
92,"SKAI ISYOURGOD","Stacks from All Sides"
93,"DJ Ja","No Reshoots"
94,"2hollis","poster boy"
95,"Her Words Kill","Sir This Is A Cutthroat Fashion"
96,"VORANKA","пара ненормальных"
97,"Disco Lines & Tinashe","No Broke Boys"
98,"dabbackwood","не попался"
99,"Dave King","Right Back (Original Mix)"
100,"Nicki Minaj","Beez In The Trap (feat. 2 Chainz)"
101,"NEWLIGHTCHILD","AGENT-PROVOCATEUR"
102,"Inna","Caliente (Radio Edit)"
103,"Moya Mishel","Иногда"
104,"LoVibe.","a good man with a broken heart"
105,"EMIN & JONY","Камин"
106,"АДЛИН","Останься"
107,"NAVAI","Музеи и театры"
108,"Cutting Crew","(I Just) Died In Your Arms"
109,"AVALAN ROKSTON, Avalan & Rokston","Something to Believe In"
110,"Tate McRae","Sports car"
111,"4 Non Blondes","What's Up?"
112,"Артем Пора Домой & Jahmal TGK","Прости за любовь"
113,"Damiano David","Next Summer"
114,"Ваня Дмитриенко","Настоящая"
115,"Wallem","Неповторима"
116,"Garik Garik","А вам меня не сломать"
117,"Lady Gaga","The Dead Dance"
118,"BEARWOLF","Валькирия"
119,"V $ X V PRiNCE & Bollo","Пусто"
120,"МОТ","одинок.Net"
121,"LuxeMan","Sky of Love"
122,"AKORGO BOYS","ДЫК КЫН ДЫШ"
123,"Baby Melo","MIU MIU"
124,"NEXTIME","ЗАЧЕМ?"
125,"assel_offroad_fishing","Хочу на рыбалку"
126,"Tate McRae","you broke me first"
127,"Garik Garik","В спину камень не бросай"
128,"The Weeknd & Anitta","São Paulo"
129,"Zemfira","П.М.М.Л."
130,"T-Fest, Ivan Dorn & DJ INSAMA","Прониклась мной"
131,"f0lk","ТАЯЛИ"
132,"50 Cent","Ayo Technology (feat. Justin Timberlake & Timbaland)"
133,"Ellie Goulding & Juice WRLD","Hate Me"
134,"Casual Affairs","One More"
135,"Scorpions","Still Loving You"
136,"Polina Gagarina","Вода"
137,"INSTASAMKA","AGENT GIRL"
138,"я про рок","ангел-хранитель"
139,"Taylor Swift","The Fate of Ophelia"
140,"Бонд с кнопкой","Кухни"
141,"Женя Трофимов & Комната культуры","Привет"
142,"Falling In Reverse","God Is a Weapon (feat. Marilyn Manson)"
143,"bbno$ & Ironmouse","1-800"
144,"Timbaland, Keri Hilson & D.O.E.","The Way I Are"
145,"Pitbull","Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)"
146,"KALEO","Way Down We Go"
147,"ZOLALI","Вредная, но твоя"
148,"Kygo","Stole the Show (feat. Parson James)"
149,"VILLIAN","Случайно Наступил На Шприц"
150,"50 Cent","In da Club"
151,"BLAZER 993","Ну и чё?"
152,"The Stranglers","Golden Brown"
153,"ARYA MUSIC","К тебе готов идти босиком"
154,"AQYLA & nkeeei","АКУЛА МАТАТА"
155,"EBEN","Hurts"
156,"Sean Paul & Keyshia Cole","(When You Gonna) Give It Up to Me (Radio Version)"
157,"хинков","вконтакте"
158,"Massive Attack","Angel"
159,"GeeGun, Artik & Asti & NILETTO","Худи"
160,"Eric Saade & Filatov & Karas","Wide Awake (feat. Gustaf Norén) [Red Mix]"
