
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"Disco Lines & Tinashe","No Broke Boys"
2,"Taylor Swift","The Fate of Ophelia"
3,"Olivia Dean","Man I Need"
4,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast","Golden"
5,"Bleu Soleil & LUIZA","Soleil Bleu"
6,"BLACKPINK","JUMP"
7,"disiz & Theodora","melodrama"
8,"Paul Kalkbrenner & Stromae","QUE CE SOIT CLAIR"
9,"Franglish & KeBlack","Génération impolie"
10,"DYSTINCT","YAMA"
11,"Billie Eilish","What Was I Made For? (From The Motion Picture "Barbie")"
12,"RnBoi","MON BÉBÉ"
13,"Abraham Mateo & Ana Mena","Quiero Decirte"
14,"RAYE","WHERE IS MY HUSBAND!"
15,"Lady Gaga","The Dead Dance"
16,"Chappell Roan","The Subway"
17,"Damiano David","The First Time"
18,"Charli xcx & Caroline Polachek","Everything is romantic featuring caroline polachek"
19,"Alex Warren","Ordinary"
20,"Calumny & DJ Furax","The Feeling (Big Orgus)"
21,"David Guetta, Teddy Swims & Tones And I","Gone Gone Gone"
22,"Ed Sheeran","Sapphire"
23,"MK","Dior (feat. Chrystal)"
24,"sombr","undressed"
25,"Vitaa & Julien Doré","Viens on essaie"
26,"Ravyn Lenae","Love Me Not"
27,"Mous-K","Cole Palmer"
28,"DJ Snake & Bipolar Sunshine","Paradise"
29,"Lilly Wood & The Prick & Robin Schulz","Prayer in C (Robin Schulz Radio Edit)"
30,"Lola Young","Messy"
31,"Kid Cudi","Maui Wowie"
32,"Tkandz & CXSPER","Now or Never"
33,"Sebastian Ingrosso","A New Day (feat. Céline Dion)"
34,"4 Non Blondes","What's Up?"
35,"Trippie Redd & Diplo","Wish (Audiomack Trap Symphony Version)"
36,"DJ Malvado & DJ Aka-m","Mussulo (feat. Dody)"
37,"SANTA","Dis-moi oui"
38,"La Fouine & L2B","Flying Blue"
39,"Mazzy Star","Fade into You"
40,"Swedish House Mafia","Wait So Long (Why Do I Have To) [REMIND Remix]"
41,"Calvin Harris & Clementine Douglas","Blessings"
42,"Lola Young","d£aler"
43,"Fontaines D.C.","Starburster"
44,"Alex Warren","Eternity"
45,"Helena","Tout a changé (Rien n'a changé)"
46,"GIMS & Damso","TU ME RENDS BÊTE"
47,"Melody Gardot","Morning Sun"
48,"Easykid","Shiny"
49,"TKS 2G & Maureen","Paddle"
50,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast & David Guetta","Golden (David Guetta REM/X (Extended))"
51,"Marshmello & Jelly Roll","Holy Water"
52,"EMIN & JONY","Камин"
53,"Nicki Minaj","Beez In The Trap (feat. 2 Chainz)"
54,"MOLIY, Silent Addy, Skillibeng & Shenseea","Shake It To The Max (FLY) [Remix]"
55,"Tyler, The Creator","Sugar On My Tongue"
56,"oskar med k","Make Me Feel"
57,"Drake & Central Cee","Which One"
58,"GP Explorer, GIMS, La Mano 1.9 & SCH","Un monde à l'autre"
59,"Guus Meeuwis","Brabant"
60,"Miley Cyrus","End of the World"
61,"Charlotte Cardin","Tant pis pour elle"
62,"Gotye","Somebody That I Used to Know (feat. Kimbra)"
63,"Furacão 2000","Mimosa 2000"
64,"Black Sabbath","Paranoid"
65,"Nikbinler","Eylülzede"
66,"Effe Serieus","Baila de Gasolina"
67,"Lost Frequencies & The Temper Trap","Sweet Disposition (a moment, a love)"
68,"Roméo Elvis & Oscar and the Wolf","Ceiling"
69,"Topic, Fireboy DML & Nico Santos","Body"
70,"Damiano David, Tyla & Nile Rodgers","Talk to Me (feat. Tyla, Nile Rodgers)"
71,"MC Tairon & Mc Vitin Da Igrejinha","Baile no Morro (Mixed)"
72,"Gigi D'Agostino","L'amour Toujours"
73,"Lewis Capaldi","Survive"
74,"Chris Staples","Always on My Mind"
75,"KAROL G","Si Antes Te Hubiera Conocido"
76,"Tate McRae","you broke me first"
77,"Suzan & Freek","Niemand"
78,"Theodora & Jul","ZOU BISOU"
79,"Soolking","Tour du monde (feat. L2B)"
80,"TRIANGLE DES BERMUDES","Charger (feat. MC YOSHI, Mauvais djo & Kokosvoice)"
81,"R2","JAMAIS TOI"
82,"Jul","Ragnar"
83,"Bouss","Biff pas d'love"
84,"Ricchi & Poveri","Sarà Perché Ti Amo"
85,"Michael Kiwanuka","Cold Little Heart"
86,"CEO Blessed DJ Savage liquid FM","nanotechnology mind control"
87,"Journey","Don't Stop Believin'"
88,"TRIANGLE DES BERMUDES","Mame"
89,"Chris Isaak","Wicked Game"
90,"Vanco","Ma Tnsani (Yalla Habibi) [feat. AYA]"
91,"David Guetta, Hypaton & Bonnie Tyler","Together"
92,"Bazart","Begin Opnieuw"
93,"Miley Cyrus","Secrets (feat. Lindsey Buckingham & Mick Fleetwood)"
94,"Marlon Hoffstadt & KI/KI","Losing Control (Mixed)"
95,"Olivia Dean","So Easy (To Fall In Love)"
96,"Damien Rice","9 Crimes"
97,"RK & Genezio","Viano"
98,"Billie Eilish","TV"
99,"The Buoys","Give Up Your Guns"
100,"Fatima Yamaha","What's a Girl to Do (Twr72 Remix)"
101,"sombr","12 to 12"
102,"AFROJACK & Aloe Blacc","In My World"
103,"Debbie","All Night Long"
104,"EsDeeKid & Rico Ace","Phantom"
105,"Puggy","Mirror (feat. Maëlle)"
106,"WizTheMc & bees & honey","Show Me Love"
107,"Calvin Harris & Jessie Reyez","Ocean"
108,"GIMS & La Mano 1.9","PARISIENNE"
109,"FloyyMenor & Cris MJ","Gata Only"
110,"Bonnie Tyler","Total Eclipse of the Heart"
111,"M83","Wait"
112,"Nono La Grinta","LOVE YOU"
113,"Alannah Myles","Black Velvet"
114,"KI/KI & Marlon Hoffstadt","Losing Control"
115,"Chappell Roan","Good Luck, Babe!"
116,"Benson Boone","Mystical Magical"
117,"Gala","Freed From Desire"
118,"Damso & SARAH SEY","Pa Pa Paw"
119,"ZZ & Timar","4h44"
120,"Milk Inc.","Unstoppable"
121,"Jeckyll & Hyde","Freefall"
122,"Don Miguelo","Y Qué Fue?"
123,"Tom Odell","Another Love"
124,"Berre","How Beautiful This Life Is"
125,"Bello&Dallas","Pilon Gras"
