
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"DJ Japa NK, MC Meno K, MC Ryan SP & Mc Jacaré","Posso Até Não Te Dar Flores (feat. DJ DAVI DOGDOG)"
2,"Alex Warren","Ordinary"
3,"Taylor Swift","The Fate of Ophelia"
4,"Damiano David","Next Summer"
5,"Mc GP, Mc Lele JP, DJ DAVI DOGDOG & Dj Andrabeat","ME POSTOU NO DAILY - FESTA DO BIG G"
6,"Lola Young","Messy"
7,"Vitinho Imperador","Eu Me Apaixonei"
8,"Trippie Redd & Diplo","Wish (Audiomack Trap Symphony Version)"
9,"THEUZZIN, Mn de Niteroi, 2L Motta & DJ MK De Niterói","BOA NOITE POVO (REMIX)"
10,"Furacão 2000","Mimosa 2000"
11,"PEDRO SAMPAIO, Mc Gw, Mc Jhey & MC Rodrigo do CN","SEQUÊNCIA FEITICEIRA (feat. MC Nito)"
12,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast","Golden"
13,"Charli xcx & Caroline Polachek","Everything is romantic featuring caroline polachek"
14,"Grupo Menos É Mais & Simone Mendes","P do Pecado (Ao Vivo)"
15,"Black Eyed Peas & Shakira","GIRL LIKE ME"
16,"Liniker","VELUDO MARROM"
17,"Teddy Swims","Bad Dreams"
18,"Billie Eilish","BIRDS OF A FEATHER"
19,"EMIN & JONY","Камин"
20,"Laércia Dantas","Onde Anda Meu Amor"
21,"L7NNON, MC Rodrigo do CN & DJ Zigão","LSet 2 (feat. MC Maneirinho, MC Roger, & Mc Th)"
22,"Teddy Swims","Lose Control"
23,"IZA","Doce Feito Caramelo"
24,"Benson Boone","Beautiful Things"
25,"4 Non Blondes","What's Up?"
26,"Olivia Dean","Man I Need"
27,"Grupo Menos É Mais & Nattan","Pela Última Vez (Ao Vivo)"
28,"John Legend","By Your Side"
29,"Veigh","Talvez você precise de mim"
30,"Matheus Vargas & Cleber & Cauan","Desocupa"
31,"Doechii","Anxiety"
32,"Mc Lele JP, MC Menor ZL, MC GH Original & MC Leozinho Zs","Vai Tomando Pock Pock (feat. MC Meno K & DJ Gordinho da VF)"
33,"Bonnie Tyler","Total Eclipse of the Heart"
34,"Teddy Swims","The Door"
35,"cjnobeat, MC Morena & MC GW","Até Quebrar a Cama 2.0"
36,"Abraham Mateo & Ana Mena","Quiero Decirte"
37,"MC Kaio","Dá uma Sentada Que Passa (feat. MC AK)"
38,"Gusttavo Lima & Luis Fonsi","Vagabundo"
39,"Faye Wong","夢中人 (Live in Hong Kong, 1995)"
40,"Felipe Amorim, Xand Avião, Zé Vaqueiro & Talita Mel","Medley Muído de Vaquejada - Desce do Cavalo / Balada do Vaqueiro / Monta Logo Vai / Calma / Senta No Fazendeiro / Deixa Ela Montar Na Minha Garupa / Botadão Do GW (feat. MC LEKÃO)"
41,"Nicki Minaj","Beez In The Trap (feat. 2 Chainz)"
42,"Keane","Somewhere Only We Know"
43,"George Michael","Careless Whisper"
44,"Panda & MJ Records","Eu Te Seguro (Ao Vivo)"
45,"Zé Felipe & Ana Castela","Sua Boca Mente (You're Still The One)"
46,"Murilo Huff","Deixa Eu (Ao Vivo)"
47,"Hozier","Too Sweet"
48,"Cristiano Araújo & Marília Mendonça","De Quem É A Culpa?"
49,"Clayton & Romário & Zé Felipe","Se Eu Te Perdoar (Ao Vivo)"
50,"Elis Regina","Como Nossos Pais"
51,"Billy Idol","Eyes Without A Face"
52,"Chris Isaak","Wicked Game"
53,"Prod Gomes, DJ Gomes Original, Yuri Redicopa & Bisqui","Faz assim"
54,"Mary J. Blige","Family Affair"
55,"Diego & Victor Hugo","Tubarões (Ao Vivo)"
56,"DJ KELVINHO DA ZS & Iraqui Zl","Sobe na Moto Roubadona (Slowed + Reverb)"
57,"RÜFÜS DU SOL","Innerbloom"
58,"Jacob Banks","Unholy War"
59,"Gigi Perez","Sailor Song"
60,"iraqui zl & DJ VN MIX","Bandido Problemático"
61,"Bob Dylan","Knockin' On Heaven's Door"
62,"João Gomes, Mestrinho & Jota.pê","Pontes Indestrutíveis"
63,"The Goo Goo Dolls","Iris"
64,"Kim","Confidence"
65,"Chappell Roan","Good Luck, Babe!"
66,"Tate McRae","you broke me first"
67,"Limp Bizkit","Behind Blue Eyes"
68,"Tyler, The Creator","Sugar On My Tongue"
69,"FloyyMenor & Cris MJ","Gata Only"
70,"Vanessa da Mata","Gente Feliz (Sinceridade) [feat. Baiana System]"
71,"Dix-Two","Sempre Alinhado"
72,"Gotye","Somebody That I Used to Know (feat. Kimbra)"
73,"R.E.M.","Losing My Religion"
74,"The Police","Every Breath You Take"
75,"Gigi D'Agostino","L'amour Toujours"
76,"ROSÉ & Bruno Mars","APT."
77,"Creedence Clearwater Revival","Have You Ever Seen The Rain"
78,"Radiohead","Creep"
79,"Phil Collins","In the Air Tonight"
80,"Toque Dez","Amor dos outros (Ao Vivo)"
81,"Tears for Fears","Everybody Wants To Rule The World"
82,"The Outfield","Your Love"
83,"Marília Mendonça","Segundo Amor da Sua Vida"
84,"Air Supply","Making Love Out of Nothing At All"
85,"Two Feet","I Feel Like I'm Drowning"
86,"Benson Boone","Mystical Magical"
87,"Bon Jovi","Livin' On A Prayer"
88,"Depeche Mode","Enjoy the Silence"
89,"Coral Canto Jovem e Rayssa Andreoli","IMPERFEITO (feat. Rayssa Andreoli)"
90,"Lady Gaga & Bruno Mars","Die With A Smile (Acoustic)"
91,"Sabrina Carpenter","Espresso"
92,"sombr","back to friends"
93,"Sayfalse, Cape & Jxndro","Montagem Rugada"
94,"J. Eskine, Alef Donk & Oruam","AMOR BANDIDO"
95,"The Weeknd","Starboy (feat. Daft Punk)"
96,"Guns N' Roses","Sweet Child O' Mine"
97,"Frank Ocean","Lost"
98,"Tim Sanders","Do To Me"
99,"Little Texas","My Love"
100,"Cyndi Lauper","Girls Just Want to Have Fun"
101,"M83","Outro"
102,"Dire Straits","Sultans of Swing"
103,"Léo Foguete","Acertada"
104,"Meghan Trainor","Criminals"
105,"Gusttavo Lima","Retrovisor"
106,"Edi Rock","That's My Way (feat. Seu Jorge & Leon Mobley)"
107,"Bronski Beat","Smalltown Boy"
108,"The Cranberries","Linger"
109,"Dnovaees, Yuri Redicopa & GEXIS","Eu Sei Que Não É Verdade"
110,"Coldplay","feelslikeimfallinginlove"
111,"ZXKAI & slxughter","NO BATIDÃO (Slowed)"
112,"Léo Santana & Melody","Desliza ("Ólhinho" No Corpinho) [Ao Vivo]"
113,"Edward Maya & Vika Jigulina","Stereo Love"
114,"Billie Eilish","WILDFLOWER"
115,"Lady Gaga & Bruno Mars","Die With A Smile"
116,"Crowded House","Don't Dream It's Over"
117,"Harry Styles","As It Was"
118,"USHER","Hey Daddy (Daddy's Home) [feat. Plies]"
119,"Men At Work","Down Under"
120,"East Duo","Chubina"
121,"Audioslave","Like a Stone"
122,"Pink Floyd","Another Brick In the Wall, Pt. 1"
123,"Lady Gaga","Bloody Mary"
124,"Haddaway","What Is Love (7" Mix)"
125,"DJ Pedro Alencar","Na Treta com o Justin"
