
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"Robi & MONA","Мале"
2,"David Guetta, Teddy Swims & Tones And I","Gone Gone Gone"
3,"Furacão 2000","Mimosa 2000"
4,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast","Golden"
5,"Dj Damyan & Selina","Балканска двойка"
6,"Miley Cyrus","Secrets (feat. Lindsey Buckingham & Mick Fleetwood)"
7,"Taylor Swift","The Fate of Ophelia"
8,"Helena Paparizou","Kalinixta"
9,"KATSEYE","Gabriela"
10,"NICKA","Пак си тук"
11,"Grafa & Robi","Всеки от нас"
12,"MOLIY, Silent Addy, Skillibeng & Shenseea","Shake It To The Max (FLY) [Remix]"
13,"BLACKPINK","JUMP"
14,"Papi Hans","Невинна"
15,"Molec, Theodosii Spassov & Stundji","ВЕЧЕ ЗНАМ"
16,"HUGEL, Dawty & Preston Harris","Loosen Up"
17,"Alex Warren","Ordinary"
18,"Lady Gaga","The Dead Dance"
19,"Vanco","Ma Tnsani (Yalla Habibi) [feat. AYA]"
20,"Tayna, Marshmello & UKAY","Si Ai (Marshmello & Ukay Remix)"
21,"Veniamin","Да бъда твой"
22,"Çağla & Doğu Swag","Seni Düşündüm"
23,"Damiano David, Tyla & Nile Rodgers","Talk to Me (feat. Tyla, Nile Rodgers)"
24,"DJ Snake & Bipolar Sunshine","Paradise"
25,"Nedeljko Bajic Baja","Od Ljubavi Jače"
26,"RAYE","WHERE IS MY HUSBAND!"
27,"AYA","Две очи"
28,"Ed Sheeran","Sapphire"
29,"Semicenk","Sen Kaldın"
30,"Disco Lines & Tinashe","No Broke Boys"
31,"Charli xcx & Caroline Polachek","Everything is romantic featuring caroline polachek"
32,"Alisia","Shtom Me Zabelejish (feat. Sarit Hadad)"
33,"Calvin Harris & Clementine Douglas","Blessings"
34,"Robi & Tino","Налей"
35,"Eleni Foureira","Disco-Tech"
36,"EMIN & JONY","Камин"
37,"ADAM","Zhurek (Isko Alvarez remix)"
38,"Shouse","Only You"
39,"Maesic, Marshall Jefferson & Salomé Das","Life Is Simple (Move Your Body)"
40,"Minelli","Miss You More"
41,"Tyler, The Creator","Sugar On My Tongue"
42,"Tzanca Uraganu","Topu,topu"
43,"TAEMIN","Advice"
44,"V:RGO & Lidia","TVOQTA LUBOV"
45,"Trippie Redd & Diplo","Wish (Audiomack Trap Symphony Version)"
46,"Tommy Cash","Espresso Macchiato"
47,"Joezi & Lizwi","Amathole"
48,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast & David Guetta","Golden (David Guetta REM/X (Extended))"
49,"MoBlack & Salif Keïta","Yamore (feat. Cesária Evora, Benja (NL) & Franc Fala)"
50,"DJ Guuga & MC Livinho","Vidrado Em Você"
51,"Argy & Omnya","Aria"
52,"Otilia","Bilionera (Radio Edit)"
53,"USHER","Yeah! (feat. Lil Jon & Ludacris)"
54,"V:RGO, Emil TRF & MBT","PORSCHE"
55,"Benson Boone","Mystical Magical"
56,"Minelli & Inna","In Love"
57,"DJAANY","Discoteka"
58,"Abraham Mateo & Ana Mena","Quiero Decirte"
59,"murdambt do grob","Ne Spirai"
60,"Andon","Na morence (feat. Alper, Vladi & Grozdeto)"
61,"Disturbed","The Sound of Silence (CYRIL Remix)"
62,"Coldplay, Little Simz, Burna Boy, Elyanna & TINI","WE PRAY"
63,"Dara","Да не можем"
64,"Toni Storaro","След теб"
65,"Lola Young","Messy"
66,"Ed Sheeran","Azizam"
67,"D2","Преди да кажеш не"
68,"Fantomel & KATE LINN","Dame Un Grrr"
69,"Nasyo Chernia, Fury & Pameca","NASHITE (feat. Ihito)"
70,"FloyyMenor & Cris MJ","Gata Only"
71,"Henny & Breskvica","Sava i Dunav"
72,"Chris Brown","Holy Blindfold"
73,"Enlly Blue","Through My Soul"
74,"Bad Omens","Dying To Love"
75,"Activ","Doar Cu Tine"
76,"BLOK3","napıyosun mesela ?"
77,"ZERB & Wiz Khalifa","Location (feat. Ty Dolla $ign)"
78,"brux XTN","Paid to Exist"
79,"Andrea, Tzanca Uraganu & Costi","Topa Topa"
80,"Dara Ekimova","напред/назад"
81,"Urge Overkill","Girl, You'll Be a Woman Soon"
82,"Despina Vandi, Mente Fuerte & Teo Tzimas","Panselinos"
83,"Mila Robert & Azis","Polujivi"
84,"Navigators","Come into My Life"
85,"CEO Blessed DJ Savage liquid FM","nanotechnology mind control"
86,"Highland","Bella Stella (Extended Mix)"
87,"Mary J. Blige","Family Affair"
88,"Teddy Swims","Bad Dreams"
89,"Emilia","Не заслужаваш"
90,"Rauf Tagiyev","Keyvan (Etrin duyulur havada)"
91,"Two In One","Indian Song (Single Edit)"
92,"Topic & Daecolm","Control Of Me"
93,"George Michael","Careless Whisper"
94,"melih","Keşkelerle Süslenen Sonbaharlar / Elvedayla Süslenmiş Bir Yarının Dünündeyim"
95,"MONA","Сила"
96,"İzmirli Volkan","Acelem Yok"
97,"Kiss","I Was Made For Lovin' You"
98,"Sabrina Carpenter","Tears"
99,"Demet Özdemir","Ah Yar"
100,"Ricchi & Poveri","Sarà Perché Ti Amo"
101,"Rainbow","Can't Let You Go"
102,"Gala","Freed From Desire"
103,"Tate McRae","Just Keep Watching (From F1® The Movie)"
104,"Sting","Shape Of My Heart"
105,"EsDeeKid & Rico Ace","Phantom"
106,"Kid Cudi","Maui Wowie"
107,"Güldiyar Tanrıdağlı","İçimdeki Fırtına"
108,"GIMS","Habibi (Pilule Bleue)"
