
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"Urban Chords","I'm a mess (Choir Version)"
2,"Zakalara & Gaz Mawete","Jamaïque"
3,"Kedjevara","Ça fait mal"
4,"RnBoi","MON BÉBÉ"
5,"St Anointed","My Story (feat. Zyno Topboy) [Remix]"
6,"Fireboy DML","Dopamine"
7,"PETIT KANTE","Faux amis"
8,"Ayra Starr & Rema","Who’s Dat Girl"
9,"La Santinelle","C’est Monté"
10,"Charlotte Dipanda","Dis-moi (feat. Tayc)"
11,"Lubumbashi vibes","Mood plus"
12,"Youles International","Panique générale"
13,"Goon Flavour, Master KG & Eemoh","Ngishutheni"
14,"Vicoka","SPIRIT (feat. Wizard Chan)"
15,"CUBKIDS","Mes cheveux nuages"
16,"Ciza, Tems & Omah Lay","Isaka II (6am)"
17,"Davido","With You (feat. Omah Lay)"
18,"King Luca","Reine Des Reines"
19,"SALIMA CHICA","SONGI SONGI"
20,"EMIN & JONY","Камин"
21,"GIMS","DO YOU LOVE ME ?"
22,"Franglish & KeBlack","Génération impolie"
23,"Rema","FUN"
24,"Urban Chords","badman gangsta"
25,"Naza & SDM","Tout donner"
26,"Niska","Adriano"
27,"Gyakie","Sor Mi Mu (feat. Bisa Kdei)"
28,"Lui Cruz","Wele Dance (feat. Berri-Tiga)"
29,"Ice Prince","Oleku (feat. Brymo)"
30,"DK2fois","Denda"
31,"JFS music","Dry Wave (feat. King Tone SA & Soa mattrix)"
32,"Jeady Jay","ATWA"
33,"Bazzarba","Par Amour"
34,"DJ Maphorisa, DJ Tunez, Wizkid & Mavo","MONEY CONSTANT"
35,"Blanche Bailly & Lady Ponce","Lève Toi"
36,"Alex Warren","Ordinary"
37,"Joé Dwèt Filé","Slowly"
38,"DJ Malvado & DJ Aka-m","Mussulo (feat. Dody)"
39,"Himra","Freestyle Drill Ivoire 5"
40,"TCHAKALA VIP","Lo goût (Afro urbain)"
41,"Fally Ipupa","Plus de larmes"
42,"Kehou Mousso & Bigyne Wiz","La Bêtise (feat. Given Beatz)"
43,"King Luca & Santrinos Raphael","Choisis-Moi"
44,"Joshua Baraka","Wrong Places"
45,"Tonton Le Show","Ne Touche Pas Mes Lolos"
46,"Benson Boone","In The Stars"
47,"Fally Ipupa","Le Temps"
48,"Multimelo","Besoin d'amour"
49,"Tidiane Mario, Tété Ketch & Vinny Baltazard","Ya Nga Bebe"
50,"LES GUERRIERS DE MVAN","MOUGOU"
51,"La chacala","La Vie Du Poulet (feat. Le Yendel)"
52,"Madara Dusal","FriendZone"
53,"les boys de medeline","La mimbazo (feat. Les têtus du mbole)"
54,"Chella","My Darling"
55,"Ugoccie","Achalugo"
56,"døpelym","Cello"
57,"CUBKIDS","Ma peau couleur soleil"
58,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast","Golden"
59,"Emma'a","Trop d'amour"
60,"Christina Perri","A Thousand Years"
61,"Asake & Tiakola","BADMAN GANGSTA"
62,"Hotkid","Better Days"
63,"TRIANGLE DES BERMUDES","Mame"
64,"Tayc","D'EN HAUT."
65,"KiDi, Olivetheboy & KOJO BLAK","Gymnastic"
66,"Tkandz & CXSPER","Now or Never"
67,"GIMS & La Mano 1.9","PARISIENNE"
68,"TRIANGLE DES BERMUDES","Charger (feat. MC YOSHI, Mauvais djo & Kokosvoice)"
69,"Himra","NUMBER ONE (feat. Minz)"
70,"Ella Nao","Mon Lopaire"
71,"Gasper V. & Cornel Grace","Holy Ghost (feat. Mr Young Orlando, Efficient Figure, Yeika Victoire Berinyuy, Nambu, Jomia, Shey Arts Sangnyuy & Maxi de Pounder) [Remix]"
72,"Les Rythmeurs ABC","Célébration"
73,"Kocee & Ks Bloom","Stranger"
74,"DRE-A","Pas Toucher (feat. Fanicko)"
75,"brux XTN","Paid to Exist"
76,"Fally Ipupa","Alliance"
77,"Asaba & Kocee","001"
78,"Faceless & Serøtonin","Venus"
79,"FloyyMenor & Cris MJ","Gata Only"
80,"Fally Ipupa","MH"
