
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"Taylor Swift","The Fate of Ophelia"
2,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast","Golden"
3,"Disco Lines & Tinashe","No Broke Boys"
4,"Alex Warren","Ordinary"
5,"Olivia Dean","Man I Need"
6,"Charli xcx & Caroline Polachek","Everything is romantic featuring caroline polachek"
7,"David Guetta, Teddy Swims & Tones And I","Gone Gone Gone"
8,"Nicki Minaj","Beez In The Trap (feat. 2 Chainz)"
9,"Trippie Redd & Diplo","Wish (Audiomack Trap Symphony Version)"
10,"4 Non Blondes","What's Up?"
11,"Lady Gaga","The Dead Dance"
12,"Kid Cudi","Maui Wowie"
13,"Tkandz & CXSPER","Now or Never"
14,"Justin Bieber","DAISIES"
15,"Ravyn Lenae","Love Me Not"
16,"Ecchi.mp4","Rather Be in Oakland (feat. Karri)"
17,"Queen","I Want It All"
18,"Ed Sheeran","Camera"
19,"sombr","back to friends"
20,"Marshmello & Jelly Roll","Holy Water"
21,"Breaking Rust","Livin' On Borrowed Time"
22,"Chappell Roan","Good Luck, Babe!"
23,"Furacão 2000","Mimosa 2000"
24,"KATSEYE","Gabriela"
25,"PlaqueBoyMax, Rakai & BunnaB","TURN UP"
26,"GIVĒON","Dancing in the Smoke (From the Netflix Series "Nobody Wants This" Season 2)"
27,"Benson Boone","Beautiful Things"
28,"Fontaines D.C.","Starburster"
29,"Beth Hart & Joe Bonamassa","I'll Take Care of You"
30,"Yeat","COMË N GO"
31,"CEO Blessed DJ Savage liquid FM","nanotechnology mind control"
32,"Shaboozey","Good News"
33,"The Rolling Stones","Gimme Shelter"
34,"Lola Young","Messy"
35,"Sabrina Carpenter","Manchild"
36,"Chappell Roan","Pink Pony Club"
37,"Sabrina Carpenter","Tears"
38,"Bad Bunny","NUEVAYoL"
39,"Morgan Wallen & Tate McRae","What I Want"
40,"Benson Boone","Mystical Magical"
41,"Post Malone","Hold My Breath"
42,"Luke Combs","Back in the Saddle"
43,"sombr","undressed"
44,"Daft Punk","Veridis Quo"
