
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast","Golden"
2,"Germanini, Lyon la f, JhonAlex & Nacho G Flow","Comando Estelar"
3,"Abraham Mateo & Ana Mena","Quiero Decirte"
4,"Jere Klein, Bayriton & Adan La Amenaza","TU Y YO"
5,"Bizarrap & NICKI NICOLE","Plegarias"
6,"Taylor Swift","The Fate of Ophelia"
7,"Easykid","Shiny"
8,"Jere Klein, Katteyes & Mateo on the Beatz","TODO KE VER"
9,"Charli xcx & Caroline Polachek","Everything is romantic featuring caroline polachek"
10,"Milan Didier, El Bai & Angelito the producer","MIENTES"
11,"4 Non Blondes","What's Up?"
12,"Bad Bunny","EoO"
13,"Blessd, Anuel AA, Kris R. & Luar La L","YOGURCITO REMIX (feat. ROA, Yan Block)"
14,"Teddy Swims","Lose Control"
15,"Beéle","no tiene sentido"
16,"Trippie Redd & Diplo","Wish (Audiomack Trap Symphony Version)"
17,"Alex Warren","Ordinary"
18,"Lucky Brown, Almighty & Mateo on the Beatz","Dime Si Te Acuerdas"
19,"W Sound, Beéle & Ovy On the Drums","La Plena (W Sound 05)"
20,"Santiago Avendaño & Dj Tati","Ta Ta Ta"
21,"Jory Boy & Chencho Corleone","Incorregible"
22,"El Bogueto & Yung Beef","Cuando No Era Cantante"
23,"Grupo Zúmbale Primo","Hablando Con La Luna"
24,"No Te Va Gustar","No Te Imaginas"
25,"Global Afro","YA NI SU NOMBRE ME SÉ (Private AfroHouse)"
26,"Lucky Brown & Big Cvyu","Qué Será"
27,"Young Cister & Kreamly","QLOO*"
28,"Loyaltty, Marcianeke & Lewis Somes","SEH"
29,"Kybba, Sean Paul, Ryan Castro & Busy Signal","Ba Ba Bad Remix"
30,"Sebastián Yatra, Lucho RK, Belinda & Gente de Zona","CANCIÓN PARA REGRESAR"
31,"Xavi & Manuel Turizo","En Privado"
32,"George Michael","Careless Whisper"
33,"Kidd Voodoo","Destello..."
34,"Rels B","TU VAS SIN (fav)"
35,"Alleh & Yorghaki","capaz (merengueton)"
36,"The La Planta, Flor Alvarez & Pushi","Mil Preguntas"
37,"The Goo Goo Dolls","Iris"
38,"sombr","back to friends"
39,"David Guetta, Teddy Swims & Tones And I","Gone Gone Gone"
40,"Lyon la f","NEBULA"
41,"Jere Klein & Mateo on the Beatz","DEMONIAKA"
42,"Gino Mella & Benja Valencia","TU CON ELLA"
43,"Foreigner","I Want To Know What Love Is (Remastered)"
44,"Lyon la f","DESEO"
45,"Don Omar","Anda Sola"
46,"IZA","Doce Feito Caramelo"
47,"Jossie A & Big Cvyu","2 Peine"
48,"Chris Isaak","Wicked Game"
49,"Billy Idol","Eyes Without A Face"
50,"Los Caligaris","Kilómetros"
51,"Masterboy","Feel the Fire"
52,"Yandel & Kidd Voodoo","MUÑECOTA"
53,"KAROL G","Ivonny Bonita"
54,"Tim Sanders","Do To Me"
55,"Katteyes & Kidd Voodoo","PONTE LOKITA"
56,"Lucybell & Manuel García","Vete"
57,"Gotye","Somebody That I Used to Know (feat. Kimbra)"
58,"Chappell Roan","Good Luck, Babe!"
59,"C. Tangana, Gipsy Kings, Nicolas Reyes & Tonino Baliardo","Ingobernable"
60,"KAROL G & Feid","Verano Rosa"
61,"Bronski Beat","Smalltown Boy"
62,"Benson Boone","Beautiful Things"
63,"Tyler, The Creator","Sugar On My Tongue"
64,"The Police","Every Breath You Take"
65,"Beéle & Ovy On the Drums","Mi Refe"
66,"Tito El Bambino","Flow Natural (feat. Beenie Man & Ines)"
67,"cjnobeat, MC Morena & MC GW","Até Quebrar a Cama 2.0"
68,"Creedence Clearwater Revival","Have You Ever Seen The Rain"
69,"Marc Segui, Rauw Alejandro & Pol Granch","Tiroteo (Remix)"
70,"Cutting Crew","(I Just) Died In Your Arms"
71,"Europe","The Final Countdown"
72,"Phil Collins","In the Air Tonight"
73,"Ovy On the Drums, Quevedo & Beéle","YO y TÚ"
74,"Radiohead","Creep"
75,"Furacão 2000","Mimosa 2000"
76,"Katteyes","VEN ACÁ"
77,"VAD BOYZ","MUEVELOU"
78,"Benja Valencia & SINAKA","Sentimiento Mágico"
79,"Starship","Nothing's Gonna Stop Us Now"
80,"Luis R Conriquez & Anuel AA","Relojito Cartier"
81,"Keane","Somewhere Only We Know"
82,"Alex Gargolas & RKM & Ken-Y","Un Sueño"
83,"RÜFÜS DU SOL","Innerbloom"
84,"KATSEYE","Gabriela"
85,"Los Ángeles Azules & Emilia","Perdonarte ¿Para Qué?"
86,"La T y la M & Malandro","Amor de Vago"
87,"Grupo Zúmbale Primo","Tattoo"
88,"Camela","¿Qué Tiene Ella Que No Tenga Yo?"
89,"EMIN & JONY","Камин"
90,"FloyyMenor & Cris MJ","Gata Only"
91,"Rockwell","Somebody's Watching Me"
92,"Calvin Harris & Clementine Douglas","Blessings"
93,"Jósean Log","Chachachá"
94,"Grupo Frontera, Fuerza Regida & Cris MJ","tu favorito"
95,"Boza & ELENA ROSE","Orion"
96,"Yes","Owner of a Lonely Heart"
97,"Lola Young","Messy"
98,"Kidd Voodoo & JC Reyes","Me Mareo"
99,"Standly","Vida Peligrosa"
100,"Hector Bambino EL Father y Wisin & Yandel","El Teléfono"
101,"Yiyo Sarante","Manos de Tijera"
102,"ITHAN NY","Si Te Vas"
103,"Gino Mella & De La Ghetto","Gatita"
104,"Pailita","Bendito (Soundtrack Baby Bandito: La Serie)"
105,"Oasis","Stop Crying Your Heart Out"
106,"Eloy, Randy, Zion & Jowell & Randy","Fuera del Planeta (Remix)"
107,"Ricky Martin & Carín León","A Medio Vivir"
108,"The Hollies","Long Cool Woman (In a Black Dress)"
109,"The Outfield","Your Love"
110,"Mikel Erentxun","A Un Minuto de Ti"
111,"Pink Floyd","Another Brick In the Wall, Pt. 1"
112,"Bad Bunny","BAILE INoLVIDABLE"
113,"BLACKPINK","JUMP"
114,"Nicki Minaj","Beez In The Trap (feat. 2 Chainz)"
115,"BRY, Sebastian Roldan & Linares","Embaladinho Arrebatadinho (4NDY, Griimpa Remix)"
116,"Mecano","Me Cuesta Tanto Olvidarte"
117,"Victor Valverde & JR Torres","El Mayor De Los Ranas"
118,"Billie Eilish","BIRDS OF A FEATHER"
119,"Crowded House","Don't Dream It's Over"
120,"Tears for Fears","Everybody Wants To Rule The World"
121,"Los Dareyes De La Sierra","Frecuencia"
122,"Vicentico","Creo Que Me Enamoré"
123,"Chayanne","Bailando Bachata"
124,"Mora","DETRÁS DE TU ALMA"
125,"Empire Of The Sun","We Are The People"
126,"Lady Gaga & Bruno Mars","Die With A Smile (Acoustic)"
127,"ROSÉ & Bruno Mars","APT."
128,"Daryl Hall & John Oates","Maneater"
129,"Jadiel","Fashion Girl"
130,"Katteyes, Jere Klein & Lucky Brown","BÁILAME ASÍ"
131,"Kiss","I Was Made For Lovin' You"
132,"Roze Oficial, Max Carra, Valen & RAMKY EN LOS CONTROLES","Tu jardín con enanitos"
133,"Cris MJ","30 Mil Pies"
134,"Grupo disparo","Corazón de Piedra"
135,"Billie Eilish","WILDFLOWER"
136,"Danny Ocean","Corazón"
137,"Beéle","top diesel"
138,"Alannah Myles","Black Velvet"
139,"Jezzy & Arcángel","Que Sensación (Remix)"
140,"MC Tairon & Mc Vitin Da Igrejinha","Baile no Morro (Mixed)"
141,"Depeche Mode","Enjoy the Silence"
142,"Haddaway","What Is Love (7" Mix)"
143,"FARIANA","Como una Kardashian"
144,"Tate McRae","you broke me first"
145,"Miranda!","Tu Misterioso Alguien"
146,"Alice Deejay","Better Off Alone"
147,"ELENA ROSE & Justin Quiles","COSITA LINDA"
148,"a-ha","Take On Me"
149,"Steve Edwards, Bob Sinclar & Sly & Robbie","World Hold On"
150,"Disco Lines & Tinashe","No Broke Boys"
151,"Phil Collins","Another Day In Paradise"
152,"Darell, Ñengo Flow & Jory Boy","Mía"
153,"Myke Towers & Quevedo","SOLEAO"
154,"Lady Gaga","Always Remember Us This Way"
155,"Bonnie Tyler","Total Eclipse of the Heart"
156,"Mattei, Arcángel, De La Ghetto & Jowell & Randy","Pa las girlas (Remix)"
157,"New West","Those Eyes"
158,"Kapo & Camilo","ESTA ES TU CASA NENA"
