
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"Evangeline","離開我的依賴"
2,"Jaycee Chan","最好的我 (feat. 龔芝怡)"
3,"Samurai Boy Gaming","បទចិន កំពុងល្បី - Chinese Song"
4,"Shila Amzah","到时说爱我"
5,"Li Ronghao","Lovers"
6,"XXXCA","都会走的无一例外 (0.8x)"
7,"Ameriie","OnePiece(Phonk)"
8,"万能公式","孤身 (DJ版)"
9,"SoMo","50 Feet"
10,"Enya","Anywhere Is"
11,"THE 8","Star Crossing Night (feat. GALI)"
12,"MXZI, dj Samir & DJ Javi26","Montagem Xonada"
13,"Lucas Hits","Montagem - Fell Down"
14,"Eternxlkz","Montagem Nada Tropica"
15,"Hua Jie","爱你一万年 (DJ版1伴奏)"
16,"Kid Cudi","Maui Wowie"
17,"Taylor Swift","The Fate of Ophelia"
18,"Tyler, The Creator","Sugar On My Tongue"
19,"Matty The Amalgamist","freeze the world freestyle"
20,"Patrick Brasca & mac ova seas","1000 Times+1"
21,"Young Captain","Talking"
22,"Michita","CRY FOR ME featuring AMI"
23,"Jin Hai Xin","Yang Guang Xia De Xing Xing"
24,"EMIN & JONY","Камин"
25,"MFBTY","Angel"
26,"Ailee","I Need You"
27,"Jamelia","Superstar"
28,"Penny","lighter"
29,"starfall","intentions"
30,"云音阁","零度结冰(Dj阿豪 Electro Mix) (DJSrue版伴奏)"
31,"DAKOOKA","Умри, если меня не любишь"
32,"Claire Kuo","愛情訊息"
33,"Charlie Puth","We Don't Talk Anymore (feat. Selena Gomez)"
34,"2hollis","poster boy"
35,"Mc Staff & Nakama","Mente Má"
36,"Eternxlkz","Montagem Nada Tropica (Slowed + Reverb)"
37,"RAYE","WHERE IS MY HUSBAND!"
38,"Wang Leehom","愛錯 (Live)"
39,"BIGBANG","IF YOU"
40,"Daniel Powter","Free Loop"
41,"Accusefive","我想要佔據你"
42,"H3r3","Thief"
43,"AOA","Miniskirt (Karaoke Version)"
44,"Terror Jr","3 Strikes"
45,"Drake","What Did I Miss?"
46,"Pimmie, PARTYNEXTDOOR & Drake","PIMMIE'S DILEMMA"
47,"Gary Chaw","Byebye"
48,"Roula & 20 Fingers","Lick It (20 Fingers Radio Mix)"
49,"Waa Wei","你啊你啊"
50,"JJ Lin & Honor of Kings","Atlas of Tomorrow ("Honor of Kings'' Decade of Promise Theme Song)"
51,"Sheena Ringo","17"
52,"Sasha Alex Sloan","Dancing With Your Ghost"
53,"王搏","没出息 (加长版)"
54,"matryoshka","Sacred Play Secret Place"
55,"Iggy Azalea","Kream (feat. Tyga)"
56,"TINY7","零距离的思念"
57,"Reynard Silva","The Way I Still Love You"
58,"Post Malone","I Fall Apart"
59,"Jay Chou","Failure at love"
60,"G.E.M.","Only One"
61,"Keyshia Cole","Fallin' Out"
62,"Evan Guo","有我呢"
63,"Yung Bleu","Ice On My Baby"
64,"Michael Calfan & Inna","Call Me Now"
65,"薛松","嗖嗖哒"
66,"ZHAO","一滴淚的時間(R)"
67,"Mu Yunxue","新的故事正开篇 (DJ版)"
68,"Loud Urban Choir","Bloody Samaritan (Cover)"
69,"Eric Chou","Me and You"
70,"Pear freezes tightly & Wiz_H张子豪","Rashomon(Follow)"
71,"Li Ronghao","Can't Bear It (Ending Credit Theme Song of ''You Are My Sunshine'')"
72,"Dimitri Vegas, Martin Garrix & Like Mike","Tremor (Sensation 2014 Anthem)"
73,"Suxi Ren","亲爱的你啊(电视剧《无尽的尽头》主题曲)"
74,"菲菲公主","第57次取消发送"
75,"AGA","Wonderful U (Demo Version)"
76,"Sarah","捨得"
77,"王大毛","去年夏天"
78,"Bic Runga","Listening for the Weather"
79,"Jay Chou","Floral Sea"
80,"Ugress","Witch Parade Assassin"
81,"Jay Chou","Sunny Day (Live)"
82,"Tanya Chua","Red High Heels"
83,"Ellie Goulding","Love Me Like You Do (From "Fifty Shades of Grey")"
84,"KUN","Deadman"
85,"Mitski","My Love Mine All Mine"
86,"Steely Dan","Dirty Work"
87,"Jiji Dong & 芊芊龍","一点点(为什么晚上总是有星星)"
88,"郑浩 & RE-D","须尽欢 (思乡版)"
89,"Bruno Mars","That's What I Like"
90,"Koharu","Instant"
91,"黃霄雲","烟火里的尘埃"
92,"Jay Chou","Love you, no matter what"
93,"Christina Perri","A Thousand Years"
94,"JJ Lin","Always Online"
95,"Yung Bleu","Ice On My Baby (sped-up)"
96,"XG","NEW DANCE"
97,"Wanting","Jar of Love"
98,"抓猫的鱼","南下的白鲸 (DJ House版伴奏)"
99,"Yanzi Sun","我懷念的"
100,"白水寒","天真的橡皮 (DJ林泽)"
101,"Zkaaai & 哈利白特","病态的爱"
102,"Naiji Zhao","贩卖想念"
103,"Sam Smith & Normani","Dancing With A Stranger"
104,"Yung Bleu","Ice On My Baby (Remix) [feat. Kevin Gates]"
105,"Taylor Swift","Opalite"
