
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"Blessd & GeezyDee","DIOMEDEZ"
2,"Grupo Firme","El Beneficio De La Duda"
3,"Abraham Mateo & Ana Mena","Quiero Decirte"
4,"Blessd, Fuerza Regida & Ovy On the Drums","COMO OREO"
5,"Sech","Novio No"
6,"Global Afro","YA NI SU NOMBRE ME SÉ (Private AfroHouse)"
7,"La Critica & Oscar D'León","Pregones De San Cristóbal"
8,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast","Golden"
9,"yardin palacios","El Trato Coleto"
10,"Binomio de Oro de América","No Me Resignaré"
11,"Kapo & Ryan Castro","DÓNDE"
12,"Luis Alberto Posada","Mal Amor"
13,"Blessd, Anuel AA, Kris R. & Luar La L","YOGURCITO REMIX (feat. ROA, Yan Block)"
14,"W Sound, Beéle & Ovy On the Drums","La Plena (W Sound 05)"
15,"El Bogueto & Yung Beef","Cuando No Era Cantante"
16,"KAROL G & Marco Antonio Solís","Coleccionando Heridas"
17,"Beéle","quédate"
18,"Yiyo Sarante","Manos de Tijera"
19,"Tavo & Nath","Guaro"
20,"4 Non Blondes","What's Up?"
21,"Makano","Te Amo"
22,"Kybba, Sean Paul, Ryan Castro & Busy Signal","Ba Ba Bad Remix"
23,"Rels B","TU VAS SIN (fav)"
24,"La Combinación Vallenata & Jean Carlos Centeno","Ayer y Hoy"
25,"Binomio de Oro de América","Volvio el Dolor"
26,"Diego Daza & Rolando Ochoa","Directo al Cora"
27,"Jezzy & Arcángel","Que Sensación (Remix)"
28,"Trippie Redd & Diplo","Wish (Audiomack Trap Symphony Version)"
29,"Victor Valverde & JR Torres","El Mayor De Los Ranas"
30,"Peso Pluma & Estevan Plazola","HOLLYWOOD"
31,"Anuel AA, Blessd & Ovy On the Drums","Portate Bonito"
32,"Grupo Firme","Alégale Al Umpire"
33,"Alex Gargolas & RKM & Ken-Y","Un Sueño"
34,"Hamilton & Ryan Castro","4LIFE"
35,"Los Dareyes De La Sierra","Pasta"
36,"Charli xcx & Caroline Polachek","Everything is romantic featuring caroline polachek"
37,"Jere Klein, Katteyes & Mateo on the Beatz","TODO KE VER"
38,"Luis Alberto Posada","Cierra los Ojos"
39,"Fonseca & Manuel Medrano","Enamorarte Mil Veces"
40,"cjnobeat, MC Morena & MC GW","Até Quebrar a Cama 2.0"
41,"Ovy On the Drums, Quevedo & Beéle","YO y TÚ"
42,"Taylor Swift","The Fate of Ophelia"
43,"Victor Manuelle","Pensamiento y Palabra"
44,"Conjunto Chaney","Amor De Primavera"
45,"Juan Duque","Flow Diferente"
46,"Grupo Niche","Entrega"
47,"Beéle","top diesel"
48,"VAD BOYZ","MUEVELOU"
49,"yovngmanota, Hades66, TORRRES & Remers","Días Grises 3.0 (feat. Tutu & Mvchoo23) [Remix]"
50,"Héctor El Father & Don Omar","De Niña A Mujer"
51,"Ryan Castro","BOTAPAFO"
52,"El Gran Combo de Puerto Rico","Gotas De Lluvia"
53,"Mora","DETRÁS DE TU ALMA"
54,"Los Dareyes De La Sierra","Frecuencia"
55,"Alex Warren","Ordinary"
56,"Creedence Clearwater Revival","Have You Ever Seen The Rain"
57,"Erick MA","Le Hablo A Dios A Oscuras"
58,"Binomio de Oro de América","Si No Regresas"
59,"Menasa","Tra Soda Bati"
60,"Sean Paul","Punkie (Español Version)"
61,"Beéle","no tiene sentido"
62,"Luis Alfonso","La Fórmula"
63,"Rey De Rocha","Amarte Más No Pude (feat. Luister La Voz)"
64,"Victor Manuelle","No Quería Engañarte"
65,"El Andariego","Un Nuevo Amor"
66,"Kris R. & Ryan Castro","MÁS CHIMBA"
67,"Héctor & Tito","Besos en la Boca"
68,"Andres Franco","Ni Plata Ni Nada"
69,"Los inquietos del vallenato","Volver"
70,"Wallance, Fharid On The Beat & Tony Monta","Rehen"
71,"Tyler, The Creator","Sugar On My Tongue"
72,"Gilberto Santa Rosa","Perdóname (En Vivo Desde El Carnegie Hall Version)"
73,"El Andariego","La Foto De Los Dos (En Vivo)"
74,"Grupo Galé & Diego Gale","Amor, Cuánto Te Amo (En Vivo)"
75,"Ryan Castro, Blaiz Fayah & Tribal Kush","BOMBASTIK<3"
76,"Ryan Castro & Dongo","SANKA"
77,"Fresto","Me Hace Daño Verte"
78,"Xavi & Manuel Turizo","En Privado"
79,"Blessd & Ovy On the Drums","AMISTA"
80,"KAROL G & Manu Chao","Viajando Por El Mundo"
81,"Tim Sanders","Do To Me"
82,"Kapo & Feid","X TI"
83,"Nanpa Básico & DFZM","En Tu Boca El Humo Me Sabe Mejor"
84,"Nicki Minaj","Beez In The Trap (feat. 2 Chainz)"
85,"Daniel Calderón & Los Gigantes del Vallenato","Me Parte el Corazón"
86,"IZA","Doce Feito Caramelo"
87,"Choco Orta","Basta"
88,"Bryant Myers","Cualquiera Tiene Ticket"
89,"KAROL G","Ivonny Bonita"
90,"Lola Young","Messy"
91,"Yeison Jimenez","Se Acabó"
92,"Binomio de Oro de América","Realízame Mis Sueños"
93,"Teddy Swims","Lose Control"
94,"Beéle & Ovy On the Drums","Mi Refe"
95,"Kapo","NO CRY"
96,"Blessd & Los Money Makers","SE SUPONE"
97,"Bad Bunny","BAILE INoLVIDABLE"
98,"Bad Bunny","MONACO"
99,"Jezzy","Que Sensación"
100,"Keyvin Ce","EL PECADO"
101,"Flex","Sin Tu Amor (feat. Alex Pro)"
102,"Fuerza Regida & Grupo Frontera","COQUETA"
103,"Phil Collins","Another Day In Paradise"
104,"Edgar Joel","Hechizo De Luna"
105,"Joe Arroyo","El Trato"
106,"Las Musas Del Vallenato","Embriagada de Ilusiones"
107,"Jessi Uribe, Farruko & El potro Álvarez","Brutos"
108,"Bonny Cepeda","Una Fotografia"
109,"CEO Blessed DJ Savage liquid FM","nanotechnology mind control"
110,"Blessd, Los Money Makers & ProdMonja","URUS BLUE"
111,"Luister La Voz","Las Cartas"
112,"Ozuna, J Balvin & Chencho Corleone","Una Locura"
113,"Guayacán Orquesta","Te Amo Te Extraño"
114,"Cosculluela","Prrrum"
115,"sombr","back to friends"
116,"Easykid","Shiny"
117,"Eloy, Randy, Zion & Jowell & Randy","Fuera del Planeta (Remix)"
118,"Hamilton","Y por ahí me dicen y que"
119,"Propuesta Vallenata, Francisco Javier & Mauricio Arango","Hasta Que Regrese"
120,"Farruko, Louis BPM & Fronti","NERVIOS DE ACERO (Bandido)"
121,"Don Omar","Anda Sola"
122,"Daddy Yankee","Salgo Pa' la Calle (feat. Randy)"
123,"Los Caligaris","Kilómetros"
124,"Roberto Blades","Lágrimas"
125,"Furacão 2000","Mimosa 2000"
126,"The Police","Every Breath You Take"
127,"Marc Segui, Rauw Alejandro & Pol Granch","Tiroteo (Remix)"
128,"El Apostol, Don Kolo & Jossimar","Ninfómana"
129,"Erick y La Decision Vallenata","Amor Sin Fronteras"
130,"Future","Life Is Good (feat. Drake)"
131,"Blessd, Los Money Makers & ProdMonja","NUEVA YORK"
132,"Tom Odell","Another Love"
133,"ROA & Hades66","PPC"
134,"Pink Floyd","Another Brick In the Wall, Pt. 1"
135,"Jimmy Zambrano & Jorge Celedón","Por Tu Primer Beso"
136,"Aerosmith","Dream On"
137,"El Chico Jaramillo","Vete Aléjate De Mí"
138,"ARIA VEGA","AGUA E' PANELA (cule_nota)"
139,"Kapo","RUFF"
140,"Los inquietos del vallenato","Después de Ti"
141,"Maykel Blanco y su Salsa Mayor","Yo Comprendo (feat. Mayito Rivera)"
142,"Alleh & Yorghaki","capaz (merengueton)"
143,"Binomio de Oro de América","Dime Cómo Te Olvido"
144,"Willie Colón","Sin Poderte Hablar"
145,"Beéle","si te pillara"
146,"Bad Bunny","EoO"
147,"Blessd, Javiielo & Neutro Shorty","Dos Problemas (feat. Big Soto) [Remix]"
148,"RÜFÜS DU SOL","Innerbloom"
149,"Don Omar & Kendo Kaponi","El Duro (feat. Kendo Kapponi)"
150,"KAROL G & Feid","Verano Rosa"
151,"Kris R.","LOS CACORROS USAN KLEIMOND"
152,"Tony Monta","Un Día en Mi Barrio"
153,"Lisandro Meza","El Amor"
154,"Binomio de Oro de América","No Pude Olvidarte"
155,"El Gran Combo de Puerto Rico","Regresa Ya"
156,"EMIN & JONY","Камин"
157,"Los Diablitos","Sueños de Olvido"
158,"George Michael","Careless Whisper"
159,"David Pabon","Si Me Ves Llorar"
160,"Jessi Uribe & Jean Carlos Centeno","Dando Instrucciones"
161,"Kris R. & Blessd","Las Piponas (Remix)"
162,"Efecto Elegante","Ebrio de amor"
163,"Tate McRae","you broke me first"
164,"Nino Segarra","Porque Te Amo"
165,"Fuerza Regida","TU SANCHO"
166,"Boza & ELENA ROSE","Orion"
167,"Binomio de Oro de América","Difícil de Igualar"
168,"Cosculluela","Black Ops"
