
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"Alex Warren","Ordinary"
2,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast","Golden"
3,"Christian Nodal","Amé"
4,"KAROL G & Marco Antonio Solís","Coleccionando Heridas"
5,"Taylor Swift","The Fate of Ophelia"
6,"Abraham Mateo & Ana Mena","Quiero Decirte"
7,"KAROL G & Manu Chao","Viajando Por El Mundo"
8,"Kybba, Sean Paul, Ryan Castro & Busy Signal","Ba Ba Bad Remix"
9,"Blessd, Anuel AA, Kris R. & Luar La L","YOGURCITO REMIX (feat. ROA, Yan Block)"
10,"Josuan & Eshconinco","Woy"
11,"Grupo Firme","El Beneficio De La Duda"
12,"Xavi & Grupo Frontera","No Capea"
13,"W Sound, Beéle & Ovy On the Drums","La Plena (W Sound 05)"
14,"Xavi & Manuel Turizo","En Privado"
15,"Rels B","TU VAS SIN (fav)"
16,"Ricky Martin & Carín León","A Medio Vivir"
17,"Cazzu","Con Otra"
18,"Kapo & Ryan Castro","DÓNDE"
19,"MOLIY, Silent Addy, Skillibeng & Shenseea","Shake It To The Max (FLY) [Remix]"
20,"4 Non Blondes","What's Up?"
21,"Blessd & GeezyDee","DIOMEDEZ"
22,"Valentino GRM, Barbel, Ladele OTM & smile beats","PERVERSA (Remix)"
23,"El Yeyo PP, Aldair Productions & Valentino GRM","PASAME LA UBI (feat. Anyuri & Fulo El Yeyo) [Remix]"
24,"Chuy Lizárraga y Su Banda Tierra Sinaloense","Partido En Dos (Mariachi)"
25,"Alleh & Yorghaki","capaz (merengueton)"
26,"Fonseca & Manuel Medrano","Enamorarte Mil Veces"
27,"Dei V & Luar La L","Problema"
28,"Daddy Yankee","Sonríele"
29,"Beéle","no tiene sentido"
30,"Julión Álvarez y su Norteño Banda","Rey Sin Reina"
31,"Selena Gomez, benny blanco & The Marías","Ojos Tristes"
32,"Danny Ocean & Kapo","Imagínate"
33,"Ovy On the Drums, Quevedo & Beéle","YO y TÚ"
34,"Sech","Novio No"
35,"Creedence Clearwater Revival","Have You Ever Seen The Rain"
36,"Charli xcx & Caroline Polachek","Everything is romantic featuring caroline polachek"
37,"Olivia Dean","Man I Need"
38,"Beéle","si te pillara"
39,"Plumpy Boss","Episode"
40,"KAROL G","Milagros"
41,"Kybba & Blaiz Fayah","Rude"
42,"Yuridia","Sin Llorar"
43,"Beéle","quédate"
44,"Foreigner","I Want To Know What Love Is (Remastered)"
45,"Beéle","top diesel"
46,"Trippie Redd & Diplo","Wish (Audiomack Trap Symphony Version)"
47,"Teddy Swims","Lose Control"
