
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"BLACKPINK","JUMP"
2,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast","Golden"
3,"Taylor Swift","The Fate of Ophelia"
4,"MK","Dior (feat. Chrystal)"
5,"Disco Lines & Tinashe","No Broke Boys"
6,"Maesic, Marshall Jefferson & Salomé Das","Life Is Simple (Move Your Body)"
7,"sombr","undressed"
8,"RAYE","WHERE IS MY HUSBAND!"
9,"MOLIY, Silent Addy, Skillibeng & Shenseea","Shake It To The Max (FLY) [Remix]"
10,"GIMS","Est-ce que tu m'aimes ? (Pilule Bleue)"
11,"Lady Gaga","The Dead Dance"
12,"Lewis Capaldi","Something In The Heavens"
13,"Lola Young","Messy"
14,"Swedish House Mafia","Wait So Long (Why Do I Have To) [REMIND Remix]"
15,"Calvin Harris & Jessie Reyez","Ocean"
16,"KATSEYE","Gabriela"
17,"Ravyn Lenae","Love Me Not"
18,"Olivia Dean","Man I Need"
19,"Ed Sheeran","Sapphire"
20,"Calvin Harris & Clementine Douglas","Blessings"
21,"Chappell Roan","Good Luck, Babe!"
22,"Morgan Wallen","Love Somebody"
23,"CYRIL & maryjo","Still Into You"
24,"Teddy Swims","Bad Dreams"
25,"Kids From The Sky","Onaj Osjećaj"
26,"Relja","Ma Bolje Sam"
27,"HUGEL, Topic & Arash","I Adore You (feat. Daecolm)"
28,"Alex Warren","Ordinary"
29,"Lewis Capaldi","Survive"
30,"Miley Cyrus","End of the World"
31,"KAROL G","Si Antes Te Hubiera Conocido"
32,"Miach","FAZA"
33,"Chappell Roan","The Subway"
34,"BostosMusic","Halo ovde Djavo (Metal Verzija)"
35,"David Guetta, Teddy Swims & Tones And I","Gone Gone Gone"
36,"z++","sedmo nebo"
37,"Damiano David","The First Time"
38,"FloyyMenor & Cris MJ","Gata Only"
39,"ZERB & Wiz Khalifa","Location (feat. Ty Dolla $ign)"
40,"Miach & Hiljson Mandela","Anđeo (From "Sram")"
41,"Luzeri","Blank Face"
42,"David Tobin, Jeff Meegan, Julian Gallant & Royal Philharmonic Orchestra","Suite No.1 for violoncello solo in G major BWV 1007: I. Prelude"
43,"Furacão 2000","Mimosa 2000"
44,"Nela","Ralje"
45,"Teddy Swims","Lose Control"
46,"Bonnie Tyler","Total Eclipse of the Heart"
47,"Charli xcx & Caroline Polachek","Everything is romantic featuring caroline polachek"
48,"Lost Frequencies","Love Is The Only Thing"
49,"Tate McRae","Just Keep Watching (From F1® The Movie)"
50,"Quindon Tarver","Everybody's Free (To Wear Sunscreen)"
51,"CYRIL","Stumblin' In"
52,"Alex Warren & Jelly Roll","Bloodline"
53,"Kids From The Sky","Prolazna Stvar"
54,"Ornella Vanoni","L'appuntamento"
55,"Tom Odell","Another Love"
56,"David Guetta & Sia","Beautiful People"
57,"Matt Sassari & HUGEL","It Feels So Good (feat. Sonique)"
58,"Fire Inc.","Nowhere Fast"
59,"Benson Boone","Beautiful Things"
60,"Nikolija & Biba","MDMA"
61,"Mia Dimšić","Nemoj noći brzo proći (feat. Tomislav Bralić & Klapa Intrade)"
62,"Rudimental & Khalid","All I Know"
63,"Trippie Redd & Diplo","Wish (Audiomack Trap Symphony Version)"
64,"Jonas Brothers","No Time To Talk"
65,"Martin Kosovec","Balada"
66,"Indila","Dernière Danse"
67,"4 Non Blondes","What's Up?"
68,"Coldplay, Little Simz, Burna Boy, Elyanna & TINI","WE PRAY"
69,"Damiano David","Born With a Broken Heart"
70,"Hurts & Purple Disco Machine","Wonderful Life '25 (Extended)"
71,"Mary J. Blige","Family Affair"
72,"Fontaines D.C.","Starburster"
73,"Nika Turković","dovoljna"
74,"Jala Brat & Buba Corelli","Tec-9"
75,"Leony","By Your Side (In My Mind)"
76,"Bonnie Tyler","Holding Out For a Hero"
77,"Teya Dora","Džanum"
78,"Miach","HONOLULU"
79,"KAMRAD","Be Mine"
80,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
81,"Letu Stuke","Mjesto Za Dvoje"
82,"Felix Jaehn & Shouse","Walk With Me (Edit)"
83,"Chris Stapleton","Tennessee Whiskey"
84,"Devito","Amsterdam"
85,"KUKU$ & Baby Lasagna","Bam Bam Bira"
86,"Billie Eilish","BIRDS OF A FEATHER"
87,"ROSÉ & Bruno Mars","APT."
88,"Benson Boone","Mystical Magical"
89,"David Temelkov","Slušaj kada život diktira"
90,"Deep Purple","Burn"
91,"Glass Animals","Heat Waves"
92,"PARTIBREJKERS","Kreni Prema Meni"
93,"Eni Jurišić & Matija Cvek","Trebaš Li Me"
94,"Dire Straits","Sultans of Swing"
95,"The Goo Goo Dolls","Iris"
96,"Benson Boone","Sorry I'm Here For Someone Else"
97,"Lola Young","One Thing"
98,"Faithless","Insomnia"
99,"The Stranglers","Golden Brown"
100,"Edward Maya & Vika Jigulina","Stereo Love"
101,"Grše","Forza"
102,"AFROJACK","Never Forget You"
103,"bejbe","DO SVITANJA (feat. Goca R.I.P.)"
104,"Nedeljko Bajic Baja","I za noc i za dan"
105,"Chris Isaak","Wicked Game"
106,"Bronski Beat","Smalltown Boy"
107,"Nico Santos","Ray Of Light"
108,"Daniel","Kao Da Ne Postojim"
109,"Foreigner","I Want To Know What Love Is (Remastered)"
110,"Dado Topić","Floyd"
111,"Artemas","i like the way you kiss me"
112,"Alle Farben, Graham Candy & Lahos","Flowers"
113,"Men At Work","Down Under"
114,"Farruko","Pepas"
115,"Gracie Abrams","That’s So True"
116,"Toni Sky","Megan Fox"
117,"sombr","12 to 12"
118,"KREAM","Subelo"
119,"Mahmut Orhan","Feel (feat. Sena Sener) [Radio Edit]"
120,"Topic, Fireboy DML & Nico Santos","Body"
121,"The House of Love","Shine On"
122,"Status Quo","Whatever You Want"
123,"James Hype","Don't Wake Me Up"
124,"Milica Pavlović","ADHD"
125,"Sonique","Sky"
126,"ToMa","Kriva procjena"
127,"John Legend","All of Me"
128,"Opus","Live Is Life (Live)"
129,"Lipps, Inc.","Funkytown"
130,"Tommy Cash","Espresso Macchiato"
131,"Martin Garrix & Lauv","MAD"
132,"Disturbed","The Sound of Silence (CYRIL Remix)"
133,"George Michael","Careless Whisper"
134,"Nicki Minaj","Beez In The Trap (feat. 2 Chainz)"
135,"Gala","Freed From Desire"
136,"Marco Mengoni","Due Vite"
137,"Silente","Sve da ima neki način"
138,"Vojko V & Peki","Šibenik"
139,"Ljetno Kino Big Band & Vlada Divljan","Samo Jednu Ljubav Imam"
140,"Nek","Laura Non C'è"
141,"Harry Nilsson","Everybody's Talkin' (1971 Mix)"
142,"Martin","Maštarija"
143,"SIDEPIECE","Cry for You (2025)"
144,"Ricchi & Poveri","Sarà Perché Ti Amo"
145,"Kid Cudi","Maui Wowie"
146,"z++ & Hiljson Mandela","Aurora"
147,"Adam Port, Stryv & Malachiii","Move"
148,"PinkPantheress","Illegal"
149,"Yolanda Be Cool","Now Listen"
150,"Deep Purple","Soldier of Fortune"
151,"Joe Dassin","L'été indien"
152,"Cutting Crew","(I Just) Died In Your Arms"
153,"Led Zeppelin","Whole Lotta Love"
154,"NEIKED & Portugal. The Man","Glide"
155,"Ed Sheeran","Azizam"
156,"Hiljson Mandela","Papiri"
157,"Devito","Ego"
158,"WizTheMc & bees & honey","Show Me Love"
159,"Tyler, The Creator","Sugar On My Tongue"
160,"Billy Joel","Piano Man"
161,"Guns N' Roses","Sweet Child O' Mine"
162,"Valentino","Oka Tvoja Dva"
163,"Damiano David","Next Summer"
164,"CYRIL & Kelland","I Got Love (feat. Nate Dogg)"
165,"Valentino","Samo Sklopi Okice"
166,"The Police","Every Breath You Take"
167,"Yes","Owner of a Lonely Heart"
168,"Lady Gaga","Abracadabra"
169,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, Kevin Woo, samUIL Lee & KPop Demon Hunters Cast","Your Idol"
170,"blutut","Pablo Prva Verzija"
171,"Đani Stipaničev","Pokora"
172,"Anyma & Ellie Goulding","Hypnotized"
173,"Matija Cvek","Pristajem (feat. LELEK)"
174,"KRISTIJAN RAHIMOVSKI","Stopala"
175,"Nick Cave & The Bad Seeds","Red Right Hand (2011 Remaster)"
176,"EMIN & JONY","Камин"
177,"Bloodhound Gang","The Bad Touch"
178,"Miach","NLO (feat. Hiljson Mandela)"
179,"Teddy Swims","The Door"
180,"Kygo & Imagine Dragons","Stars Will Align"
181,"Nataša Bekvalac","U Inat (feat. Zoi)"
182,"The Buggles","Video Killed the Radio Star"
183,"Dolly Parton & Kenny Rogers","Islands In the Stream"
184,"Alex Warren","Eternity"
185,"Ilan Kabiljo","Kad nema ljubavi"
186,"Black Sabbath","Paranoid"
187,"Doris Dragović & Hari Rončević","Ni Da Mora Nestane"
188,"Peki & Vojko V","Ganga i Rera"
189,"Morgan Wallen & Tate McRae","What I Want"
190,"Duran Duran","Ordinary World"
191,"Liquido","Narcotic (Radio Edit)"
192,"The Beautiful South","Perfect 10"
193,"Nirvana","Something In the Way"
194,"Gigi D'Agostino","L'amour Toujours"
195,"AKORGO BOYS","ДЫК КЫН ДЫШ"
196,"Ed Sheeran","Camera"
197,"Miley Cyrus","Secrets (feat. Lindsey Buckingham & Mick Fleetwood)"
198,"Silente","Bog kakvog trebam"
199,"Mandi","Nisi Me Bio Vrijedan"
200,"Nenad Ninčević","Ja Oprostit Ću Sve"
