
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast","Golden"
2,"ItaloBrothers & AronChupa","Galliano"
3,"Charli xcx & Caroline Polachek","Everything is romantic featuring caroline polachek"
4,"Icegergert & Zivert","БАНК"
5,"Trippie Redd & Diplo","Wish (Audiomack Trap Symphony Version)"
6,"Taylor Swift","The Fate of Ophelia"
7,"Tommy Cash","Espresso Macchiato"
8,"P T K","ONLY WAY OUT IS THROUGH THE S***S 2"
9,"Albert Brite","Wild"
10,"KATO","Turn The Lights Off (feat. Jon)"
11,"Richard Müller & Emma Smetana","Tahle Jedna Vteřina"
12,"The Slow Show","Ordinary Lives"
13,"Ваня Дмитриенко & Аня Пересильд","Силуэт (из к/ф «Алиса в Стране Чудес»)"
14,"Abraham Mateo & Ana Mena","Quiero Decirte"
15,"Alan Walker & FAANGS","Heartbreak Melody"
16,"Jakone & Kiliana","Жиганская"
17,"Furacão 2000","Mimosa 2000"
18,"Chiara","Chiary Svět"
19,"Shakira","Addicted to You"
20,"Lady Gaga","The Dead Dance"
21,"SABI & MIA BOYKA","Базовый минимум"
22,"Disco Lines & Tinashe","No Broke Boys"
23,"4 Non Blondes","What's Up?"
24,"AKORGO BOYS","ДЫК КЫН ДЫШ"
25,"Kid Cudi","Maui Wowie"
26,"Ed Sheeran","Sapphire"
27,"Doechii","Anxiety"
28,"GUFRAU, Victor Kal. & Rohony","NAVŽDYCKY BLÁZEN"
29,"Nicki Minaj","Beez In The Trap (feat. 2 Chainz)"
30,"Alex Warren","Ordinary"
31,"Tkandz & CXSPER","Now or Never"
32,"P T K","NEŽ NEJSEM DEAD"
33,"T-Pain","Up Down (Do This All Day) [feat. B.o.B]"
34,"RAYE","WHERE IS MY HUSBAND!"
35,"KAMRAD","Be Mine"
36,"Sayfalse, Cape & Jxndro","Montagem Rugada"
37,"Beastie Boys","Sabotage"
38,"Sub Focus","Solar System"
39,"Miley Cyrus","Walk of Fame (feat. Brittany Howard) [Edit]"
40,"Dimitri Vegas, David Guetta & Loreen","Pum Pum"
41,"Miley Cyrus","End of the World"
42,"Линочка Ли","Любить тебя"
43,"sombr","back to friends"
44,"JONI","I Like You (Me Gustas Tu)"
45,"EMIN & JONY","Камин"
46,"Elán","Znova sa ma dotkni"
47,"The Goo Goo Dolls","Iris"
48,"Disturbed","The Sound of Silence (CYRIL Remix)"
49,"Alvaro Soler & Marta Santos","Lo Que Pasó, Pasó"
50,"Rihanna","S&M"
51,"2hollis","poster boy"
52,"Benson Boone","Mystical Magical"
53,"Kylie Minogue","All the Lovers"
54,"EsDeeKid & Rico Ace","Phantom"
55,"DJ Snake & Bipolar Sunshine","Paradise"
56,"Albert Brite","Я хочу каждый твой атом"
57,"Dj Dark","Anxiety"
58,"Céline Dion","The Power of Love"
59,"Lady Gaga & Bruno Mars","Die With A Smile (Acoustic)"
60,"Gigi D'Agostino","L'amour Toujours"
61,"Mirai & Tribbs","Dokola"
62,"Neil Diamond & Two Friends","Sweet Caroline (Two Friends Remix)"
63,"Stuttgart Chamber Orchestra & Karl Münchinger","Suite No. 3 in D, BWV 1068: II. Air"
64,"NEIKED & Portugal. The Man","Glide"
65,"Lucie","MARIE"
66,"Schoko & spanio","Le Ball (RMX DJ MNS vs. E-MAXX)"
67,"Michal David","Život je náš"
68,"CEO Blessed DJ Savage liquid FM","nanotechnology mind control"
69,"Musicairecords","Riki Tiki"
