
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"Rosa","Skyklapper"
2,"Taylor Swift","The Fate of Ophelia"
3,"Rasmus Seebach & Artigeardit","Sandheden"
4,"Rihanna","Kiss It Better (Jaydon Lewis Remix) [Mixed]"
5,"Guldimund & Saveus","Vil du noget?"
6,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast","Golden"
7,"Olivia Dean","Man I Need"
8,"Ed Sheeran","Sapphire"
9,"RAYE","WHERE IS MY HUSBAND!"
10,"Lady Gaga","The Dead Dance"
11,"Emil Kruse","Copenhagen City (feat. OK OK & Anthon Edwards)"
12,"Lewis Capaldi","Survive"
13,"sombr","12 to 12"
14,"Albert Heath","Horsens (feat. Sofie1998)"
15,"Omar","Hele Vejen (feat. Mumle)"
16,"Icegergert & Zivert","БАНК"
17,"APHACA","En drøm om et menneske"
18,"Tobias Rahim","Elsker når du smiler"
19,"Kehlani","Folded"
20,"oskar med k","Make Me Feel"
21,"Charli xcx & Caroline Polachek","Everything is romantic featuring caroline polachek"
22,"Mumle","Fire Uger"
23,"Sofie1998","Alene Og In Love"
24,"Alex Warren","Eternity"
25,"D1MA","NATTEN BLIVER MORGEN"
26,"Katinka","Kogeplade"
27,"Disco Lines & Tinashe","No Broke Boys"
28,"Trippie Redd & Diplo","Wish (Audiomack Trap Symphony Version)"
29,"Gobs","igen & igen (feat. One Two)"
30,"Alex Warren","Ordinary"
31,"MORTEN & Nik & Jay","Aura"
32,"Ravyn Lenae","Love Me Not"
33,"Mille","beholder mit tøj på"
34,"Chappell Roan","Good Luck, Babe!"
35,"KATO","Turn The Lights Off (feat. Jon)"
36,"Artigeardit & Lamin","Hvor F**k Er Min Drink?"
37,"Tame Impala","Dracula"
38,"Mille","hader ik mig selv sammen med dig"
39,"Furacão 2000","Mimosa 2000"
40,"Ella Augusta & Ida Laurberg","Bedre Held Næste Gang"
41,"Svea S","Det Ønsker Jeg For Dig"
42,"HEDEGAARD & CANCUN?","BAD GIRL"
43,"DYSTINCT","YAMA"
44,"ozzy & Benny Jamz","Flyv Højt"
45,"BATHSHEBA & Safri Duo","Baya (Take Me Away)"
46,"Blæst","Den nye pige"
47,"JISOO & ZAYN","EYES CLOSED"
48,"Christopher","Orbit"
49,"Kid Cudi","Maui Wowie"
50,"Skinz","Åboulevarden"
51,"Kölsch & CamelPhat","Waste my time"
52,"Zar Paulo","We Are One"
53,"4 Non Blondes","What's Up?"
54,"Albert Brite","Wild"
55,"David Guetta, Teddy Swims & Tones And I","Gone Gone Gone"
56,"Pil","Ringet Fra Mine Lommer"
57,"Gracie Abrams","That’s So True"
