
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"TUL8TE","El Hob Gany"
2,"El7aga Nabila","Ya Wala (Titre Walad Bent Shayeb)"
3,"EMIN & JONY","Камин"
4,"Eslam Kabonga","منا مش فاضي اطبطب ادادي"
5,"Charli xcx & Caroline Polachek","Everything is romantic featuring caroline polachek"
6,"Tommy Gun","Nasy (From The TV Series Ma Trah Lays Kama Ybdo)"
7,"Lege-Cy","3alam Kadaba (From The TV Series Ma Trah Lays Kama Ybdo)"
8,"ZIAD ZAZA, Vodafone Music & Ismail Nosrat","BALINI"
9,"George Wassouf","Kalam El Nas (Live)"
10,"ZIAD ZAZA","WALA MEEN (feat. Lege-Cy & Ismail Nosrat)"
11,"Albert Brite","Wild"
12,"Abyusif","Hal Di Kat Hayatak"
13,"Nasser","LEH"
14,"Abd El Basset Hamouda, Mahmoud El lithy, Hamdy Batshan, Ali Rabee, Osos & Hassan El Kholaey","سطلانة (من فيلم بعد الشر)"
15,"George Wassouf","Kedah Kifayah"
16,"Maha Ftouni","أول حب"
17,"Trippie Redd & Diplo","Wish (Audiomack Trap Symphony Version)"
18,"كريم كريستيانو","الحكاية بدات هزار ( عملو قعدة وخططولي )"
19,"حودة بندق","الجاي بتاعي"
20,"TUL8TE","Heseeny"
21,"TUL8TE","Shedeeny"
22,"Eslam Kabonga & Efa El Erany","وشوش مفبركه"
23,"Olivia Dean","So Easy (To Fall In Love)"
24,"CEO Blessed DJ Savage liquid FM","nanotechnology mind control"
25,"محمود السوهاجي","بطيب الخواطر (وفيت وقلبي كان صافي)"
26,"Ahmad Amer","فين يوجعك"
27,"كريم كريستيانو, مصطفي الجن & هادي الصغير","انا رقمى هو هو يالى نفسك فيا"
28,"Tommy Gun","Etghayart (feat. Rally)"
29,"Essam Sasa","عنبر عنبره علي نفسيتي المدمره (عيش وملح هان)"
30,"Shakira","Addicted to You"
31,"Eslam Kabonga","بلاش تطير ع الابلكيشن"
32,"Hamo Bika","Wada3 Ya Donia Wada3"
33,"Marwan Moussa & Karim Osama","shaklekmagnona"
34,"Amr Gaber","كله قالي اشمعنا هو"
35,"nour","Meen Ysadak (feat. Eldab3)"
36,"Saint Levant & Fares Sokar","DO YOU LOVE ME? / سنيورة"
37,"DJ Malka","Dulce de Leche (feat. La Nata)"
38,"Billie Eilish","WILDFLOWER"
39,"Ahmed Saad","Law Tigi"
40,"FloyyMenor & Cris MJ","Gata Only"
41,"Marwan Moussa & Donia Wael","makan fi albak"
42,"SKAI ISYOURGOD","Stacks from All Sides"
43,"Wegz","Bad Days"
44,"ZXKAI & slxughter","NO BATIDÃO (Slowed)"
45,"George Wassouf","Law kol Asheg"
46,"Tim Duzit","Kat Slater (Native Remedies Remix)"
47,"حوده بوده & Eslam Kabonga","انا مش من عندكو بس واصل عندكو"
48,"حمو المرشدي","بخ بخ بخ عو"
49,"Ramy Sabry","El Hoob 3ebna"
50,"Eslam Kabonga","انا مش ديلار يا حكومه"
51,"Essam Sasa & Kimo Eldeeb","شكرا بجد لكل حد وجعني"
52,"Sayfalse, Cape & Jxndro","Montagem Rugada"
53,"DYSTINCT","YAMA"
54,"Ahmed Saad","مكسرات"
55,"Maha Ftouni","Maasat"
56,"Amer Mounib","Kan Helm Omry"
57,"Ramy Sabry","بحكيلك عن الأيام"
58,"Hussain Al Jassmi","Ana Wel Amar"
59,"Elissa, Hassan El Shafei & Al Ahly Sabbour Developments","Helwa W Ehna Sawa - الاهلى صبور"
60,"Amr Diab","Mesh Kol Wahed"
61,"Husayn","El Hob Bey2zini"
62,"Coolzone","Nasty Jamz"
63,"Mohamed Chaker & Fadel Chaker","Kifk 3A Fra2e"
64,"Black Eyed Peas","My Humps"
65,"Amr Diab","Baba"
66,"TUL8TE","Narein"
67,"Lana Del Rey","Cinnamon Girl"
68,"Essam Sasa","محكمه ودخلنا علي المفرمه (افتري و عوجلي شعره لورا)"
69,"AL SHAMI","Balaki"
70,"Fairouz","Ma Kedert Neseet"
71,"Lege-Cy & Ismail Nosrat","LAW NASYANY"
72,"Hamid El Shari & EL Waili","Nesrah Fi Zaman (Men Film Feha Eih Yaany)"
73,"Hamo Bika","عندي صحاب يامه (feat. Eslam Kabonga)"
74,"Adele","Lovesong"
75,"Taylor Swift","The Fate of Ophelia"
76,"Otsha","ضميري"
77,"Saint Levant & Marwan Moussa","KALAMANTINA /  كلمنتينا"
78,"Angham","Sebtely Alby"
79,"Bilal Derky","Kif Emelet Hek"
80,"Abo El Shok","Kesa Fased"
81,"Amr Diab","Khalik Maaya"
82,"Otilia","Bilionera (Radio Edit)"
83,"Afroto","San Stefano"
84,"Ahmed Saad","بخاف من مسلسل سيد الناس"
85,"The Marías","No One Noticed"
86,"Nabil","Sobhano"
87,"EL Waili","Ghasb"
88,"Eslam Kabonga","سنين حزن و ليالي جرح"
89,"Tamer Ashour","Ghebet El Habayeb"
90,"Queen","Don't Stop Me Now"
91,"TUL8TE","Habeeby Da"
92,"Shehab","مرزمن"
93,"Amr Diab","Mate'laash"
94,"Bessan Ismail & Fouad Jned","خطية"
95,"Lege-Cy","El Neyya"
96,"dj Samir, DJ Zarek, DJ DUDA & LUNxdiE","Lua na Praça (Slowed)"
97,"كريم كريستيانو","شدو حيلكو العو جالكو ( حطو خطه واسسوها )"
98,"Eslam Kabonga","انا لبسي اوفر سايز"
99,"Mohamed Aly","Shadows"
100,"Rida","Ana Bataalem Mennak"
101,"MoBlack & Salif Keïta","Yamore (feat. Cesária Evora, Benja (NL) & Franc Fala)"
102,"Mahmoud El Leithy & Essam Sasa","سيبك من اللي خلع (من فيلم حمص وحلاوة)"
