
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"Taylor Swift","The Fate of Ophelia"
2,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast","Golden"
3,"Ahti & Behm","Tähdet"
4,"Haloo Helsinki!","Voiko enkelitkin eksyä"
5,"Robot 29","Del Nadareh Gonahi (feat. Omid Saeedi) [Persian Rock Reimagined]"
6,"Trippie Redd & Diplo","Wish (Audiomack Trap Symphony Version)"
7,"KATO","Turn The Lights Off (feat. Jon)"
8,"Icegergert & Zivert","БАНК"
9,"DYSTINCT","YAMA"
10,"Charli xcx & Caroline Polachek","Everything is romantic featuring caroline polachek"
11,"JVG & emma & matilda","Kävi Miten Kävi (feat. Emma & Matilda)"
12,"Epicure, Fedi & Masin","Jenab Sarvan (feat. Bobby Salar)"
13,"Akcent, SERA & Misha Miller","Don't Leave (Kylie)"
14,"KAUKUA","10 000 tuntii"
15,"Furacão 2000","Mimosa 2000"
16,"Amir Khalvat & Darab","Dige Chi Kame?"
17,"CEO Blessed DJ Savage liquid FM","nanotechnology mind control"
18,"Cheat Codes, Edward Maya & Enisa","Be Your Friend"
19,"KATSEYE","Gabriela"
20,"SABI & MIA BOYKA","Базовый минимум"
21,"Wilody","NOSTALGIA"
22,"Shakira","Addicted to You"
23,"Disco Lines & Tinashe","No Broke Boys"
24,"Damiano David","The First Time"
25,"Ваня Дмитриенко & Аня Пересильд","Силуэт (из к/ф «Алиса в Стране Чудес»)"
26,"DJ Snake & Bipolar Sunshine","Paradise"
27,"Mamrez","Daman Zardoo"
28,"Lady Gaga","The Dead Dance"
29,"RAYE","WHERE IS MY HUSBAND!"
30,"Albert Brite","Wild"
31,"Behm","Kaiken arvoinen"
32,"Jakone & Kiliana","Жиганская"
33,"sombr","12 to 12"
34,"David Guetta, Teddy Swims & Tones And I","Gone Gone Gone"
35,"Nelli Matula","Uus ikuisuus"
36,"Isac Elliot","Ai Että"
37,"Swedish House Mafia","Wait So Long (Why Do I Have To) [REMIND Remix]"
38,"Mustafa Yılmaz & Arven Kaya","Biter mi"
