
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast","Golden"
2,"Taylor Swift","The Fate of Ophelia"
3,"Charli xcx & Caroline Polachek","Everything is romantic featuring caroline polachek"
4,"Trippie Redd & Diplo","Wish (Audiomack Trap Symphony Version)"
5,"Disco Lines & Tinashe","No Broke Boys"
6,"Icegergert & Zivert","БАНК"
7,"Bleu Soleil & LUIZA","Soleil Bleu"
8,"DYSTINCT","YAMA"
9,"Abraham Mateo & Ana Mena","Quiero Decirte"
10,"Furacão 2000","Mimosa 2000"
11,"Lady Gaga","The Dead Dance"
12,"Kid Cudi","Maui Wowie"
13,"Olivia Dean","Man I Need"
14,"RAYE","WHERE IS MY HUSBAND!"
15,"Glockenbach & Tom Walker","Home"
16,"James Hype","Waterfalls (feat. Sam Harper & Bobby Harvey)"
17,"Ed Sheeran","Sapphire"
18,"Alex Warren","Ordinary"
19,"Tkandz & CXSPER","Now or Never"
20,"Lola Young","Messy"
21,"sombr","undressed"
22,"David Guetta, Teddy Swims & Tones And I","Gone Gone Gone"
23,"Nicki Minaj","Beez In The Trap (feat. 2 Chainz)"
24,"KATO","Turn The Lights Off (feat. Jon)"
25,"FAYAN & Dalton","VERLIEBT IN MICH"
26,"SABI & MIA BOYKA","Базовый минимум"
27,"4 Non Blondes","What's Up?"
28,"Shakira","Addicted to You"
29,"Alex Warren","Eternity"
30,"Ваня Дмитриенко & Аня Пересильд","Силуэт (из к/ф «Алиса в Стране Чудес»)"
31,"Jakone & Kiliana","Жиганская"
32,"Nikbinler","Eylülzede"
33,"EMIN & JONY","Камин"
34,"CEO Blessed DJ Savage liquid FM","nanotechnology mind control"
35,"Albert Brite","Wild"
36,"Semicenk","Sen Kaldın"
37,"David Guetta & Sia","Beautiful People"
38,"The Gardener & The Tree","mistaken for a while (OST Hundertdreizehn)"
39,"Tyler, The Creator","Sugar On My Tongue"
40,"Miley Cyrus","End of the World"
41,"Topic, Fireboy DML & Nico Santos","Body"
42,"Hurts & Purple Disco Machine","Wonderful Life '25 (Extended)"
43,"A Great Big World","Say Something"
44,"Anne Mosters (aus The Voice of Germany 2025) & Rachel Leggio (aus The Voice of Germany 2025)","Redbone (aus "The Voice of Germany 2025") [Live]"
45,"Lady Gaga","Always Remember Us This Way"
46,"Calum Scott","You Are The Reason"
47,"Calvin Harris & Clementine Douglas","Blessings"
48,"brux XTN","Paid to Exist"
49,"KAMRAD","Be Mine"
50,"Sayfalse, Cape & Jxndro","Montagem Rugada"
51,"sombr","12 to 12"
52,"EsDeeKid & Rico Ace","Phantom"
53,"sombr","back to friends"
54,"Çağla & Doğu Swag","Seni Düşündüm"
55,"Chappell Roan","The Subway"
56,"AKORGO BOYS","ДЫК КЫН ДЫШ"
57,"FloyyMenor & Cris MJ","Gata Only"
58,"NEIKED & Portugal. The Man","Glide"
59,"Robot 29","Del Nadareh Gonahi (feat. Omid Saeedi) [Persian Rock Reimagined]"
60,"BLACKPINK","JUMP"
61,"ClockClock","Adore Ya"
62,"Ravyn Lenae","Love Me Not"
63,"Michael Kiwanuka","Cold Little Heart"
64,"Journey","Don't Stop Believin'"
65,"Easykid","Shiny"
66,"Debbie","All Night Long"
67,"GroßstadtEngel","Gute Laune"
68,"Линочка Ли","Любить тебя"
69,"Albert Brite","Я хочу каждый твой атом"
70,"SKAI ISYOURGOD","Stacks from All Sides"
71,"The Goo Goo Dolls","Iris"
72,"Ely Oaks & LAVINIA","Money Made Me A Savage (Calabria)"
73,"2hollis","poster boy"
74,"Tom Odell","Another Love"
75,"Sunnatillo Do'stov","Alyonushka"
76,"PlaqueBoyMax, Rakai & BunnaB","TURN UP"
77,"The Stranglers","Golden Brown"
78,"LINKIN PARK","The Emptiness Machine"
79,"ZXKAI & slxughter","NO BATIDÃO (Slowed)"
80,"Teddy Swims","Bad Dreams"
81,"MOLIY, Silent Addy, Skillibeng & Shenseea","Shake It To The Max (FLY) [Remix]"
82,"panicbaby","Claw Marks"
83,"Mary J. Blige","Family Affair"
84,"Nina Chuba","Wenn das Liebe ist"
85,"ROSÉ & Bruno Mars","APT."
86,"Sting","Shape Of My Heart"
87,"Jazeek","AKON"
88,"Amy Winehouse","Some Unholy War"
89,"Calum Scott & Whitney Houston","I Wanna Dance With Somebody (Who Loves Me)"
90,"LoVibe.","a good man with a broken heart"
91,"Monetochka","Каждый раз"
92,"Ed Sheeran","Perfect"
93,"Sabrina Carpenter","Manchild"
94,"Empire Of The Sun","We Are The People"
95,"BLOK3","napıyosun mesela ?"
96,"ELMAN","С неба (feat. TRIDA)"
97,"Tate McRae","Just Keep Watching (From F1® The Movie)"
98,"Chappell Roan","Good Luck, Babe!"
99,"Sean Paul & Keyshia Cole","(When You Gonna) Give It Up to Me (Radio Version)"
100,"Rea Garvey","Take This Heart"
101,"The Weeknd & Anitta","São Paulo"
102,"Billie Eilish","BIRDS OF A FEATHER"
103,"MONA","Воин и дракон (Из к/с «Ониксовый шторм»)"
104,"Nina Chuba & makko","F****d Up"
105,"GIMS","Habibi (Pilule Bleue)"
106,"George Michael","Careless Whisper"
107,"Ricchi & Poveri","Sarà Perché Ti Amo"
108,"Epicure, Fedi & Masin","Jenab Sarvan (feat. Bobby Salar)"
109,"Benson Boone","Beautiful Things"
110,"Final Dot","Vala"
111,"ÁSDÍS","Pick Up"
112,"hatikoali","GO!"
113,"Ziggy in tha House","It's Raining"
114,"BLOW RECORDS & Mc Jhey","Predador de Perereca"
115,"Felix Jaehn & JHart","PRIDE"
116,"Benson Boone","Sorry I'm Here For Someone Else"
117,"GIMS","Est-ce que tu m'aimes ? (Pilule Bleue)"
