
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"Lasmid & Tml Vibez","meet 4 corner"
2,"Urban Chords","I'm a mess (Choir Version)"
3,"Gonaboy","SAME TIMBS"
4,"Shatta Wale","Birthday"
5,"Reggie, Kojo Trilla & O'Kenneth","Won't Be Here Forever"
6,"Esther Smith","Eye Ketewaa Bi"
7,"KiDi, Olivetheboy & KOJO BLAK","Gymnastic"
8,"G4 Boyz","Azul"
9,"Ice Prince","Oleku (feat. Brymo)"
10,"Ethel","N'asem Mu"
11,"Shatta Wale","Pancake"
12,"Sarkodie","Goodbye (feat. Mugeez)"
13,"Shatta Wale","I'm Blessed"
14,"O'Kenneth","BALENCIAGA"
15,"Shatta Wale","STREET CROWN (African Dancehall)"
16,"AratheJay","Peace"
17,"Shatta Wale","You Shock Me"
18,"Fameye","Habit (feat. Medikal)"
19,"Skyface SDW","Jaara (feat. Medikal)"
20,"Yaw Tog","Miracle (feat. Stonebwoy)"
21,"Ayra Starr & Rema","Who’s Dat Girl"
22,"Medikal","No Stopping"
23,"Ayetian, Govana & Nvtzz","Wah Yo Deh Pan"
24,"Ciza, Tems & Omah Lay","Isaka II (6am)"
25,"Shatta Wale","Playboy"
26,"Ikofi","Church People"
27,"Kwaku DMC","Fowaah"
28,"Urban Chords","badman gangsta"
29,"J.I the Prince of N.Y","Bad Luck"
30,"Shatta Wale","Only One Man"
31,"Wendy Shay & Olivetheboy","Crazy Love"
32,"Shatta Wale","Street Crown"
33,"King Promise & Mr Eazi","See What We've Done"
34,"Shatta Wale","What Do You Know About Me"
35,"DJ Maphorisa, DJ Tunez, Wizkid & Mavo","MONEY CONSTANT"
36,"Medikal & Olivetheboy","Too Bad"
37,"Da Yanney","Eye Clear (feat. Tulenkey)"
38,"Khalil Harrison & Tyler ICU","Jealousy (feat. Leemckrazy & Ceeka RSA)"
39,"Vicoka","SPIRIT (feat. Wizard Chan)"
40,"Phylz, Lalid","The Matter"
41,"Faith Captain","Oshimiri Atata (Live)"
42,"Shatta Wale","Fame"
43,"JFS music","Dry Wave (feat. King Tone SA & Soa mattrix)"
44,"Juss","It's Friday (Friday)"
45,"Magixx & Ayra Starr","Love Don't Cost A Dime (Re-Up)"
46,"Masicka","Keys"
47,"Stonebwoy","Gidi Gidi (Fire)"
48,"Medikal","DND (feat. Sarkodie)"
49,"Kuka Perry & Chicaly Moreblay","SMALL RASTA"
50,"Larruso","Dark Skin (feat. Stonebwoy)"
51,"EMIN & JONY","Камин"
52,"Samsney","Kuacha (feat. Kelvyn Boy, Black Sherif & DarkoVIbes)"
53,"Baba Tundey","Wrong Meat (Radio Edit)"
54,"Willie Kings","Ram Putu (Cover)"
55,"Omar Sterling","Django (feat. Kweku Smoke)"
56,"Lui Cruz","Wele Dance (feat. Berri-Tiga)"
57,"Oseikrom Sikanii","Tracking You"
58,"Milona","Millions (feat. Essumann)"
59,"Mavo","Escaladizzy (feat. WAVE$TAR)"
60,"Jeo-Diller","GOD IS HERE"
61,"Rema","FUN"
62,"Onn Gospel","Old Classics Local Worship Medley (feat. Vessel Chordrick)"
63,"ODUMODUBLVCK & Modenine","IF YOU LIKE GYM"
64,"Goon Flavour, Master KG & Eemoh","Ngishutheni"
65,"Shatta Wale","Minamino Sin"
66,"Nacee","PRAYER INTERLUDE (EXTENDED EDITION)"
67,"Black Eyed Peas & Shakira","GIRL LIKE ME"
68,"Tkandz & CXSPER","Now or Never"
69,"Mavo","Shakabulizzy"
70,"Black Sherif","Toxic Love City"
71,"Black Sherif","Top of the Morning"
72,"Cojo Rae","Aketesia"
73,"Shatta Wale","Kpokpomi"
74,"StarBoy","Blow (feat. Blaq Jerzee & Wizkid)"
75,"Krakye Geng","Yesu (feat. Kweku Smoke)"
76,"Jahmiel","U MI Luv"
77,"Shatta Wale","Iangtjty"
78,"Bisa Kdei","Big Boy Weezy"
79,"OG Abbah","Wayyo Allah Na"
80,"Iamgariba","My Zongo"
81,"Medikal","Kwasia bi (Diss)"
82,"Daatey","Afada"
83,"Dean Lewis","With You"
84,"Gyptian","Hold You (Hold Yuh)"
85,"Lil Baby & G Herbo","All On Me"
86,"Gyakie","fire on the mountain"
87,"Woman Evolve Worship & Tasha Cobbs Leonard","All Authority (LIVE)"
88,"OG Abbah","Wayyo Allah na (B.O.C Madaki & Mr442 Remix)"
89,"brux XTN","Paid to Exist"
90,"T. Kay","MO•ANO (feat. YM God, GG Maestro & Chillup)"
91,"EeQue, Pcee & Royal Musiq","Ke Wave"
92,"GLOBALBOY COLLIN","Yahoophabets"
93,"ArrDee & Mazza_l20","Trouble"
94,"Popcaan","Greatness Inside Out"
95,"Prinx Emmanuel","Bota joor (Live)"
96,"Esther Smith","Teamu Fre Jesus"
97,"Curtis Og","Dear Lord (feat. Boy Aria & Theboy Tevan)"
98,"O'Kenneth","YIMAYƐ"
99,"Kojo Antwi","Ammrika"
100,"Benson Boone","In The Stars"
101,"Shatta Wale","So Real, So Me"
102,"Joshua Baraka","Wrong Places"
103,"PBee","Space"
104,"Daasebre Gyamenah","San Begye Wayeyi"
105,"Joseph Mensah","Ene Na Mesu A"
106,"World hive","When my spirit is weak"
107,"Davido","With You (feat. Omah Lay)"
108,"Sarkodie","Violence (feat. Kweku Smoke)"
109,"Sarkodie","Always on My Mind (feat. Obrafour)"
