
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"Eleni Foureira & ARCADE","Alleluia"
2,"Taylor Swift","The Fate of Ophelia"
3,"Nikos Oikonomopoulos","Kourastika Na S' Agapo"
4,"Light","Slang (feat. Billy Sio & ATC Nico)"
5,"Jonas Blue & Malive","Edge of Desire"
6,"Vanco","Ma Tnsani (Yalla Habibi) [feat. AYA]"
7,"MOLIY, Silent Addy, Skillibeng & Shenseea","Shake It To The Max (FLY) [Remix]"
8,"Zeina","Jananto"
9,"Lola Young","Messy"
10,"David Guetta, Teddy Swims & Tones And I","Gone Gone Gone"
11,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast","Golden"
12,"Konstantinos Argiros & Noizy","Nero"
13,"Alex Warren","Ordinary"
14,"Thodoris Ferris","Oneiro Tha 'Nai Ksana (Kounia) [Unplugged]"
15,"Furacão 2000","Mimosa 2000"
16,"APON","Kaigomai"
17,"Charli xcx & Caroline Polachek","Everything is romantic featuring caroline polachek"
18,"Benassi Bros. & Dhany","Hit My Heart (TR3NACRIA Remix)"
19,"Ed Sheeran","Azizam"
20,"Damiano David","The First Time"
21,"Calvin Harris & Clementine Douglas","Blessings"
22,"Teddy Swims","Bad Dreams"
23,"Stavento & Daphne Lawrence","Kalos Se Vrika"
24,"Benson Boone","Beautiful Things"
25,"sombr","undressed"
26,"Edward Maya, Valentino Indy & Klavdia","Back to Blue"
27,"sombr","12 to 12"
28,"Purple Disco Machine","Ghost Town (feat. Retrosonix) [Extended Mix]"
29,"Michalis Hatzigiannis & Christos Mastoras","Xorepse"
30,"Katerina","Ximeia"
31,"EMIN & JONY","Камин"
32,"Lady Gaga","The Dead Dance"
33,"Sicario & Beyond","FWTIA"
34,"Yiannis Kotsiras & Nicos Terzis","Na M' Agapas"
35,"Abraham Mateo & Ana Mena","Quiero Decirte"
36,"Trippie Redd & Diplo","Wish (Audiomack Trap Symphony Version)"
37,"Maesic, Marshall Jefferson & Salomé Das","Life Is Simple (Move Your Body)"
38,"Konstantinos Argiros","Ax Kardia Mou"
39,"Georgios Sabanis","An Den Ertheis Esy"
40,"Teddy Swims","The Door"
41,"Georgios Sabanis","Pros To Paron"
42,"Tate McRae","Sports car"
43,"Derik Fein","Sun"
