
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"Doechii","Anxiety"
2,"BLOND:ISH & Stevie Appleton","Never Walk Alone"
3,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast","Golden"
4,"BLACKPINK","JUMP"
5,"Lady Gaga","The Dead Dance"
6,"Frank Ocean","Lost"
7,"Hurts & Purple Disco Machine","Wonderful Life '25 (Extended)"
8,"Dj Dark","Anxiety"
9,"Alex Warren","Ordinary"
10,"Abraham Mateo & Ana Mena","Quiero Decirte"
11,"Felix Jaehn & Shouse","Walk With Me (Edit)"
12,"Kygo & OneRepublic","Chasing Paradise"
13,"Charli xcx & Caroline Polachek","Everything is romantic featuring caroline polachek"
14,"Taylor Swift","The Fate of Ophelia"
15,"East","'56"
16,"Martin Garrix & Jex","Told You So"
17,"Akcent, SERA & Misha Miller","Don't Leave (Kylie)"
18,"KAMRAD","Be Mine"
19,"Benson Boone","Beautiful Things"
20,"Teddy Swims","Lose Control"
21,"Tate McRae","Just Keep Watching (From F1® The Movie)"
22,"Empire Of The Sun","Walking On A Dream (BLOND:ISH Remix)"
23,"Ed Sheeran","Azizam"
24,"FAST BOY","Good Life"
25,"CYRIL & maryjo","Still Into You"
26,"Szikora Róbert & VALMAR","Balatoni lány"
27,"Trippie Redd & Diplo","Wish (Audiomack Trap Symphony Version)"
28,"Kid Cudi","Maui Wowie"
29,"Azahriah","kohsamui (interludE)"
30,"Alok","Love Again (feat. Alida)"
31,"Teddy Swims","The Door"
32,"Albert Brite","Wild"
33,"Furacão 2000","Mimosa 2000"
34,"David Guetta, Teddy Swims & Tones And I","Gone Gone Gone"
35,"Disturbed","The Sound of Silence (CYRIL Remix)"
36,"SZARKA TAMÁS","Otthon vagyunk"
37,"EMIN & JONY","Камин"
38,"Ivy Skye","One Night"
39,"panicbaby","Claw Marks"
40,"Fontaines D.C.","Starburster"
41,"David Guetta & Sia","Beautiful People"
42,"Bruno X Spacc & mollywood","AFTERPARTY"
