
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"Monair B","One in a Million (Reggae Cover)"
2,"JISOO & ZAYN","EYES CLOSED"
3,"Furacão 2000","Mimosa 2000"
4,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast","Golden"
5,"Kid Cudi","Maui Wowie"
6,"Rizky Febian & Adrian Khalif","Alamak"
7,"Taylor Swift","The Fate of Ophelia"
8,"EMIN & JONY","Камин"
9,"Barasuara","Terbuang Dalam Waktu"
10,"sombr","back to friends"
11,"Perunggu","33x"
12,"Sayfalse, Cape & Jxndro","Montagem Rugada"
13,"Toton Caribo, Wizz Baker & Fresly Nikijuluw","Ngapain Repot"
14,"Olivia Dean","So Easy (To Fall In Love)"
15,"Lana Del Rey","Cinnamon Girl"
16,"Taylor Swift","Opalite"
17,"Napa","Deslocado"
18,"Nadhif Basalamah","bergema sampai selamanya"
19,"Gigi Perez","Sailor Song"
20,"Silet Open Up, Jacson Seran, Juan Reza & Diva Aurel","TABOLA BALE"
21,"Kehlani","Folded"
22,"Radiohead","Let Down"
23,"Raisa","Awal Kisah Selamanya (feat. Barsena Bestandhi)"
24,"KATSEYE","Gabriela"
25,"Charli xcx & Caroline Polachek","Everything is romantic featuring caroline polachek"
26,"MXZI, dj Samir & DJ Javi26","Montagem Xonada"
27,"Ecko Show, Juan Reza & Chesylino","Orang Baru Lebe Gacor"
28,"Cup of Joe","Multo"
29,"DJ Snake","Let Me Love You (feat. Justin Bieber)"
30,"Olivia Dean","Man I Need"
31,"Billie Eilish","WILDFLOWER"
32,"BLOW RECORDS & Mc Jhey","Predador de Perereca"
33,"Hindia","everything u are"
34,"Alex Warren","Ordinary"
35,"Rihanna","You Da One"
36,"Kendis & ADIS","ours to keep"
37,"Dynamicduo & DJ Premier","Aeao"
38,"Ariana Grande","bye"
39,"The 1975","About You"
40,"Ace of Base","All That She Wants"
41,"Easykid","Shiny"
42,"Disco Lines & Tinashe","No Broke Boys"
43,"SKAI ISYOURGOD","Stacks from All Sides"
44,"Glenn Fredly","Kasih Putih"
45,"Ravyn Lenae","Love Me Not"
46,"Billie Eilish","watch"
47,"FloyyMenor & Cris MJ","Gata Only"
48,"Barsena Bestandhi","Ruang Baru (From "My Annoying Brother")"
49,"Billie Eilish","BIRDS OF A FEATHER"
50,"Kanye West","God Is"
51,"Samuel Cipta","Senja Sudut Kota"
52,"Rizky Febian","Hingga Tua Bersama"
53,"BLACKPINK","JUMP"
54,"Yovie Widianto, Andi Rianto & Rony Parulian","Salahi Aku (Ku Jatuh Cinta Lagi)"
55,"Bukan WG, Fahmy Fay, DJ Yasmin & Joana","hrny"
56,"Idgitaf","Sedia Aku Sebelum Hujan"
57,".Feast","Nina"
58,"Татьяна Куртукова","Одного"
59,"NIKI","You'll Be In My Heart"
60,"The Goo Goo Dolls","Iris"
61,"Anne-Marie","DEPRESSED"
62,"The Cranberries","Linger"
63,".Feast","Tarot"
64,"Keyshia Cole","Love"
65,"ABBA","The Winner Takes It All"
66,"The Marías","No One Noticed"
67,"Kahitna","Titik Nadir (feat. Monita Tahalea)"
68,"Reneé Rapp","I Think I Like You Better When You’re Gone"
69,"M83","Outro"
70,"RAYE","WHERE IS MY HUSBAND!"
71,"Madison Beer","bittersweet"
72,"The Script","The Man Who Can't Be Moved"
73,"LANY","Last Forever"
74,"The Chainsmokers","Roses (feat. ROZES)"
75,"Lord Huron","The Night We Met"
76,"Boyz II Men","On Bended Knee"
77,"Sabrina Carpenter","Manchild"
78,"Kim","Confidence"
79,"Vanny Vabiola","I Love You"
80,"Ariana Grande","we can't be friends (wait for your love)"
81,"Henry Moodie","drunk text"
82,"Trippie Redd & Diplo","Wish (Audiomack Trap Symphony Version)"
83,"Marcell","Firasat"
84,"Andromeda & elysian.","MONTAGEM COMA"
85,"Taylor Swift","Message In A Bottle (Taylor's Version) [From The Vault]"
86,"Chris Brown X Tyga","Girl You Loud"
87,"The Police","Every Breath You Take"
88,"Diana Ross","When You Tell Me That You Love Me"
89,"Bruno Mars","Too Good to Say Goodbye"
90,"Justin Bieber","DAISIES"
91,"Tyla","Truth or Dare"
92,"Keane","Somewhere Only We Know"
93,"Don Toliver","No Pole"
94,"Naykilla, Tenxi & Jemsii","Kasih Aba Aba"
95,"Gracie Abrams","That’s So True"
96,"yung kai","blue"
97,"Hindia","Cincin"
98,"George Michael","Careless Whisper"
99,"Coldplay","Fix You"
100,"Raisa","Tetap Bukan Kamu (feat. Rony Parulian)"
101,"Her Words Kill","Sir This Is A Cutthroat Fashion"
102,"4 Non Blondes","What's Up?"
103,"Djo","End of Beginning"
104,"The Lantis","Bunga Maaf"
105,"Cigarettes After Sex","Cry"
106,"Sayfalse, Cape & Jxndro","Montagem Rugada (Slowed Hardstyle Remix)"
107,"The Weeknd & Playboi Carti","Timeless"
108,"Aku Jeje","Lihat Kebunku (Taman Bunga)"
109,"For Revenge","Serana"
110,"Sabrina Carpenter","Tears"
111,"Don Miguelo","Y Qué Fue?"
112,"Lady Gaga","Bloody Mary"
113,"BIBI","Scott and Zelda"
114,"New West","Those Eyes"
115,"Fabio Asher","Aku Berjanji"
116,"Lana Del Rey","Young And Beautiful"
117,"Tove Lo","Habits (Stay High)"
118,"Anggis Devaki","Dirimu Yang Dulu"
119,"Sal Priadi","Kita usahakan rumah itu"
120,"Justin Timberlake","Mirrors"
121,"Tenxi, suisei & Jemsii","mejikuhibiniu"
122,"Justin Bieber","Flatline"
123,"Chezile","Beanie"
124,"Green Day","Last Night On Earth"
125,"Chappell Roan","The Subway"
126,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast","How It’s Done"
127,"Lizzy McAlpine","Staying"
128,"Kendrick Lamar, SZA","All The Stars"
129,"Taylor Swift","exile (feat. Bon Iver)"
130,"Kendrick Lamar & SZA","luther"
131,"Years & Years","Breathe"
132,"Tenxi & Jemsii","Bintang 5"
133,"Westlife","My Love"
134,"DNANDA","Benar Salah, Hanyalah Salah"
135,"The Ronettes","Be My Baby"
136,"Tyler, The Creator","Sugar On My Tongue"
137,"Oasis","Stand By Me"
138,"Dove Cameron","Whatever You Like"
139,"Niken Salindry","TAMU UNDANGAN (Reggae)"
140,"Billie Eilish","ocean eyes"
141,"Charlie Puth","We Don't Talk Anymore (feat. Selena Gomez)"
142,"The Weeknd, JENNIE & Lily Rose Depp","One Of The Girls"
143,"Christina Perri","A Thousand Years"
144,"Fourtwnty","Mangu (feat. Charita Utami)"
145,"DJ Ryder, Dj Dudu Coupper & MC GW","Sequência da Botação"
146,"The Temper Trap","Sweet Disposition"
147,"El Putra Sarira, Leya Princy & Cast of Rangga & Cinta","Suara Hati Seorang Kekasih"
148,"Wale","Bad (Remix) [feat. Rihanna]"
149,"Tenxi, Naufal Syachreza & Jemsii","hoRRReg"
150,"Perunggu","Pikiran Yang Matang"
151,"My Chemical Romance","I Don't Love You"
152,"Tems","Me & U"
153,"Khifnu","Merindumu lagi"
154,"Lana Del Rey","Chemtrails Over the Country Club"
155,"Noah","Hidup Untukmu, Mati Tanpamu"
156,"Zigaz","Sahabat Jadi Cinta"
157,"Ed Sheeran","Shape of You"
158,"Katy Perry","Harleys In Hawaii"
159,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, Kevin Woo, samUIL Lee & KPop Demon Hunters Cast","Soda Pop"
160,"Sayfalse, Cape & Jxndro","Montagem Rugada (Slowed)"
161,"Lukas Graham","7 Years"
162,"Justin Bieber","Mistletoe"
163,"SKAI ISYOURGOD & AR","Blueprint Supreme"
164,"Ed Sheeran","Photograph"
165,"Maroon 5","Payphone (feat. Wiz Khalifa)"
166,"PARTYNEXTDOOR & Drake","Come and See Me"
167,"Fifth Harmony","Work from Home (feat. Ty Dolla $ign)"
168,"S KEI ENT","PRODUK TIMUR (feat. KAPTEN HIPHOP & Jacson Zeran)"
169,"Oasis","Don't Look Back In Anger"
170,"Drake","Hotline Bling"
171,"Justin Bieber","Beauty and a Beat (feat. Nicki Minaj)"
172,"Daniel Caesar","Always"
173,"KIM CHAEWON & Dalpalan","Confession (Japanese Version)"
174,"Peabo Bryson","If Ever You're In My Arms Again"
175,"Benson Boone","Beautiful Things"
176,"Lady Gaga & Bruno Mars","Die With A Smile"
177,"P!nk","Just Give Me a Reason (feat. Nate Ruess)"
178,"Libianca","People (feat. Ayra Starr & Omah Lay)"
179,"DJ TELOOR","CONCRETE ANGEL"
180,"Elliot James Reay","I Think They Call This Love"
