
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"Taylor Swift","The Fate of Ophelia"
2,"Olivia Dean","Man I Need"
3,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast","Golden"
4,"Lewis Capaldi","Something In The Heavens"
5,"RAYE","WHERE IS MY HUSBAND!"
6,"sombr","12 to 12"
7,"Calvin Harris & Jessie Reyez","Ocean"
8,"BLACKPINK","JUMP"
9,"Fontaines D.C.","Starburster"
10,"Sonny Fodera, D.O.D & Poppy Baskcomb","Think About Us"
11,"Chappell Roan","The Subway"
12,"Amble","Socrates Smiled"
13,"Disco Lines & Tinashe","No Broke Boys"
14,"Kingfishr","Diamonds & Roses"
15,"Cathy Davey","Little Red"
16,"Dermot Kennedy","Melodies (From the Netflix Series "Nobody Wants This" Season 2)"
17,"Lady Gaga","The Dead Dance"
18,"MK & Clementine Douglas","Come Find Me"
19,"Sam Fender","Back To Black (BBC Radio 1 Live Session)"
20,"CMAT","EURO-COUNTRY"
21,"David Guetta, Teddy Swims & Tones And I","Gone Gone Gone"
22,"Lola Young","Messy"
23,"Jazzy","Hypnotic"
24,"Ed Sheeran","Sapphire"
25,"Ravyn Lenae","Love Me Not"
26,"Alex Warren","Ordinary"
27,"Cara Dillon","The Parting Glass"
28,"sombr","undressed"
29,"Charli xcx & Caroline Polachek","Everything is romantic featuring caroline polachek"
30,"Westlife","Chariot"
31,"Kid Cudi","Maui Wowie"
32,"Benson Boone","Mystical Magical"
33,"Justin Bieber","DAISIES"
34,"Trippie Redd & Diplo","Wish (Audiomack Trap Symphony Version)"
35,"4 Non Blondes","What's Up?"
36,"Louis Tomlinson","Lemonade"
37,"Amble","Marlay Park"
38,"sombr","back to friends"
39,"Myles Smith","Stay (If You Wanna Dance)"
40,"Chappell Roan","Good Luck, Babe!"
41,"Nicki Minaj","Beez In The Trap (feat. 2 Chainz)"
42,"Caamp","All the Debts I Owe"
43,"Furacão 2000","Mimosa 2000"
44,"Calvin Harris & Clementine Douglas","Blessings"
45,"Allie Sherlock","I Don't Need Saving"
46,"Anne-Marie","DEPRESSED"
47,"boygenius & Ye Vagabonds","The Parting Glass"
48,"Alex Warren","Eternity"
49,"Rossi. & Jazzy","High On Me"
50,"Sabrina Carpenter","Tears"
51,"Kneecap","Get Your Brits Out"
52,"Tkandz & CXSPER","Now or Never"
53,"Daft Punk","Veridis Quo"
54,"The Stunning","Brewing Up a Storm"
55,"The Scratch","Cheeky Bastard"
56,"MK","Dior (feat. Chrystal)"
57,"Tate McRae","TIT FOR TAT"
58,"Susanna Hoffs","Happy Together (feat. Rufus Wainwright)"
59,"Miley Cyrus","Secrets (feat. Lindsey Buckingham & Mick Fleetwood)"
60,"Lisa O'Neill","Old Note"
61,"Kingfishr","Killeagh"
62,"Gigi Perez","Sailor Song"
63,"Tame Impala","Dracula"
64,"KhakiKid & Saint Demarcus","Date Nite"
65,"Chappell Roan","Pink Pony Club"
66,"Ruelle","The Other Side"
67,"Olivia Dean","So Easy (To Fall In Love)"
68,"Rihanna","Stay (feat. Mikky Ekko)"
69,"David Guetta & Sia","Beautiful People"
70,"Bon Jovi","Livin' On A Prayer"
71,"CYRIL","Stumblin' In"
72,"EsDeeKid & Rico Ace","Phantom"
73,"Mumford & Sons & Hozier","Rubber Band Man"
74,"Mick Jagger","Strange Game (From The ATV+ Original Series "Slow Horses”)"
75,"Siouxsie & The Banshees","The Passenger"
76,"Perrie","If He Wanted To He Would"
77,"Cassandra Coleman","Bite My Tongue (From the Netflix Series "Nobody Wants This" Season 2)"
78,"CEO Blessed DJ Savage liquid FM","nanotechnology mind control"
79,"Fontaines D.C.","Boys in the Better Land"
80,"Gigi D'Agostino","L'amour Toujours"
81,"Ariel Marx","Classical Gas (Main Title) [feat. PIQSIQ]"
82,"EMIN & JONY","Камин"
83,"The Scratch","Another Round"
84,"Kneecap","ITS BEEN AGES"
85,"Benson Boone","Beautiful Things"
86,"GIVĒON","Dancing in the Smoke (From the Netflix Series "Nobody Wants This" Season 2)"
87,"CHRYSTAL & NOTION","The Days (NOTION Remix)"
88,"Sam Fender","Rein Me In"
89,"The Goo Goo Dolls","Iris"
90,"Adrian Crowley","Brother Was A Runaway"
91,"Reflekt","Need To Feel Loved (feat. Delline Bass) [Adam K & Soha Vocal Mix]"
92,"Strange Boy","Waiting"
93,"Q Lazzarus","Goodbye Horses"
94,"The Rolling Stones","Moonlight Mile"
95,"Villagers","A Trick of the Light"
96,"Taylor Swift","Opalite"
97,"Jamie Duffy","Rising"
98,"Empire Of The Sun","We Are The People"
99,"Fontaines D.C.","Favourite"
100,"Teddy Swims","Bad Dreams"
101,"Rogue Traders","Voodoo Child"
102,"CMAT","Take A Sexy Picture Of Me"
103,"Sabrina Carpenter","Manchild"
104,"Gala","Freed From Desire"
105,"Fred again.., Skepta & PlaqueBoyMax","Victory Lap"
106,"Olivia Dean","Nice To Each Other"
107,"Ruelle","Where Is My Mind"
108,"AMAZONICA","Don't Fear the Reaper"
109,"Lisa O'Neill","Goodnight World"
110,"The Stranglers","Golden Brown"
111,"Tiësto","Adagio for Strings"
112,"Nine Inch Nails","The Hand That Feeds"
113,"New Radicals","You Get What You Give"
114,"Mazzy Star","Fade into You"
