
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"Taylor Swift","The Fate of Ophelia"
2,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast","Golden"
3,"Peer Tasi","עוף מוזר"
4,"Noam Kleinstein","עיוור"
5,"Odeya","ואן דאם"
6,"DYSTINCT","YAMA"
7,"Full Trunk & Ninet Tayeb","נגנב ממך"
8,"RAYE","WHERE IS MY HUSBAND!"
9,"Easykid","Shiny"
10,"Charli xcx & Caroline Polachek","Everything is romantic featuring caroline polachek"
11,"Odeya","רוקי"
12,"ששון איפרם שאולוב","עולם בשני צבעים"
13,"Jasmin Moallem & Ben Zur","אצלנו זה ככה"
14,"Olivia Dean","Man I Need"
15,"Darco","Baziman (Radio Mix)"
16,"Narkis","לעלות"
17,"Riff Cohen & Dalit Rechester","Bye Dubai (باي دُبيّ) [Dalit Rechester Remix]"
18,"Nicki Minaj","Beez In The Trap (feat. 2 Chainz)"
19,"Chappell Roan","The Subway"
20,"Abraham Mateo & Ana Mena","Quiero Decirte"
21,"EMIN & JONY","Камин"
22,"Kid Cudi","Maui Wowie"
23,"4 Non Blondes","What's Up?"
24,"KATSEYE","Gabriela"
25,"Trippie Redd & Diplo","Wish (Audiomack Trap Symphony Version)"
26,"sombr","12 to 12"
27,"Vanco","Ma Tnsani (Yalla Habibi) [feat. AYA]"
28,"Royel Otis","moody"
29,"Alex Warren","Ordinary"
30,"יוסף חיים","חלף הגעגוע"
31,"Duda & רון חיון","אחת ממיליון & מלכת הדור & לא להמציא (מיוחד למצעד הישראלי השנתי)"
32,"Omer Adam","השיר שאת אהבת"
33,"Osher Cohen","באמת של האמת"
34,"Peer Tasi","היא לא יודעת למה"
35,"FloyyMenor & Cris MJ","Gata Only"
36,"Çağla & Doğu Swag","Seni Düşündüm"
37,"Crocoloko","Fairy Tale"
38,"Furacão 2000","Mimosa 2000"
39,"Shilo Ben Saadon","כוכבים"
40,"Jonas Blue & Malive","Edge of Desire"
41,"Omer Adam","מלכת הדור"
42,"sombr","back to friends"
