
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"Ernia","PER TE"
2,"Taylor Swift","The Fate of Ophelia"
3,"KAMRAD","Be Mine"
4,"Banfy & Sheridan","Bam Bam"
5,"Olly & Juli","Questa domenica"
6,"Pinguini Tattici Nucleari","Amaro"
7,"Angelina Mango","velo sugli occhi"
8,"Annalisa","Piazza San Marco (feat. Marco Mengoni)"
9,"Bresh","Dai che fai"
10,"Damiano David, Tyla & Nile Rodgers","Talk to Me (feat. Tyla, Nile Rodgers)"
11,"Eddie Brock","Non è mica te"
12,"Giorgia","GOLPE"
13,"Olivia Dean","Man I Need"
14,"Fabri Fibra & Joan Thiele","Milano Baby (feat. Joan Thiele)"
15,"David Guetta, Teddy Swims & Tones And I","Gone Gone Gone"
16,"Achille Lauro","Senza Una Stupida Storia"
17,"Emma & Juli","BRUTTA STORIA"
18,"Abraham Mateo & Ana Mena","Quiero Decirte"
19,"Lady Gaga","The Dead Dance"
20,"Irama","Ex (feat. Elodie)"
21,"Selena Gomez & benny blanco","Sunset Blvd"
22,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast","Golden"
23,"Alex Warren","Ordinary"
24,"sombr","back to friends"
25,"Maesic, Marshall Jefferson & Salomé Das","Life Is Simple (Move Your Body)"
26,"Mogli","Earth"
27,"BLOW RECORDS & Mc Jhey","Predador de Perereca"
28,"Jonas Blue & Malive","Edge of Desire"
29,"Ed Sheeran","Camera"
30,"Lewis Capaldi","Survive"
31,"Tommaso Paradiso","Lasciamene un po'"
32,"Sarah Toscano & Mida","Semplicemente (from the Netflix Series "RIV4LI")"
33,"Rita Ora","All Natural"
34,"Clara","URAGANI"
35,"Charli xcx & Caroline Polachek","Everything is romantic featuring caroline polachek"
36,"Dotan","Last Goodbyes"
37,"Tiziano Ferro","Fingo&Spingo"
38,"Cesare Cremonini","Alaska Baby"
39,"Frah Quintale","Lunedì blu"
40,"Tropico","Soli E Disperati Nel Mare Meraviglioso"
41,"Charlie Charles & BLANCO","Attacchi di panico"
42,"Levante","NIENTE DA DIRE"
43,"Disco Lines & Tinashe","No Broke Boys"
44,"Joejoe","Drip a noleggio"
45,"Rocco Hunt & Noemi","OH MA"
46,"Coez","Mr. Nobody"
47,"Fulminacci","Niente di particolare"
48,"Caparezza","Io sono il viaggio"
49,"Ed Sheeran","Sapphire"
50,"Tiziano Ferro","Cuore Rotto"
51,"Cioffi & Mar Lucas","SOLA (TI AMO)"
52,"Vanco","Ma Tnsani (Yalla Habibi) [feat. AYA]"
53,"NUZZLE & Chicca Leaf","Chica"
54,"Dipinto & Fresh Beatz","Invincibile"
55,"ZERB, Odeal & Victor Ray","Space"
56,"Baby Gang, El Alfa, Omega & Roberto Ferrante","Kriminal (Prod. By Roberto Ferrante)"
57,"Miley Cyrus","Secrets (feat. Lindsey Buckingham & Mick Fleetwood)"
58,"sombr","undressed"
59,"Benson Boone","Mr Electric Blue"
60,"BLACKPINK","JUMP"
61,"Hozier","Take Me to Church"
62,"W Sound, Beéle & Ovy On the Drums","La Plena (W Sound 05)"
63,"Miley Cyrus","Easy Lover"
64,"4 Non Blondes","What's Up?"
65,"mgk","miss sunshine"
66,"Chappell Roan","Good Luck, Babe!"
67,"La Messa & Tormento","Musica Vera"
68,"Furacão 2000","Mimosa 2000"
69,"Ele A, Guè & Night Skinny","Con Le Mie G"
70,"ZERB, Sofiya Nzau & Izzy Bizu","Kumbaya"
71,"Tkandz & CXSPER","Now or Never"
72,"Sabrina Carpenter","Tears"
73,"Malika Ayane","L'avresti detto mai (From "30 notti con il mio ex")"
74,"Alessandra Amoroso","Per sempre, ancora"
75,"Aerosmith & YUNGBLUD","My Only Angel"
76,"Elisa","No Hero"
77,"Calvin Harris & Jessie Reyez","Ocean"
78,"Trippie Redd & Diplo","Wish (Audiomack Trap Symphony Version)"
79,"Myles Smith","Gold"
80,"Kali Uchis & Ravyn Lenae","Cry about it!"
