
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"RnBoi","MON BÉBÉ"
2,"Rilès","DON’T CRY MY LOVE"
3,"Shatta Wale","Birthday"
4,"Oumou Sangaré","Kun Fe Ko"
5,"DJ Malvado & DJ Aka-m","Mussulo (feat. Dody)"
6,"Babi Tape, Didi B & Paulo Chakal","Nouchi Love"
7,"Urban Chords","I'm a mess (Choir Version)"
8,"Lui Cruz","Wele Dance (feat. Berri-Tiga)"
9,"Babi Tape, Didi B & Widgunz","Shogun & Djinze"
10,"døpelym","Cello"
11,"Babi Tape, Didi B & Zinoleesky","Sang"
12,"Le D, Didi B & Bolémvn","2K225"
13,"Boîte noire & Ninho","Treillis"
14,"Kedjevara","Ça fait mal"
15,"Malakey","Baby Myra"
16,"DRE-A","Pas Toucher (feat. Fanicko)"
17,"No Pain No Gain, Himra & Ninho","DANS LE DOS"
18,"Babi Tape, Didi B & Sindika","Guerre"
19,"Jess Sah Bi & Peter One","Katin"
20,"Himra","TAPER CREER (feat. Gazo)"
21,"Chouchou Salvador","faut te calmer"
22,"Black Eyed Peas & Shakira","GIRL LIKE ME"
23,"Kadirov Mania & L'Oiseau Rare","La Tcham Biama"
24,"Werenoi","Faf"
25,"Blase Gang","pour mes noussi"
26,"GIMS","MUGANGA"
27,"Collectif Youssoumba","Effort de paix"
28,"SALIMA CHICA","SONGI SONGI"
29,"EMIN & JONY","Камин"
30,"La Fouine & Himra","Légendes"
31,"Charlotte Dipanda","Dis-moi (feat. Tayc)"
32,"Himra","C'EST PAS DE MA FAUTE"
33,"Himra","LIL WAYNE"
34,"Espoir 2000","Progrès"
35,"DK2fois","Denda"
36,"DEMENTOS","ALI BABA"
37,"DEMENTOS","ASKEL GESTE"
38,"Goon Flavour, Master KG & Eemoh","Ngishutheni"
39,"Gyakie","Sor Mi Mu (feat. Bisa Kdei)"
40,"A nous les petits","N'djikpa"
41,"Himra","NUMBER ONE (feat. Minz)"
42,"Faith Captain","Oshimiri Atata (Live)"
43,"TRIANGLE DES BERMUDES","Mame"
44,"Lil Jay Bingerack & Emma'a","Djandjou Sérieux"
45,"Himra","DACHIBA KOUMGBA TCHAIBA"
46,"Didi B & Zinoleesky","Good Vibes"
47,"Joé Dwèt Filé","Slowly"
48,"Ninho","Every day (feat. Griff)"
49,"Ayra Starr & Rema","Who’s Dat Girl"
50,"GIMS","DO YOU LOVE ME ?"
51,"Tidiane Mario, Tété Ketch & Vinny Baltazard","Ya Nga Bebe"
52,"Ciza, Tems & Omah Lay","Isaka II (6am)"
53,"Petit Sako","François"
54,"Zakalara & Gaz Mawete","Jamaïque"
55,"Davido","With You (feat. Omah Lay)"
56,"XVI, Ninho & Davido","Para"
57,"Malakey","Fana Ba"
58,"Yodé & Siro","Pourquoi tu m'en veux ?"
59,"Ruger","Girlfriend"
60,"Naza & SDM","Tout donner"
61,"Kehou Mousso & Bigyne Wiz","La Bêtise (feat. Given Beatz)"
62,"Sindika","FLOCON"
63,"Roseline Layo","Les Hommes du Pouvoir"
64,"Oumou Sangaré","Mani Djindala"
65,"Oleey","Ya lo logramos"
66,"Niska","Adriano"
67,"Lily gohilou","Gratuit"
