
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"KIM CHAEWON & Dalpalan","Confession (Japanese Version)"
2,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast","Golden"
3,"Kenshi Yonezu","IRIS OUT"
4,"JO1","Handz In My Pocket"
5,"PlaqueBoyMax, Rakai & BunnaB","TURN UP"
6,"Kenshi Yonezu & Hikaru Utada","JANE DOE"
7,"eill","last scene."
8,"RADWIMPS","Hitsu Zetsu"
9,"Aina The End","On The Way"
10,"Jin","Don’t Say You Love Me"
11,"This is LAST","Shapeshifter"
12,"LANA","Like a Flower"
13,"HANA","My Body"
14,"Kenshi Yonezu","1991"
15,"Ne-Yo","So Sick"
16,"HALLOWEEN JUNKY ORCHESTRA","HALLOWEEN PARTY"
17,"HANA","Blue Jeans"
18,"TOMORROW X TOGETHER","Can't Stop"
19,"Kehlani","Folded"
20,"Aimyon","Belt of Venus"
21,"Jimin","Who"
22,"harha","Sobyo"
23,"BE:FIRST","Under the same sky"
24,"NiziU","Love Emotion"
25,"RADWIMPS","World End Girl Friend"
26,"Mrs. GREEN APPLE","GOOD DAY"
27,"BE:FIRST","Stare In Wonder"
28,"Koji Tamaki","Fanfare"
29,"BUMP OF CHICKEN","I"
30,"DJ RYOW","Eta (feat. EMI MARIA & C.O.S.A.)"
31,"SUPER BEAVER","Hitotoshite (AA1)"
32,"Number_i","Numbers Ur Zone"
33,"Taylor Swift","The Fate of Ophelia"
34,"noa","1000 Days of Moments"
35,"sma$her & MXZI","Acelerada"
36,"AOA","Miniskirt (Karaoke Version)"
37,"Snow Man","CHARISMAX"
38,"chotokkyu","NINE LIVES"
39,"yung kai","blue"
40,"RIKON","First Kiss"
41,"CreepHyp","Dakara Nandatte Hanashi"
42,"Leo Ieiri","Mirror (feat. Kosuke Saito)"
43,"Oasis","Don't Look Back In Anger"
44,"Number_i","U.M.A."
45,"OFFICIAL HIGE DANDISM","Rashisa"
46,"Grace Potter","Something That I Want (Acoustic)"
47,"Ado","The Story of the Wind and I"
