
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"SABI & MIA BOYKA","Базовый минимум"
2,"Aikerim Kalaubaeva","Жүрек неге жылайды"
3,"Пабло & Mr Lambo","Love Is"
4,"KATO","Turn The Lights Off (feat. Jon)"
5,"Furacão 2000","Mimosa 2000"
6,"Trippie Redd & Diplo","Wish (Audiomack Trap Symphony Version)"
7,"Kass F","Jexon Trompeta"
8,"Mr. Menace & Sir Soaked","S.I.A.S.D."
9,"Bob Walter","Попутный ветер"
10,"Otilia","Bilionera (Radio Edit)"
11,"ELMAN","С неба (feat. TRIDA)"
12,"hatikoali","GO!"
13,"Charli xcx & Caroline Polachek","Everything is romantic featuring caroline polachek"
14,"TASSO","Таю"
15,"Нұржан Төлендиев","Адамдар"
16,"Ваня Дмитриенко & Аня Пересильд","Силуэт (из к/ф «Алиса в Стране Чудес»)"
17,"Shakira","Addicted to You"
18,"Арман Сейтжаппар","Жан-жарым"
19,"GIMS","Habibi (Pilule Bleue)"
20,"ALTAIR x ABBI","24 SAGAT"
21,"Don Miguelo","Y Qué Fue?"
22,"BAYANSULU","Aua rai"
23,"C.C. Catch","Cause You Are Young"
24,"Albert Brite","Wild"
25,"Icegergert & Zivert","БАНК"
26,"SKAI ISYOURGOD","Stacks from All Sides"
27,"Icegergert","Her loss"
28,"Yenlik","Meili"
29,"Endshpil","10"
30,"Үкітай Ерниязов","Анасы жоқ адамдар"
31,"Icegergert & SKY RAE","Наследство"
32,"Jakone & Kiliana","Жиганская"
33,"Tyler, The Creator","Sugar On My Tongue"
34,"Kid Cudi","Maui Wowie"
35,"Inna","Caliente (Radio Edit)"
36,"Dasdinlovee","KETPE"
37,"Дильназ Ахмадиева","Қимадың (feat. Макпал Исабекова)"
38,"NAVAI","Музеи и театры"
39,"Monetochka","Каждый раз"
40,"Bonapart & MEREY","Қозы Көрпеш - Баян Сұлу"
41,"张佳伊","劳动光荣"
42,"NEDUGOV","Алый закат"
43,"MYNBAY","Жұлдыз"
44,"Demeter","O.P."
45,"Aman Ahmet","Түндей сұлу"
46,"Vanco","Ma Tnsani (Yalla Habibi) [feat. AYA]"
47,"Inabat Jumaniyazova","Joq demeymen"
48,"Bakr","Пятый нэп"
49,"CEO Blessed DJ Savage liquid FM","nanotechnology mind control"
50,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast","Golden"
51,"Sunnatillo Do'stov","Alyonushka"
52,"Sting","Shape Of My Heart"
53,"ALEM","Kuiim"
54,"Artik & Asti","Под гипнозом"
55,"NAVAI & MONA","Есенин"
56,"Нұрбай Атамұрат & Algyt","Izdeme"
57,"FloyyMenor & Cris MJ","Gata Only"
58,"Линочка Ли","Любить тебя"
59,"Kygo","Stole the Show (feat. Parson James)"
60,"Erkebulan&Bauyrzhan","Елім деп соқсын жүрегің"
61,"Queers & Beers","Court Hearing"
62,"Alex Warren","Ordinary"
63,"SHAMI & Мактина","Сердце забрала"
64,"Gazizkhan Shekerbekov","Сенсің (feat. Бота Алимхан)"
65,"LoVibe.","a good man with a broken heart"
66,"Cheb Rezki","Ana Al Ghaltan"
67,"Timbaland","Give It to Me (feat. Justin Timberlake & Nelly Furtado)"
68,"Anise K","Walking On Air (feat. Snoop Dogg & Bella Blue)"
69,"Xcho","Зачарованная"
70,"GIMS","Est-ce que tu m'aimes ? (Pilule Bleue)"
71,"Sean Paul & Keyshia Cole","(When You Gonna) Give It Up to Me (Radio Version)"
72,"Youssou N'Dour","7 Seconds (feat. Neneh Cherry)"
73,"Duman","Миллион"
74,"Sayfalse, Cape & Jxndro","Montagem Rugada"
75,"Jax Jones","Breathe (feat. Ina Wroldsen)"
76,"Akmal'","Мир нам завидовал"
77,"Zmeex","Shadow"
78,"Gorillaz","Feel Good Inc"
79,"EMIN & JONY","Камин"
80,"Klava Koka & ANDRO","Просто так"
81,"The Weeknd & Anitta","São Paulo"
82,"SHAMI","Фея"
83,"PlaqueBoyMax, Rakai & BunnaB","TURN UP"
84,"Aphex Twin","Pulsewidth"
85,"Michel Legrand","60 seconds (Original mix par Audio de Lux)"
86,"Tate McRae","you broke me first"
87,"Lana Del Rey","Cinnamon Girl"
88,"Abraham Mateo & Ana Mena","Quiero Decirte"
89,"АлСми","Базовый минимум"
90,"Adler Kotsba & RANI'M","Я не умею танцевать"
91,"Quansh Nazarov","90-60-90"
92,"Akmal'","Ты мне покажи..."
93,"张佳伊","从从容容游刃有余"
94,"Artik & Asti","Любовь после тебя"
95,"Bakha & Bereek","Bökse"
96,"Zemfira","П.М.М.Л."
97,"OKSII","Shurter"
98,"MACAN & Basta","Пусть Бог будет рядом с твоими планами"
99,"Garik Garik","Судьба капканы расставит, а я их вновь обойду"
100,"Billie Eilish","WILDFLOWER"
101,"The Police","Every Breath You Take"
102,"Enya","Caribbean Blue"
103,"Gala","Freed From Desire"
104,"ZXKAI & slxughter","NO BATIDÃO (Slowed)"
105,"Mark Eliyahu & Cem Adrian","Derinlerde"
106,"Азамат Токтокадыров","Унутканым жок"
107,"batysqazaqstan","ANGIME"
108,"Kalifarniya","Balausa"
109,"The Marías","No One Noticed"
110,"George Michael","Careless Whisper"
111,"Jeny Vesna","Отъебитесь"
112,"Don Toliver","Lose My Mind (feat. Doja Cat) [From F1® The Movie]"
113,"MONA","Иордан"
114,"Quest Pistols Show","Убью (feat. Constantine)"
115,"V $ X V PRiNCE & Bollo","Пусто"
116,"IL'HAN","Country"
117,"dnvn, SYNPIX & Phonk King","Verão Flow (Super Slowed)"
118,"Timati & Guf","Что возьму я с собой"
119,"Don Omar","Virtual Diva"
120,"50 Cent","In da Club"
121,"Vintazh","Eva (feat. Ева Польна)"
122,"Tim Duzit","Kat Slater (Native Remedies Remix)"
123,"QMIIR","SEMPERO (Super Slowed)"
124,"Zivert","Life"
125,"BANDITZ","FALL BACK (feat. GLOW 9000 & ilykashi)"
126,"Castle","Control (feat. Эндшпиль)"
127,"Әбдіжаппар Әлқожа","Ұмыт деме"
128,"Ибрагим Ескендір","Көк тудың желбірегені"
129,"Ваня Дмитриенко","Шёлк"
130,"Miyagi","DAO (feat. HLOY & даена)"
131,"Sherine","بتمنى انساك"
132,"50 Cent","Ayo Technology (feat. Justin Timberlake & Timbaland)"
133,"Kim","Confidence"
134,"JAY-Z","Empire State Of Mind (feat. Alicia Keys)"
135,"Lady Gaga & Bruno Mars","Die With A Smile (Acoustic)"
136,"Toregali Toreali","Анашым-ай"
137,"Timbaland, Keri Hilson & D.O.E.","The Way I Are"
138,"Srmn","Only You"
139,"Jaman T","Только у нее"
140,"Aikyn Tolepbergen","Сүйгенім"
141,"The Stranglers","Golden Brown"
142,"Adele","Lovesong"
143,"Ninety One","IYA IYA"
144,"Aikyn Tolepbergen","Жалаң Аяқ Қыз"
145,"Tkandz & CXSPER","Now or Never"
146,"TGC & Embody","Dreamers (Embody Remix)"
147,"Miyagi & Эндшпиль","I Got Love (feat. Рем Дигга)"
148,"Vahram Vazyan","Любовь и боль"
149,"KhaliF","Every Day"
150,"MACAN & NAVAI","Неужели это все любовь"
151,"Yenlik & Аль Nasr","16 Qyz"
152,"Pierce the Veil","So Far So Fake"
153,"AKORGO BOYS","ДЫК КЫН ДЫШ"
154,"De Lacure","ALGABAS"
155,"Президенттік оркестр","Рух"
156,"Ernar Amandyq","Meni kut"
157,"Skryptonite","не расслабляйся"
158,"Black Eyed Peas & Shakira","GIRL LIKE ME"
159,"Akmal'","Из-за тебя"
160,"Coolzone","Nasty Jamz"
161,"MONA","Воин и дракон (Из к/с «Ониксовый шторм»)"
162,"Armin van Buuren","In and Out of Love (feat. Sharon den Adel)"
163,"Timati","Мне наплевать"
164,"Eminem","Mockingbird"
165,"Algyt","Zhanbyr Zhasyrady"
166,"Anton Ishutin","For You (Nezhdan Remix) [feat. Note U]"
167,"Ushkyn Zhamalbek","Мұзбалақ"
168,"Serge Devant","Addicted (feat. Hadley)"
169,"Adilet Jaygashar & Нұрбол Нұрлан","Қабылдадың"
170,"Ernar Amandyq","Keipker"
171,"Andromeda & elysian.","MONTAGEM COMA"
172,"PIZZA & NAVAI","Грустный эконом"
173,"Crash Adams","New Heart"
174,"Gordinho Bolado & felipe original","Eu Tô Fazendo uma Mágica"
175,"Ernar Amandyq","Senen kein..."
176,"Hulan-Aru","Құмар"
177,"Dima Bilan","Я твой номер один"
178,"Гио ПиКа & MIRAVI","Мир"
179,"Ескі әндер","Махаббат Қайда"
180,"Pitbull","Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)"
181,"Sevdaliza","Ride Or Die, Pt. 2 (feat. Villano Antillano & Tokischa)"
182,"Timbaland","Apologize (feat. OneRepublic)"
183,"HUGEL, Topic & Arash","I Adore You (feat. Daecolm)"
184,"Gorod 312","Фонари"
185,"Xcho","Уйду"
186,"Jaman T","Bile 2"
187,"Lady Gaga & Bruno Mars","Die With A Smile"
188,"Selena Gomez & The Scene","Love You Like A Love Song"
189,"The Weeknd & Playboi Carti","Timeless"
190,"assel_offroad_fishing","Хочу на рыбалку"
191,"Kanye West","Runaway (feat. Pusha T)"
192,"Para Normalnyh","Не улетай"
193,"Xcho","24"
194,"Jah Khalib","Колыбельная"
195,"KDDK & Alex Alta","1&2"
196,"Azis","Sen Trope"
197,"KATSEYE","Gabriela"
198,"2hollis","poster boy"
199,"Kendrick Lamar, SZA","All The Stars"
200,"Mary J. Blige","Family Affair"
