
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"Abongo Jakabwana","Digi Digi"
2,"LADY MAUREEN","Raila Duogi Dala"
3,"Ayra Starr & Rema","Who’s Dat Girl"
4,"Urban Chords","I'm a mess (Choir Version)"
5,"Okello Max","Taya"
6,"Goon Flavour, Master KG & Eemoh","Ngishutheni"
7,"ELISHA TOTO","Tribute To Raila Amolo Odinga"
8,"Ciza, Jazzworx & Thukuthela","Isaka (6am)"
9,"JAZZWRLD, Thukuthela & Babalwa M","uValo (feat. Dlala Thukzin)"
10,"Diamond Platnumz","Nani"
11,"MaWhoo, GL_Ceejay & Thukuthela","Bengicela (feat. Jazzworx)"
12,"JAZZWRLD, MaWhoo, Thukuthela & GL_Ceejay","Uzizwa Kanjan"
13,"JAZZWRLD, GL_Ceejay & Thukuthela","Tholukuthi (Clap Song) [feat. MaWhoo]"
14,"Don Williams","Jamaica Farewell"
15,"Dufla & Iyanii","Rumours"
16,"Joshua Baraka","Wrong Places"
17,"Lony Bway & Marioo","Mitano"
18,"Aidonia","Le Le Le"
19,"Frida Amani","Wewe na mimi (feat. Jay melody) [bongo Flava]"
20,"Mad G Odeya","Shake That Thing"
21,"Iyanii & Dufla","Donjo Maber"
22,"brux XTN","Paid to Exist"
23,"Harry Belafonte","Jamaica Farewell"
24,"JAZZWRLD, Thukuthela & GL_Ceejay","Abasekho"
25,"Ntombemhlope","MAMA (feat. Tee-s Papah)"
26,"X.O","M.O.T.O (feat. SUNS3T)"
27,"John Holt","Jamaica Farewell"
28,"Davido","With You (feat. Omah Lay)"
29,"Mbosso","Pawa"
30,"World hive","God of miracles"
31,"Fido","Awolowo"
32,"Mishaal Tamer","Look Into My Eyes"
33,"Chege","Njoo"
34,"Devrix Da Fubu","Je ?"
35,"Nigy Boy","Options"
36,"Alikiba","Sella"
37,"Sounds Of Afrika Music","Ombi Langu  My Desire  Thandez' Lami"
38,"FloyyMenor & Cris MJ","Gata Only"
39,"Vestine and Dorcas","Yebo (Nitawale)"
40,"Khalil Harrison & Tyler ICU","Jealousy (feat. Leemckrazy & Ceeka RSA)"
41,"Urban Chords","badman gangsta"
42,"Joé Dwèt Filé & Burna Boy","4 Kampé II"
43,"Dyana Cods","Mtu Wa Shughuli (feat. Domani Munga)"
44,"EMIN & JONY","Камин"
45,"Alex Warren","Ordinary"
46,"Fireboy DML","Dopamine"
47,"Phina","Kesho Yako"
48,"Tkandz & CXSPER","Now or Never"
49,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast","Golden"
50,"Gajendra Verma & Neha Kakkar","Tera Ghata"
51,"Sounds Of Afrika Music","Oh Lulu | Yesu Nipeleke Kule Kwa Baba"
52,"FloyyMenor, Ozuna & Anitta","Gata Only (Remix)"
53,"Barnaba","Salama (feat. Diamond Platnumz)"
54,"Devrix Da Fubu","Ntaomoka"
55,"Uncle Eddy","Jathum Chamo Jaba"
56,"Zuchu & Diamond Platnumz","Inama (feat. Diamond Platnumz)"
57,"Mutoriah","Beta"
58,"Qing Madi","American Love"
59,"AGATHA NASERIAN","KEJI MELAIKINO (feat. NANANA SIAMPALA)"
60,"DJ Maphorisa, Xduppy & Scotts Maphuma","Ngibolekeni (feat. Sean 1401, Leemckrazy, Blxckie, Pcee, Madumane & Kabelo Sings)"
61,"Wakadinali","Kum Baba (feat. Abbas Kubaf, Wakuu, Pepela & Masterpiece King)"
62,"Diamond Platnumz","Msumari"
63,"Sam Wa Ukweli","Sina Raha"
64,"Thukuthela, GL_Ceejay, JAZZWRLD & Makhadzi Entertainment","uMoya"
65,"Dr Sarah K & Shachah Team","Gacumbiri (Pale Kilele) [Live]"
66,"Fally Ipupa","Mayday"
67,"Preston Pablo","Dance Alone"
68,"Vybz Kartel","Only Gets Better (Forever)"
69,"DJ Maphorisa, Xduppy & Enny Man Da Guitar","Dlala Ka Yona (feat. Focalistic, Ricky Lenyora, Uncool MC & Mellow & Sleazy)"
70,"Selecta Ghost","Be My Friend Pt1 (feat. DJ Vybeout)"
71,"CEO Blessed DJ Savage liquid FM","nanotechnology mind control"
72,"Dexta Daps","Shabba Madda Pot"
73,"Gyptian","Take My Money"
74,"Saluh","Raha"
75,"Mr Pilato, Ego Slimflow & Tebogo G Mashego","Biri Marung (feat. Sje Konka, Focalistic, DJ Maphorisa, Scotts Maphuma & CowBoii)"
76,"Joel Lwaga","Olodumare"
77,"Ice Prince","Oleku (feat. Brymo)"
78,"Nicki Minaj","Beez In The Trap (feat. 2 Chainz)"
79,"Nyashinski","Fresh"
80,"Bien","Chikwere"
81,"Upendo Nkone","Uniongoze Yesu"
82,"OSKIDO","Tsa Ma Ndebele Kids (feat. Candy) [Mixed]"
83,"Thukuthela, JAZZWRLD, Sykes & Major League DJz","uMA weNGANE"
84,"Toxic Lyrikali","Backbencher"
85,"Sammy Dee","Baba Oyee (feat. The Cluster)"
86,"Sylvia Nabaasa","Elohim"
87,"Darassa","Looking For Love (feat. Mbosso)"
88,"Chella","My Darling"
89,"KiDi, Olivetheboy & KOJO BLAK","Gymnastic"
90,"Gang Manda Gang","Mbuni (feat. CHIEF DADY)"
91,"Davido","KANTE (feat. Fave) [Mixed]"
92,"Marioo","TETE"
93,"HOOD BOYZ","WAZIM"
94,"Tshala Muana","Kokola"
95,"Marlaw","Pii Pii"
96,"Caine","So Mi Like It (Caine Remix)"
97,"GIMS","DO YOU LOVE ME ?"
98,"Kalusizaza","Jowi Jowi"
99,"Marioo & Bien","Nairobi"
100,"Uncle Eddy","Wang'ni Nyaka Anyombi"
101,"Madilu System","Ya Jean"
