
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"Taylor Swift","The Fate of Ophelia"
2,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast","Golden"
3,"Derik Fein","1991"
4,"JISOO & ZAYN","EYES CLOSED"
5,"Silet Open Up, Jacson Seran, Juan Reza & Diva Aurel","TABOLA BALE"
6,"CORTIS","GO!"
7,"The Kid LAROI","A COLD PLAY"
8,"Evangeline","離開我的依賴"
9,"Ed Sheeran","Sapphire"
10,"Easykid","Shiny"
11,"Zynakal, Zamir Harith, Mojack Hafiz & Bel Janni","Dalam Diam"
12,"Jin","Don’t Say You Love Me"
13,"EMIN & JONY","Камин"
14,"KATSEYE","Gabriela"
15,"Taylor Swift","Opalite"
16,"Penny","lighter"
17,"Arghpiez","Harapalsu"
18,"Alpha","P Ramlee Saloma"
19,"THE 8","Star Crossing Night (feat. GALI)"
20,"艾薇 Ivy","Angel's Touch"
21,"Siti Nurhaliza & Ade Govinda","Menamakanmu Cinta"
22,"Kehlani","Folded"
23,"Nadhif Basalamah","bergema sampai selamanya"
24,"Charli xcx & Caroline Polachek","Everything is romantic featuring caroline polachek"
25,"sombr","back to friends"
26,"Furacão 2000","Mimosa 2000"
27,"Rizky Febian & Adrian Khalif","Alamak"
28,"Ravyn Lenae","Love Me Not"
29,"RAYE","WHERE IS MY HUSBAND!"
30,"Tate McRae","TIT FOR TAT"
31,"Kid Cudi","Maui Wowie"
32,"BLACKPINK","JUMP"
33,"Tyler, The Creator","Sugar On My Tongue"
34,"Olivia Dean","Man I Need"
35,"Tenxi, suisei & Jemsii","mejikuhibiniu"
36,"5 Seconds of Summer","NOT OK"
37,"Alex Warren","Ordinary"
38,"MXZI, dj Samir & DJ Javi26","Montagem Xonada"
39,"Olivia Dean","So Easy (To Fall In Love)"
40,"Justin Bieber","DAISIES"
41,"Henry Moodie","sunday morning"
42,"BABYMONSTER","WE GO UP"
43,"Rombongan Bodonk Koplo","Calon Mantu Idaman (feat. Ncum)"
44,"Madison Beer","bittersweet"
