
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast","Golden"
2,"Abraham Mateo & Ana Mena","Quiero Decirte"
3,"Jere Klein, Katteyes & Mateo on the Beatz","TODO KE VER"
4,"Taylor Swift","The Fate of Ophelia"
5,"VAD BOYZ","MUEVELOU"
6,"Pxntera","Pase Y Toque 2"
7,"Charli xcx & Caroline Polachek","Everything is romantic featuring caroline polachek"
8,"Neton Vega","Pvta Luna"
9,"4 Non Blondes","What's Up?"
10,"El Bogueto & Yung Beef","Cuando No Era Cantante"
11,"Martinwhite, Cachirula, Santa Fe Klan & NEMJ","C*****N 2"
12,"Virlán García","Mi Entorno"
13,"Natanael Cano & Gabito Ballesteros","Perlas Negras"
14,"sombr","back to friends"
15,"Nicki Minaj","Beez In The Trap (feat. 2 Chainz)"
16,"FLVCKKA, Sleezy O & Maury","Hotel Room"
17,"Trippie Redd & Diplo","Wish (Audiomack Trap Symphony Version)"
18,"Tyler, The Creator","Sugar On My Tongue"
19,"Xavi & Grupo Frontera","No Capea"
20,"Peso Pluma & Los Plebes del Rancho de Ariel Camacho","Haciendo Memoria"
21,"Óscar Maydon & Omar Camacho","La Ciudad del Sol"
22,"Luis R Conriquez, Fuerza Regida & Neton Vega","Chula Vente"
23,"Matisse & Cristian Castro","Conmigo Sin Ti"
24,"Tombochio","Vice City"
25,"KAROL G & Marco Antonio Solís","Coleccionando Heridas"
26,"Pink Floyd","Another Brick In the Wall, Pt. 1"
27,"Q Lazzarus","Goodbye Horses"
28,"Grupo Cumbia Nova","Tus Mentiras"
29,"Grupo Firme","El Beneficio De La Duda"
30,"Xavi & Manuel Turizo","En Privado"
31,"Victor Mendivil","Orula"
32,"Alex Warren","Ordinary"
33,"The Hollies","Long Cool Woman (In a Black Dress)"
34,"Blessd, Anuel AA, Kris R. & Luar La L","YOGURCITO REMIX (feat. ROA, Yan Block)"
35,"Los Lara","Se Va"
36,"Easykid","Shiny"
37,"Victor Mendivil & Omar Camacho","2+2"
38,"RENEE","Nunca Tristes (Me Vale Madre)"
39,"Los Dareyes De La Sierra","Frecuencia"
40,"KAROL G","Ivonny Bonita"
41,"Lola Young","Messy"
42,"Los Dareyes De La Sierra","Pasta"
43,"The Flirts","Passion"
44,"Victor Mendivil & Fenix Flexin","P.V."
45,"GH Y Su Escuadra Armada","OBSCURIDAD"
46,"Peso Pluma & Estevan Plazola","HOLLYWOOD"
47,"Global Afro","YA NI SU NOMBRE ME SÉ (Private AfroHouse)"
48,"Fuerza Regida","CHAVALITAS"
49,"emmanuellcortess_","Amor"
50,"Gabito Ballesteros & Fuerza Regida","CHROME HEARTS"
51,"Banda MS de Sergio Lizárraga & Fuerza Regida","Seguro Le Dolió"
52,"Cumbia Pedregal & Daphne Michelle","Tu Nunca Lo Sabrás (Versión Cumbia)"
53,"Tim Sanders","Do To Me"
54,"Lady Gaga","The Dead Dance"
55,"David Guetta, Teddy Swims & Tones And I","Gone Gone Gone"
56,"Calle 24 & Luis R Conriquez","DIOS TESTIGO"
57,"Marc Segui, Rauw Alejandro & Pol Granch","Tiroteo (Remix)"
58,"Ricky Martin & Carín León","A Medio Vivir"
59,"Olivia Dean","Man I Need"
60,"Junior H","LAS NOCHES"
61,"Bohemio & Grupo Arriesgado","Cuando Nadie la Ve"
62,"Empire Of The Sun","We Are The People"
63,"Natanael Cano","Blancanieves"
64,"Rockwell","Somebody's Watching Me"
65,"Tito Double P","POR SUS BESOS"
66,"Hector Bambino EL Father y Wisin & Yandel","El Teléfono"
67,"77s","You Don't Scare Me"
68,"The Police","Every Breath You Take"
69,"Madison Beer","bittersweet"
70,"Jimmy Guzman & Omar Camacho","3 AM"
71,"Moy Bobadilla, Grupo Firme, Hernan Sepulveda & Max Peraza","Tus Mentiras"
72,"FloyyMenor & Cris MJ","Gata Only"
73,"coldtvrkey","Elecciones"
74,"Creedence Clearwater Revival","Have You Ever Seen The Rain"
75,"Tate McRae","you broke me first"
76,"Furacão 2000","Mimosa 2000"
77,"Marcos Villalobos & Omar Camacho","Mi Cuernito"
78,"Radiohead","Creep"
79,"Fuerza Regida","TU SANCHO"
80,"Grupo Arriesgado","Ansiedad"
81,"Jasiel Nuñez & Peso Pluma","La Lleca"
82,"Kevin Kaarl","me va a costar"
83,"RÜFÜS DU SOL","Innerbloom"
84,"Rels B","TU VAS SIN (fav)"
85,"Burak Yeter","Tuesday (feat. Danelle Sandoval)"
86,"The Goo Goo Dolls","Iris"
87,"Siddhartha","Tú y yo y tú"
88,"Fuerza Regida","Marlboro Rojo"
89,"Taylor Swift","Opalite"
90,"George Michael","Careless Whisper"
91,"Yuridia & Carlos Rivera","Si No Piensas Cambiar (En Vivo Desde la Plaza de Toros la México)"
92,"Jayrick & El Malilla","Prende y Pasa"
93,"La La Love You","El Fin del Mundo (feat. Axolotes Mexicanos)"
94,"Keane","Somewhere Only We Know"
95,"Victor Mendivil & Neton Vega","King of Watches"
96,"Elliot Moss","Slip"
97,"Sam Smith","I Feel Love"
98,"Fuerza Regida","caperuza"
99,"La Gusana Ciega","Cielo de Limón"
100,"Chappell Roan","Good Luck, Babe!"
101,"Benson Boone","Beautiful Things"
102,"Luis R Conriquez, Joel De La P, El Alfa & Chimbala","Meneo"
103,"Jorge Edicion","El General"
104,"KAROL G","LATINA FOREVA"
105,"8Uno & Airam Páez","Pelotero A La Bola"
106,"Ian Cordova","Te Amo y Me Amas"
107,"Rita Ora","All Natural"
108,"Tito Double P","CRIPTONITA"
109,"Junior H","PIÉNSALO"
110,"Calvin Harris & Clementine Douglas","Blessings"
111,"Young Cister & Kreamly","QLOO*"
112,"Harry Styles","Sign of the Times"
113,"Esau Ortiz, Luis R Conriquez, Óscar Maydon & Alemán","Triple Lavada (feat. Victor Mendivil) [Remix]"
114,"Billy Idol","Eyes Without A Face"
115,"FLVCKKA","So What We Get Drunk? (Extended Version)"
116,"Grupo Cañaveral de Humberto Pabón & La Joaqui","Echarme Al Olvido"
117,"Don Omar","Anda Sola"
118,"Nu","Who Loves the Sun feat. Jo.Ke"
119,"Fuerza Regida","ANSIEDAD"
120,"New West","Those Eyes"
121,"yovngmanota, Hades66, TORRRES & Remers","Días Grises 3.0 (feat. Tutu & Mvchoo23) [Remix]"
122,"CID & Taylr Renee","Fancy $hit"
123,"Los Caligaris","Kilómetros"
124,"Teddy Swims","Lose Control"
125,"Pitbull","Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)"
126,"Billie Eilish","BIRDS OF A FEATHER"
127,"Don Omar","My Space (feat. Wisin & Yandel)"
128,"Oasis","Stop Crying Your Heart Out"
129,"Eloy, Randy, Zion & Jowell & Randy","Fuera del Planeta (Remix)"
130,"FLVCKKA & angely2k","Notype"
131,"Bad Bunny","BAILE INoLVIDABLE"
132,"The Marías","No One Noticed"
133,"Victor Valverde & JR Torres","El Mayor De Los Ranas"
134,"Gotye","Somebody That I Used to Know (feat. Kimbra)"
135,"Rameez","Girls in Luv (feat. DJane HouseKat) [Radio Mix]"
136,"Victor Mendivil & Óscar Maydon","Me Paseo"
137,"Los Dareyes De La Sierra","Ando Surtiendo"
138,"Adele","Rolling in the Deep"
139,"Tigerblind","BATTERY OPERATED"
140,"Susan Díaz, DJ Goozo & Massianello","Enseñame a Soñar"
141,"Julión Álvarez y su Norteño Banda","Rey Sin Reina"
142,"Bonnie Tyler","Total Eclipse of the Heart"
143,"Róisín Murphy","Ramalama (Bang Bang)"
144,"Yes","Owner of a Lonely Heart"
145,"Foreigner","I Want To Know What Love Is (Remastered)"
146,"Kenshi Yonezu & Hikaru Utada","JANE DOE"
147,"Victor Mendivil & Óscar Maydon","Mejores Jordans 2"
148,"La Arrolladora Banda el Limón de René Camacho","El Final De Nuestra Historia"
149,"Kybba, Sean Paul, Ryan Castro & Busy Signal","Ba Ba Bad Remix"
150,"Fuerza Regida & Grupo Frontera","COQUETA"
151,"Los Telez","Yo Soy Tu Maestro"
152,"Zoé","Rexsexex"
153,"DLD","Mi Vida (En Vivo)"
154,"Makano","Te Amo"
155,"Omar Camacho & Angel Almaguer","Tusinelli"
156,"Sayfalse, Cape & Jxndro","Montagem Rugada"
157,"Sebastián Yatra, Lucho RK, Belinda & Gente de Zona","CANCIÓN PARA REGRESAR"
158,"Eminem","Without Me"
159,"Julión Álvarez y su Norteño Banda","Cero Empatía"
160,"Tears for Fears","Everybody Wants To Rule The World"
161,"Starship","Nothing's Gonna Stop Us Now"
162,"Peint & GSG Music","Eres tú"
163,"Efecto Elegante","Ebrio de amor"
164,"Chris Isaak","Wicked Game"
165,"Coolzone","Nasty Jamz"
166,"Tom Odell","Another Love"
167,"Julión Álvarez y su Norteño Banda","Regalo De Dios"
168,"Eden Muñoz","Como En Los Viejos Tiempos"
169,"Montana music","El Wero V11"
170,"George Harrison","Beware of Darkness (2014 Remaster)"
171,"W Sound, Beéle & Ovy On the Drums","La Plena (W Sound 05)"
172,"Los Dareyes De La Sierra","Agua y Jabón"
173,"KAROL G","Si Antes Te Hubiera Conocido"
174,"Black Eyed Peas","Meet Me Halfway"
175,"Beéle","no tiene sentido"
176,"Óscar Maydon & Fuerza Regida","Tu Boda"
177,"Alleh & Yorghaki","capaz (merengueton)"
178,"Abraham Mateo","Quiero Decirte (Acoustic Session)"
179,"DJ Snake","Let Me Love You (feat. Justin Bieber)"
180,"SAIKO & Came Beats","BB ;("
181,"Julión Álvarez y su Norteño Banda","Mi Decisión"
182,"Lady Gaga","Bloody Mary"
183,"Gabito Ballesteros & Neton Vega","WISCACHOS"
184,"Fresto","Me Hace Daño Verte"
185,"Kid Cudi","Maui Wowie"
186,"Bad Bunny","EoO"
187,"Kane Rodriguez & Juan Freer","PURA SUERTE"
188,"El Chapo De Sinaloa","Detrás De La Puerta"
189,"Sabrina Carpenter","Tears"
190,"Yerba Brava","Vamos A Bailar"
191,"India Martínez & Eden Muñoz","KARMA"
192,"Major Lazer & DJ Snake","Lean On (feat. MØ)"
193,"BLOW RECORDS & Mc Jhey","Predador de Perereca"
194,"Camela","¿Qué Tiene Ella Que No Tenga Yo?"
195,"Neton Vega & Chino Pacas","Gula"
196,"dnvn, SYNPIX & Phonk King","Verão Flow (Super Slowed)"
197,"Jack Stauber","Oh Klahoma"
198,"Belico","El Fierros"
199,"Kylie Minogue","Can't Get You Out of My Head"
200,"Benson Boone","Mystical Magical"
