
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"DYSTINCT","YAMA"
2,"Amine Farsi & Stormy","Bali maak"
3,"Benny Adam & Lartiste","Quand elle danse"
4,"GP Explorer, ElGrandeToto & La Mano 1.9","Thunes (feat. Zed)"
5,"Shaw","DAZOU LYAM"
6,"DJ Malvado & DJ Aka-m","Mussulo (feat. Dody)"
7,"Cheb hakim","Win Raki Zayda biha Hyati Damartiha (feat. Kacimou Nouni)"
8,"Abdou Gambetta & Raouf Samourai","Rani out"
9,"MA3IZ","S2al"
10,"Black Eyed Peas & Shakira","GIRL LIKE ME"
11,"Draganov","Tsswirtek"
12,"THE ONLY","MAKARIB"
13,"Hassa1 & Shaw","DRAHEM"
14,"Bayadis, Manal & Shaw","NGHAMER"
15,"Sofiane Asla","نصبر قلبي ونلهالك"
16,"Cheb Rami","Pour Le Moment Manich Nhas"
17,"OldyGotTheSound, Anys & Shaw","TAF TAF"
18,"CEO Blessed DJ Savage liquid FM","nanotechnology mind control"
19,"Mounim Slimani","Darba Darba (feat. Badr Ouabi)"
20,"Cheb Faycal","Waara hadi el waara"
21,"Stormy","MOON"
22,"Naza & SDM","Tout donner"
23,"salvh & Kira7","Medical"
24,"Cheb Momo & Djalil Palermo","Sahran lil"
25,"7ARI & Ramoon","Souvenir"
26,"EMIN & JONY","Камин"
27,"Shakira","Addicted to You"
28,"Easykid","Shiny"
29,"A$AP Rocky","1 Train (feat. Kendrick Lamar, Joey Bada$$, Yelawolf, Danny Brown, Action Bronson & Big K.R.I.T.)"
30,"SALIMA CHICA","SONGI SONGI"
31,"Stormy","SO HIGH"
32,"Trippie Redd & Diplo","Wish (Audiomack Trap Symphony Version)"
33,"Tipo Bel Abbes","ياطلابة (feat. Djeloul Sghir)"
34,"Pause","L’Bayda Mon Amour"
35,"Draganov","3DABI"
36,"Cheb Mourad","Manich Mrigel"
37,"Oueld Lmesbah & Nihad","Habloh Nssa"
38,"TRIANGLE DES BERMUDES","Charger (feat. MC YOSHI, Mauvais djo & Kokosvoice)"
39,"THE JON JOHNS","Summertime Juice"
40,"nour","Meen Ysadak (feat. Eldab3)"
41,"Cheb Mirou & Rami Latinos","Ya Zahri Sket"
42,"Najm","RIRI&ROCKY (feat. Manal)"
43,"Houari Dauphin","كذبة و عقلك امنها"
44,"Abdou Gambetta","Ana 3liha Nma3ni"
45,"Lakamura","Carabina"
46,"King of Yemeni art","الوفاء ماتغير - سالم المسعودي جلسة حصرية"
47,"Taylor Swift","The Fate of Ophelia"
48,"Cheb Faycal","Galbek houa lbanka (Live)"
49,"Amr Diab","Khalik Maaya"
50,"Charli xcx & Caroline Polachek","Everything is romantic featuring caroline polachek"
51,"Draganov","Tach"
52,"MC Tairon & Mc Vitin Da Igrejinha","Baile no Morro (Mixed)"
53,"SKAI ISYOURGOD","Stacks from All Sides"
54,"Houari Djazira","Nti Tebghini w Ana Nebghik"
55,"Mocci","Tes7arni"
56,"Cheb Âmrou","C'est toi que jaime"
57,"FloyyMenor & Cris MJ","Gata Only"
58,"Stormy & Dizzy DROS","NIKEY"
59,"HUGEL, Topic & Arash","I Adore You (feat. Daecolm)"
60,"Didine Canon 16","Moujat El Babour (feat. Chemsou Freeklane)"
61,"Cheb Hassni","Oran La France"
62,"Youssef Al Omani","Qalbi Moathab"
63,"ZXKAI & slxughter","NO BATIDÃO (Slowed)"
64,"Daoudi","Mael Galbi Mel Kiya Ma Bra"
65,"DYSTINCT","SHAKO MAKO (feat. Mustafa Al-Abdullah)"
66,"Vanco","Ma Tnsani (Yalla Habibi) [feat. AYA]"
67,"Gala","Freed From Desire"
68,"Cheb Mustapha","Zahri Kan Ja Bnadem (feat. Manini Sahar)"
69,"Kamal & Mimoun","Hikayat Houbbi"
70,"Don Miguelo","Y Qué Fue?"
71,"Shaw, Hassa1 & Nayra","Babour Lou7"
72,"SALIMA CHICA & RYM","SONGI SONGI (ARABIC REMIX)"
73,"Abdellah Daoudi","Mansit Chajra"
74,"Loreen","Tattoo"
75,"Delarue, Morad & ElGrandeToto","Obligación"
76,"Bouchain Ziani","Chkoun Blani Bik Al Kass"
77,"Franglish & KeBlack","Génération impolie"
78,"Acim Music","Khalini"
79,"Houari Manar","Balak"
80,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast","Golden"
81,"MoBlack & Salif Keïta","Yamore (feat. Cesária Evora, Benja (NL) & Franc Fala)"
82,"Stromae","Papaoutai"
83,"salimatrack vibe","chaabi lhaayhaaa ,li ma3ndha ch3ar tsaålfööö"
84,"Bady Maestro","ما غاضتنيش العشرة يتبلع باب ينحلو 10"
85,"Inez, RYM & FIFA Sound","Marhba Bik (Welcome), the Official Song of the FIFA U-17 Women’s World Cup Morocco 2025™️"
86,"Kid Cudi","Maui Wowie"
87,"Cheb Aymen Sghir","Ya Ge3 Yhalbouha Fel Amana Y3almouha (feat. Manini Sahar)"
88,"Draganov","BON COURAGE"
89,"Fadel Chaker","Sahak Isho2"
90,"Tkandz & CXSPER","Now or Never"
91,"LoVibe.","a good man with a broken heart"
92,"Musta Music","Hala Rani Fiha (feat. Abdou Gambetta & Sherine)"
93,"Abraham Mateo & Ana Mena","Quiero Decirte"
94,"Khalil Harrison & Tyler ICU","Jealousy (feat. Leemckrazy & Ceeka RSA)"
95,"Chaba Samira l'Oranaise","Nebghi"
96,"Otilia","Bilionera (Radio Edit)"
97,"The Stranglers","Golden Brown"
98,"Cheb Momo","Atiteha l'amour عطيتها"
99,"TUL8TE","Heseeny"
100,"Djamel Sghir","Yalbarmane djibou zid / El merioul baâ el firma / Aalache alia naachak likouatni (Enchainer Live)"
101,"7-Toun","Lappel"
102,"Cairokee","Basrah w Atooh"
103,"Nasser Dine","MATBKICH AMAMA"
104,"farid kalamity","يا قلبي بركاك (feat. Moosive)"
105,"ZAKLOOW, Tagne & Shaw","Amnésie"
106,"Lana Del Rey","Cinnamon Girl"
107,"Sheikha Djamila","Bdit Ntwahchah"
108,"Cheb Lotfi","Mandirch Niya (feat. Yousri Oscar)"
109,"Moro & Skizo Beats","ZAMAN"
110,"1D1R & Vacra","Balade"
111,"Ino Casablanca & Draganov","MOULA SOLITUDE"
112,"Baby Gang, El Alfa, Omega & Roberto Ferrante","Kriminal (Prod. By Roberto Ferrante)"
113,"Anas","Sugar Daddy (feat. Cheb Faycal)"
114,"RedOne","Maghribi Maghribi"
115,"Cheb Amine Tigre","Ana Sbab Rouhi"
116,"Vishal Dadlani & Hamsika Iyer","One Two Three Four (Get On the Dance Floor) [From "Chennai Express"]"
117,"Cheb Mourad","Habibi Chou Ghayarek"
118,"GJMA","NePTuN"
119,"Eli ALXNDR","Not Concerned"
120,"ريفو شو","علي باب السيما (من مسلسل ريفو)"
121,"Cheb Momo","من أول دقيقة حبك لي بان"
122,"Cheb Momo","Dikrayat"
123,"Tagne","Boca X2"
124,"Sayfalse, Cape & Jxndro","Montagem Rugada"
125,"Skorap","MVR"
126,"DJ Souhil","Une semaine après (feat. Samira L'oranaise)"
127,"ElGrandeToto","Etranger (feat. Damso)"
128,"Chikh Nano","Omri Mharwass (Live)"
129,"Lwinga","الروينة و البلبلة"
130,"Cheb Momo","Roho Gouloulha"
131,"Daoudi","Houbek jabni belil"
132,"Alex Warren","Ordinary"
133,"TIF & ElGrandeToto","kafini"
134,"Anys & Stormy","Si tu savais"
135,"Cheb Sghir & Yahia Parolier","Labgha 3ch9ak Hareb"
136,"Sjaak","TumTum"
137,"SALIMA CHICA & WAYNE FLENORY","SONGI SONGI (FRENCH REMIX)"
138,"Amine Matlo","Hiya Tzewjet"
139,"Maes","MAGIE"
140,"cheb hamidou","Allo Chekoun (feat. Kader Zakzouk)"
141,"Douaa Lahyaoui","Belbala"
142,"Balti","Ya Hasra"
143,"Trap king & Djalil Palermo","Bizzare"
144,"Cheb Hichem TGV","9arawni Liyam - البرية لي لحقت"
145,"Houari Benchenet","Rani m'damar"
146,"Furacão 2000","Mimosa 2000"
147,"Draganov","Mfhmtch"
148,"Bilel Tacchini","Mechatni"
149,"Didou Parisien","Rohou Hawlouha \ Rani Mtwahchha"
150,"Omar Belmir & Rajaa Belmir","Rojla"
151,"ElGrandeToto","RAZONES (feat. Morad)"
152,"ZMAGRI","Nari Nari"
153,"SedSelfMade","Hope"
154,"Daoudi","Sidi Lefkih"
155,"Yacine Tigre","La Alo La Messge (feat. Amine La Colombe)"
156,"Cheb Ghazel","Dayek Dayek Bbouchiya Dayek (feat. Mehdi LALMANI)"
157,"Maha Ftouni","أول حب"
158,"Stormy, Tagne & Smallx","Médaille d'or"
159,"Ayoub bg","قلت ليك متروحش لديك غربة"
160,"Climax","El Za Za Za (Mesa Que Mas Aplauda)"
161,"Nacim Haddad","عيطة الغزال"
162,"MR CRAZY","NIDAL (ila l'mammat)"
163,"Lbenj","Jmi"
164,"Daoudi","Chhal Nhitek"
