
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"Nelson Tivane & Makhadzi Entertainment","MAMA'S BABY"
2,"Thukuthela, GL_Ceejay, JAZZWRLD & Makhadzi Entertainment","uMoya"
3,"Sam Deep, Nia Pearl & Boohle","Shela (feat. Mano)"
4,"JAZZWRLD, Thukuthela & Babalwa M","uValo (feat. Dlala Thukzin)"
5,"BlayC Young","Ainda Te Amo, Mas Desisto de Nós"
6,"MaWhoo, GL_Ceejay & Thukuthela","Bengicela (feat. Jazzworx)"
7,"Scotts Maphuma","Sya'Waver (feat. Uncool MC, Mluusician, Dlala Regal & Shaun Stylist)"
8,"Sir Trill & King P","On The Floor"
9,"JAZZWRLD, GL_Ceejay & Thukuthela","Tholukuthi (Clap Song) [feat. MaWhoo]"
10,"MC Petite Abelha","Falsa Tuga"
11,"JAZZWRLD, Thukuthela & GL_Ceejay","Thando Lwakhe (feat. Nokwazi)"
12,"Mauro Flow","Não Tem Hora (feat. Bander)"
13,"Ntombemhlope","MAMA (feat. Tee-s Papah)"
14,"Leemckrazy & King P","AmaGlobe (feat. Pcee, Scotts Maphuma, Mpho Spizzy, Infinity MusiQ & 031choppa)"
15,"DJ Maphorisa, Xduppy & Kabza De Small","Abantwana Bakho (feat. Thatohatsi, Young Stunna & Nkosazana Daughter)"
16,"JAZZWRLD, MaWhoo, Thukuthela & GL_Ceejay","Uzizwa Kanjan"
17,"JAZZWRLD, Thukuthela & GL_Ceejay","Abasekho"
18,"3 Finer, Ganan Boy & T-Djay","Você"
19,"EMIN & JONY","Камин"
20,"Mluh & Thoby Dladla","Izinkinga Zami (feat. SG MusiQ)"
21,"Oruam & Maurin","Freestyle Depois da Cadeia"
22,"Mc Tchabaco","Dama na Fassi Fama (feat. We Dem Boyz) [Club Banger]"
23,"Thukuthela, JAZZWRLD, Sykes & Major League DJz","uMA weNGANE"
24,"Goon Flavour, Master KG & Eemoh","Ngishutheni"
25,"Khadeair","Magumba (feat. Peekay Mzee & Kaytah)"
26,"Eman S, S.Sabadala, Kenton Lee & Zykes Magida","Ngibuyela Emakhaya"
27,"Sqiniseko SqinQ","Ngakthanda wena (feat. Bontle Kgabi)"
28,"Seydou Chée","JOWO (NE DJOTALA) [SPEED UP]"
29,"Worship House","Africa For Jesus (Live at Worship House Church Limpopo, 2023) [feat. Mish Mahendere]"
30,"Alex Warren","Ordinary"
31,"Mluusician, Ricky Lenyora & DJ Maphorisa","Malacosta (feat. Vulela Maweekend, Mark Khoza & Angekebabuye mc)"
32,"Kabza De Small & Kelvin Momo","Iphupho (feat. Thatohatsi)"
33,"Helio Beatz","Pra Ela Sou Fofo (feat. Ellputo)"
34,"MaWhoo, DJ Veek, Criimora b.k.z & ChildDaDj","Umona (feat. Sykes)"
35,"Patymusicpxo","Entre o Çeú e o Chão"
36,"FloyyMenor & Cris MJ","Gata Only"
37,"EeQue, Pcee & Royal Musiq","Ke Wave"
38,"Makhadzi Entertainment","⁠Tingwenza"
39,"Goon Flavour, Master KG & Naledi Aphiwe","Mina Nawe"
40,"Urban Chords","I'm a mess (Choir Version)"
41,"Nilo & Dj Yuri Pedrada","Fui Mandado Embora"
42,"Romeo Makota & Eemoh","Abangifuni"
