
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"Icegergert & Zivert","БАНК"
2,"KATO","Turn The Lights Off (feat. Jon)"
3,"Trippie Redd & Diplo","Wish (Audiomack Trap Symphony Version)"
4,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast","Golden"
5,"Olivia Dean","Man I Need"
6,"Jakone & Kiliana","Жиганская"
7,"Ваня Дмитриенко & Аня Пересильд","Силуэт (из к/ф «Алиса в Стране Чудес»)"
8,"Taylor Swift","The Fate of Ophelia"
9,"Bente & Beste Zangers","Kan Je Me Zien"
10,"Charli xcx & Caroline Polachek","Everything is romantic featuring caroline polachek"
11,"Hannah Mae","Wacht Op Mij"
12,"Furacão 2000","Mimosa 2000"
13,"SABI & MIA BOYKA","Базовый минимум"
14,"David Guetta, Teddy Swims & Tones And I","Gone Gone Gone"
15,"Douwe Bob & MEAU","Nog Even Blijven"
16,"Oleta Adams","Get Here"
17,"Линочка Ли","Любить тебя"
18,"Shakira","Addicted to You"
19,"CEO Blessed DJ Savage liquid FM","nanotechnology mind control"
20,"Benson Boone","Beautiful Things"
21,"Albert Brite","Wild"
22,"sombr","undressed"
23,"RAYE","WHERE IS MY HUSBAND!"
24,"Sunnatillo Do'stov","Alyonushka"
25,"Calum Scott & Whitney Houston","I Wanna Dance With Somebody (Who Loves Me)"
26,"hatikoali","GO!"
27,"Alex Warren","Eternity"
28,"Monetochka","Каждый раз"
29,"Chris Rea","Fool (If You Think It's Over)"
30,"DYSTINCT","YAMA"
31,"Damiano David","The First Time"
32,"MONA","Воин и дракон (Из к/с «Ониксовый шторм»)"
33,"Ed Sheeran","Sapphire"
34,"Joni Mitchell","Both Sides Now"
35,"Abraham Mateo & Ana Mena","Quiero Decirte"
36,"Mr. Menace & Sir Soaked","S.I.A.S.D."
37,"Morgan Wallen & Tate McRae","What I Want"
38,"Marshmello & Jelly Roll","Holy Water"
39,"Lady Gaga","The Dead Dance"
40,"Langa, Yssi SB & Rijck","Helaas"
41,"ELMAN","С неба (feat. TRIDA)"
42,"Suzan & Freek","Niemand"
43,"Sayfalse, Cape & Jxndro","Montagem Rugada"
44,"Kid Cudi","Maui Wowie"
45,"Disco Lines & Tinashe","No Broke Boys"
46,"Lewis Capaldi","Survive"
47,"Douwe Bob, MELL VF & Beste Zangers","If Tomorrow Never Comes"
48,"Shannon Jae Prior","The Usual (feat. Jesse Scott)"
49,"Alanis Morissette","King of Pain (Live Unplugged)"
50,"PlaqueBoyMax, Rakai & BunnaB","TURN UP"
51,"Wallace Collection","Daydream"
52,"Vanco","Ma Tnsani (Yalla Habibi) [feat. AYA]"
53,"SKAI ISYOURGOD","Stacks from All Sides"
54,"Bente & BLØF","Hoe hou ik dit vast"
55,"Tkandz & CXSPER","Now or Never"
56,"Tyler, The Creator","Sugar On My Tongue"
57,"Calvin Harris & Clementine Douglas","Blessings"
58,"Damiano David, Tyla & Nile Rodgers","Talk to Me (feat. Tyla, Nile Rodgers)"
59,"АлСми","Базовый минимум"
60,"Tame Impala","Dracula"
61,"tuborosho","shalawa"
62,"Fatima Yamaha","What's a Girl to Do (Twr72 Remix)"
63,"gotlibgotlibgotlib","аромат"
64,"Maria Fiselier, Floor Jansen & Beste Zangers","Because We Believe"
65,"4 Non Blondes","What's Up?"
66,"Lola Young","Messy"
67,"Alanis Morissette","That I Would Be Good"
68,"Albert Brite","Я хочу каждый твой атом"
69,"Icegergert & SKY RAE","Наследство"
70,"Ravyn Lenae","Love Me Not"
71,"Alex Warren","Ordinary"
72,"Альбина Ягулбаева","Мерза безам"
73,"EMIN & JONY","Камин"
74,"Пабло & Mr Lambo","Love Is"
75,"LoVibe.","a good man with a broken heart"
76,"Zemfira","П.М.М.Л."
77,"Sting","Shape Of My Heart"
78,"Ваня Дмитриенко","Шёлк"
79,"Nicki Minaj","Beez In The Trap (feat. 2 Chainz)"
80,"ZXKAI & slxughter","NO BATIDÃO (Slowed)"
81,"Timbaland","Give It to Me (feat. Justin Timberlake & Nelly Furtado)"
82,"FloyyMenor & Cris MJ","Gata Only"
83,"Blestyashchie","Там, только там (Mr.pinky & Mafu Remix)"
84,"Fontaines D.C.","Starburster"
85,"WokkHelly","До-Ре-Ми 2"
86,"INSTASAMKA","AGENT GIRL"
87,"Miley Cyrus","Secrets (feat. Lindsey Buckingham & Mick Fleetwood)"
88,"Bad Bunny","NUEVAYoL"
89,"oskar med k","Make Me Feel"
90,"JW "Broken Veteran"","Wij zeggen nee, nee, nee, tegen een AZC (Hardcore Mix)"
91,"Miley Cyrus","End of the World"
92,"EsDeeKid & Rico Ace","Phantom"
93,"sombr","12 to 12"
94,"Бонд с кнопкой","Сидр"
95,"David Guetta & Sia","Beautiful People"
96,"Sabrina Carpenter","Tears"
97,"GIMS","Est-ce que tu m'aimes ? (Pilule Bleue)"
98,"Semicenk","Sen Kaldın"
99,"The Stranglers","Golden Brown"
100,"Midway","Get Down (feat. B.Kone & TREXX)"
101,"BLACKPINK","JUMP"
102,"Kensington","Stay"
103,"Ara Martirosyan","Карусели"
104,"Jaman T","Только у нее"
105,"Ed Sheeran","Camera"
106,"Sean Paul & Keyshia Cole","(When You Gonna) Give It Up to Me (Radio Version)"
107,"Joji","PIXELATED KISSES"
108,"Gorod 312","Фонари"
109,"George Michael","Careless Whisper"
110,"Ozoda","Ko'k Jiguli"
111,"Dean Lewis","I Hate That It's True"
112,"GIMS","Habibi (Pilule Bleue)"
113,"Enya","Caribbean Blue"
114,"Inna","Caliente (Radio Edit)"
115,"Typhoon, MELL VF & Beste Zangers","Colors"
116,"AFROJACK","Never Forget You"
117,"Demeter","O.P."
118,"Aphex Twin","Pulsewidth"
119,"a8p4s","Не видно"
120,"Alex Warren & Jelly Roll","Bloodline"
121,"MELL VF, Jan Dulles & Beste Zangers","Broken Strings"
122,"Bente, Typhoon & Beste Zangers","Zeg Me Dat Het Niet Zo Is"
123,"тёмный принц","овердоз"
124,"Broederliefde","LABANTA (DEEP TISSUE Remix)"
125,"Topic, Fireboy DML & Nico Santos","Body"
126,"Nikbinler","Eylülzede"
127,"Jan Dulles, Roxeanne Hazes & Beste Zangers","Zo Stil"
128,"Dan Korshunov & Кэнни","Сколько их было"
129,"Garik Garik","Судьба капканы расставит, а я их вновь обойду"
130,"Empire Of The Sun","We Are The People"
131,"Aikerim Kalaubaeva","Жүрек неге жылайды"
132,"Black Eyed Peas & Shakira","GIRL LIKE ME"
133,"sombr","back to friends"
134,"2hollis","poster boy"
135,"Gala","Freed From Desire"
136,"Easykid","Shiny"
137,"Effe Serieus","Baila de Gasolina"
138,"Luna & Russo","Voorbestemd"
139,"Xcho","Зачарованная"
140,"MACAN & Basta","Пусть Бог будет рядом с твоими планами"
141,"xe1to","Не в этом городе"
142,"Dave King","Right Back (Original Mix)"
143,"Bakr","Пятый нэп"
144,"NAVAI & MONA","Есенин"
145,"MACAN & Три дня дождя","Здравствуй"
146,"Robot 29","Del Nadareh Gonahi (feat. Omid Saeedi) [Persian Rock Reimagined]"
147,"Justin Bieber","DAISIES"
148,"Pitbull","Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)"
149,"Temo, Shiri & BLIZKEY","AZAMAT"
150,"Artur","Падал Белый Снег"
151,"Rauf Tagiyev","Keyvan (Etrin duyulur havada)"
152,"The Weeknd & Anitta","São Paulo"
153,"Jonas Blue & Malive","Edge of Desire"
154,"Martin Garrix & Lauv","MAD"
155,"AKORGO BOYS","ДЫК КЫН ДЫШ"
156,"Shaboozey & Myles Smith","Blink Twice"
157,"Claude","Amour"
158,"AQYLA & nkeeei","АКУЛА МАТАТА"
159,"TASSO","Таю"
160,"Coolzone","Nasty Jamz"
161,"Zoë Livay","Ik Zing (feat. Snelle)"
162,"panicbaby","Claw Marks"
163,"ivanzolo2004","Баобаб"
164,"KAROL G","Si Antes Te Hubiera Conocido"
165,"АДЛИН","Останься"
166,"Baby Melo","MIU MIU"
167,"Anton Ishutin","For You (Nezhdan Remix) [feat. Note U]"
168,"Andromeda & elysian.","MONTAGEM COMA"
169,"The Marías","No One Noticed"
170,"Yeat","COMË N GO"
171,"Davina Michelle","What a Woman"
172,"Bob Walter","Попутный ветер"
173,"MOLIY, Silent Addy, Skillibeng & Shenseea","Shake It To The Max (FLY) [Remix]"
174,"The Goo Goo Dolls","Iris"
175,"Tom Odell","Another Love"
176,"Eric Saade & Filatov & Karas","Wide Awake (feat. Gustaf Norén) [Red Mix]"
177,"Don Miguelo","Y Qué Fue?"
178,"DJ Malvado & DJ Aka-m","Mussulo (feat. Dody)"
179,"Ramil'","Что у нее внутри"
180,"Златенция","Маленькой девочкой"
181,"Vika Dayneko","Сотри его из Memory"
182,"50 Cent","In da Club"
183,"Myles Smith","Stay (If You Wanna Dance)"
184,"Naza & SDM","Tout donner"
185,"Akcent, SERA & Misha Miller","Don't Leave (Kylie)"
186,"Lithe & Don Toliver","Cannonball"
187,"The Police","Every Breath You Take"
188,"Basta","Голос (feat. Полина Гагарина)"
189,"brux XTN","Paid to Exist"
190,"Doppiez","Почему"
191,"WizTheMc & bees & honey","Show Me Love"
