
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"Olivia Dean","Man I Need"
2,"Taylor Swift","The Fate of Ophelia"
3,"Olivia Dean","So Easy (To Fall In Love)"
4,"David Guetta, Teddy Swims & Tones And I","Gone Gone Gone"
5,"Alessi Brothers","Seabird"
6,"RAYE","WHERE IS MY HUSBAND!"
7,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast","Golden"
8,"Ed Sheeran","A Little More"
9,"sombr","12 to 12"
10,"Taylor Swift","Opalite"
11,"Hori shaw & Te Wehi","Ready To Ride"
12,"Fred again.., Skepta & PlaqueBoyMax","Victory Lap"
13,"Olivia Dean","Nice To Each Other"
14,"Disco Lines & Tinashe","No Broke Boys"
15,"The 046 & JKING","That's My"
16,"Sonny Fodera, D.O.D & Poppy Baskcomb","Think About Us"
17,"Kid Cudi","Maui Wowie"
18,"Alex Warren","Ordinary"
19,"Olivia Dean","Let Alone The One You Love"
20,"Fontaines D.C.","Starburster"
21,"T-Pain","Club Husband"
22,"Keli Holiday","Dancing2"
23,"4 Non Blondes","What's Up?"
24,"Furacão 2000","Mimosa 2000"
25,"BLOW RECORDS & Mc Jhey","Predador de Perereca"
26,"Ed Sheeran","Sapphire"
27,"Audrey Hobert","Sue me"
28,"Tkandz & CXSPER","Now or Never"
29,"Charli xcx & Caroline Polachek","Everything is romantic featuring caroline polachek"
30,"Ravyn Lenae","Love Me Not"
31,"Mazzy Star","Fade into You"
32,"Elmiene","Useless (Without You)"
33,"Shaboozey","Good News"
34,"Lola Young","Messy"
35,"sombr","undressed"
36,"Kehlani","Folded"
37,"Trippie Redd & Diplo","Wish (Audiomack Trap Symphony Version)"
38,"Sabrina Carpenter","When Did You Get Hot?"
39,"Collective Soul","Shine"
40,"Nicki Minaj","Beez In The Trap (feat. 2 Chainz)"
41,"PlaqueBoyMax, Rakai & BunnaB","TURN UP"
42,"sombr","back to friends"
43,"Isaia Huron","SEE RIGHT THROUGH ME (feat. Kehlani)"
44,"Third Eye Blind","Semi-Charmed Life"
45,"Lewis Capaldi","Survive"
46,"Alex Warren & Jelly Roll","Bloodline"
47,"Olivia Dean","A Couple Minutes"
48,"CHRYSTAL & NOTION","The Days (NOTION Remix)"
49,"Easykid","Shiny"
50,"Bushbaby","Pumpin Jumpin"
51,"Sammy Johnson, Dinah Jane & Fia","Backstroke (feat. DJ Flict)"
52,"Sixpence None the Richer","Kiss Me"
53,"Chappell Roan","Good Luck, Babe!"
54,"Tracy Chapman","Give Me One Reason"
55,"Florence + the Machine","Dog Days Are Over"
56,"House of Pain","Jump Around"
57,"1st Lady","Missing You"
58,"Jack White","Archbishop Harold Holmes"
59,"oskar med k","Make Me Feel"
60,"Limp Bizkit","Behind Blue Eyes"
61,"The Wallflowers","One Headlight"
62,"John Summit","crystallized (feat. Inez)"
63,"Sonia Dada","(Lover) You Don't Treat Me No Good"
64,"Toosii & YoungBoy Never Broke Again","Please Don't Go"
65,"Alex Warren & ROSÉ","On My Mind"
66,"Backstreet Boys","Everybody (Backstreet's Back) [Extended Version]"
67,"Chappell Roan","The Subway"
68,"Justin Bieber","DAISIES"
69,"Tate McRae","TIT FOR TAT"
70,"Tinie Tempah, Skepsis & Carla Monroe","Eat It Up"
71,"Ella Mai","Tell Her"
72,"Keane","Somewhere Only We Know"
73,"Calvin Harris","I'm Not Alone (MPH Remix)"
74,"The Prodigy","Breathe"
75,"Sub Focus, Fireboy DML & IRAH","Original Don"
76,"Dire Straits","Money for Nothing"
77,"Nickelback","How You Remind Me"
78,"Five","If Ya Gettin' Down"
79,"The Presidents of the United States of America","Lump"
80,"Incubus","Pardon Me"
81,"New Radicals","You Get What You Give"
82,"Tawaz","Mānawa maiea Matariki (feat. Stan Walker, Hone, HERA, Hops, Neps & Rani)"
83,"Franz Ferdinand","Take Me Out"
84,"Hootie & The Blowfish","Hold My Hand"
85,"Neil Young","Old Man"
86,"Weezer","Buddy Holly"
87,"Real McCoy","Another Night"
88,"Tommy Richman","SAN ANDREAS"
89,"Billie","Because We Want To"
90,"The Verve","The Drugs Don't Work"
91,"Sammy Virji, Spice & Flowdan","Match My Mood"
92,"Justin Bieber","YUKON"
93,"Chris Brown","It Depends (feat. Bryson Tiller)"
94,"Ariana Grande","Break Free (feat. Zedd)"
95,"Vengaboys","We Like To Party! (The Vengabus)"
96,"Billy Ocean","Caribbean Queen (No More Love On the Run)"
97,"Benson Boone","Mr Electric Blue"
98,"Black Box","Ride On Time"
99,"Kim Carnes","Bette Davis Eyes"
100,"Alanis Morissette","Ironic"
101,"K U K A B O E ♬","Unaloto Netane (Tonga Jam)"
102,"Natalie Merchant","Carnival"
103,"Alice Deejay","Better Off Alone"
104,"Breaking Rust","Livin' On Borrowed Time"
105,"Duran Duran","Come Undone"
106,"The Angels","Dogs Are Talking"
107,"DJ Seinfeld & Confidence Man","The Right"
108,"Hedex & Maverick Sabre","I Knew That This Was Love"
109,"Portugal. The Man","Feel It Still"
110,"Geri Halliwell","Bag It Up"
111,"Son & Water","Home (feat. Myshaan)"
112,"EsDeeKid & Rico Ace","Phantom"
113,"Foster the People","Pumped Up Kicks"
114,"ROLE MODEL","Sally, When The Wine Runs Out"
115,"Blue","All Rise"
116,"Khalid","out of body"
117,"Limp Bizkit","Making Love to Morgan Wallen"
118,"Mary J. Blige","Family Affair"
119,"Diana King","I Say a Little Prayer (Love To Infinity's Classic Radio Mix)"
120,"Burna Boy","Alone (From "Black Panther: Wakanda Forever - Music From and Inspired By"/Soundtrack Version)"
121,"Lady Gaga","The Dead Dance"
122,"Jon Bon Jovi","Blaze of Glory"
123,"Paramore","Ain't It Fun"
124,"Fred again.. & Amyl and The Sniffers","you're a star"
125,"Florence + the Machine","Everybody Scream"
126,"Blue Öyster Cult","(Don't Fear) The Reaper"
127,"Snow","Informer"
128,"George Michael","Father Figure"
129,"Elton John","Circle of Life"
130,"Leo Sayer","You Make Me Feel Like Dancing"
131,"Mr. Big","To Be with You"
132,"Shawn Mendes","There's Nothing Holdin' Me Back"
133,"M People","One Night In Heaven (Master Mix)"
134,"Mariah the Scientist","Burning Blue"
135,"The Black Crowes","She Talks To Angels"
136,"Babybird","You're Gorgeous"
137,"Creedence Clearwater Revival","Have You Ever Seen The Rain"
138,"Jelly Roll","Liar"
139,"SLESS & Loboski","I Like It"
