
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"DJ Maphorisa, DJ Tunez, Wizkid & Mavo","MONEY CONSTANT"
2,"Urban Chords","I'm a mess (Choir Version)"
3,"Urban Chords","badman gangsta"
4,"Ayra Starr & Rema","Who’s Dat Girl"
5,"JFS music","Dry Wave (feat. King Tone SA & Soa mattrix)"
6,"Ice Prince","Oleku (feat. Brymo)"
7,"Bella Shmurda","Appraisal"
8,"OG Abbah","Wayyo Allah Na"
9,"Oumou Sangaré","Kun Fe Ko"
10,"OG Abbah","Wayyo Allah na (B.O.C Madaki & Mr442 Remix)"
11,"Fireboy DML","Dopamine"
12,"Ciza, Tems & Omah Lay","Isaka II (6am)"
13,"Shatta Wale","Pancake"
14,"WAVE$TAR & Straffitti","CANACETAMOL"
15,"Rybeena","Spaghetti"
16,"CKay","BODY (danz) [feat. Mavo]"
17,"Rybeena & Joeboy","Adunni"
18,"ODUMODUBLVCK & Modenine","IF YOU LIKE GYM"
19,"Rema","FUN"
20,"Hotkid","Better Days"
21,"Blaqbonez","ACL"
22,"Mavo","Shakabulizzy"
23,"Xploitcomedy","Soft life is calling (ise !)"
24,"Adekunle Gold","Many People"
25,"Maxivibes","Akpan"
26,"T.I BLAZE & Llona","Lonely Road"
27,"Shallipopi","HIM (feat. Gunna)"
28,"St Anointed","My Story (feat. Zyno Topboy) [Remix]"
29,"Sundé","SiZa ! (feat. Lwamii, Skhiya, Novatron & Authentic Sounds)"
30,"Kolaboy & Evado","Oga Eme"
31,"Khenyzee","Facetime 12(Deluxe Edition Pro) (feat. Zoro Swagbag)"
32,"Tml Vibez","Amiri (Trumpet)"
33,"DJ Maphorisa, DJ Tunez & Wizkid","ABANGANI (feat. Daliwonga & Madumane)"
34,"EeQue, Pcee & Royal Musiq","Ke Wave"
35,"FOLA","you"
36,"Zinoleesky","CELINE DION"
37,"Ken Erics","Nwa Di Mma (feat. Mobass)"
38,"Mavo","Shakabulizzy (feat. Davido) [Remix]"
39,"FOLA & Young Jonn","disco"
40,"EMIN & JONY","Камин"
41,"Tobi Akuraku","ERE EMI (feat. OLABISI)"
42,"Sojaboy","Kauna Nabaki"
43,"Kavan","Mercy"
44,"FOLA","caricature"
45,"Tmizzy Mrhorrizen","Hunter Boys"
46,"Benzoo","Izolo (feat. Bukzin Keyz, Sizwe Alakine, Bob Mabena, Mid9t & Officixl RSA)"
47,"ODUMODUBLVCK & Wizkid","BIG TIME"
48,"ODUMODUBLVCK, Davido & Seun Kuti","GROOVING"
49,"Shatta Wale","ON GOD"
50,"Njideka Okeke","Akanchawa"
51,"Stahgee, Feladehusla & Aguero Banks","Dying Minute"
52,"Vigro Deep, Zee Nxumalo & Ch'cco","Bhampa"
53,"Vicoka","SPIRIT (feat. Wizard Chan)"
54,"yung kai","blue"
55,"Tkandz & CXSPER","Now or Never"
56,"ODUMODUBLVCK","INDUSTRY MACHINE"
57,"Sarz, ODUMODUBLVCK, Shallipopi, Theodora & Zeina","Mademoiselle"
58,"FOLA","healer"
59,"Sarz, Asake, Wizkid & Skillibeng","Getting Paid"
60,"Benzoo, Mid9t & Nerrow DeMusica","Step By Step (feat. De-Papzo, Ocean RSA, Musical Rsa & Officixl RSA)"
61,"Ugoccie","Achalugo"
62,"Paul CleverLee & Gerald Bishung","Anchor of My Strength"
63,"DJ Maphorisa, DJ Tunez & Wizkid","FIESTA (feat. Zaba & Zeh McGeba)"
64,"Mavo","Escaladizzy (feat. WAVE$TAR)"
65,"Shoday & Kizz Daniel","A1"
66,"Lotus Beatz","Santapiano"
67,"Dave","My 27th Birthday"
68,"brux XTN","Paid to Exist"
69,"Faith Captain","Oshimiri Atata (Live)"
70,"Mavo","Tumo Weto"
71,"Kwate","Eledumare Dey 4 Me"
72,"Lordy Vibes","Camavinga (feat. Indriza) [Remix]"
73,"ODUMODUBLVCK, Tobe Nwigwe, Jeriq & Phyno","HALLELUJAH"
74,"Burna Boy","20 10 20"
75,"Shatta Wale","Birthday"
76,"Goon Flavour, Master KG & Eemoh","Ngishutheni"
77,"Victony & Olamide","Skido"
78,"Gunna","wgft (feat. Burna Boy)"
79,"Zlatan","Alpha & Omega (feat. Bhadboi OML)"
80,"Alex Warren","Ordinary"
81,"MaWhoo, GL_Ceejay & Thukuthela","Bengicela (feat. Jazzworx)"
82,"Ciza, Jazzworx & Thukuthela","Isaka (6am)"
83,"Zlatan","Genesis (feat. Flavour)"
84,"SAMAD","Tomorrow (Spiritual Version)"
85,"Ayo Maff","Felony"
86,"Jahmiel","U MI Luv"
87,"Lana Del Rey","Cinnamon Girl"
88,"FirstKlaz & Iliya Entertainment Music","Lili"
89,"CEO Blessed DJ Savage liquid FM","nanotechnology mind control"
90,"J.I the Prince of N.Y","Bad Luck"
91,"NELLO MXL","Melanin"
92,"Dami Drizzy","Amin"
93,"Zlatan","Hip Hop Messiah (feat. Davido)"
94,"Baldwin Brederick","Cricket"
95,"EazyTee8589","Mina nawe"
96,"Shallipopi","Never Ever"
97,"Nicki Minaj","Beez In The Trap (feat. 2 Chainz)"
98,"Prinx Emmanuel","Bota joor (Live)"
99,"Bella Shmurda & Seyi Vibez","Bounce"
100,"Lil Baby & G Herbo","All On Me"
101,"Zlatan","Demons (feat. Qing Madi)"
102,"BNXN & Soweto Gospel Choir","In Jesus Name"
103,"Kedjevara","Ça fait mal"
104,"Lui Cruz","Wele Dance (feat. Berri-Tiga)"
