
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"Tom Odell","Another Love"
2,"Icegergert & Zivert","БАНК"
3,"KATO","Turn The Lights Off (feat. Jon)"
4,"Trippie Redd & Diplo","Wish (Audiomack Trap Symphony Version)"
5,"Highasakite","Uranium Heart"
6,"Charli xcx & Caroline Polachek","Everything is romantic featuring caroline polachek"
7,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast","Golden"
8,"Taylor Swift","The Fate of Ophelia"
9,"Ваня Дмитриенко & Аня Пересильд","Силуэт (из к/ф «Алиса в Стране Чудес»)"
10,"Furacão 2000","Mimosa 2000"
11,"Jakone & Kiliana","Жиганская"
12,"Petra Marklund","Händerna Mot Himlen"
13,"SABI & MIA BOYKA","Базовый минимум"
14,"Chris Stapleton","White Horse"
15,"Albert Brite","Wild"
16,"CEO Blessed DJ Savage liquid FM","nanotechnology mind control"
17,"Olivia Dean","Man I Need"
18,"Emma Steinbakken & Synne Vo","Alle vil til himmelen"
19,"AKORGO BOYS","ДЫК КЫН ДЫШ"
20,"Shakira","Addicted to You"
21,"Disco Lines & Tinashe","No Broke Boys"
22,"RAYE","WHERE IS MY HUSBAND!"
23,"Petula Clark","Downtown"
24,"Alex Warren","Ordinary"
25,"hatikoali","GO!"
26,"Ari Bajgora","Mari&Hannah"
27,"Kid Cudi","Maui Wowie"
28,"Ida-Lova","Svagare än jag"
29,"Линочка Ли","Любить тебя"
30,"Drake","Views"
31,"Chappell Roan","Good Luck, Babe!"
32,"Nicki Minaj","Beez In The Trap (feat. 2 Chainz)"
33,"Sayfalse, Cape & Jxndro","Montagem Rugada"
34,"4 Non Blondes","What's Up?"
35,"Lady Gaga","Disease"
36,"sombr","12 to 12"
37,"Billy Idol","White Wedding, Pt. 1"
38,"Tkandz & CXSPER","Now or Never"
39,"EsDeeKid & Rico Ace","Phantom"
40,"Mr. Menace & Sir Soaked","S.I.A.S.D."
41,"sombr","back to friends"
42,"Fontaines D.C.","Starburster"
43,"Tobias Sten","Fy faen du e deili"
44,"PlaqueBoyMax, Rakai & BunnaB","TURN UP"
45,"Abraham Mateo & Ana Mena","Quiero Decirte"
46,"Anna of the North","Oslo"
47,"Johnny Hates Jazz","Turn Back the Clock"
48,"George Harrison","Beware of Darkness (2014 Remaster)"
49,"Kjartan Lauritzen, Astrid S & Hver gang vi møtes","Friskis"
50,"Monetochka","Каждый раз"
51,"EMIN & JONY","Камин"
52,"Ed Sheeran","Sapphire"
53,"Sunnatillo Do'stov","Alyonushka"
54,"ZXKAI & slxughter","NO BATIDÃO (Slowed)"
55,"Ylva","Maskulin"
56,"ELMAN","С неба (feat. TRIDA)"
57,"2hollis","poster boy"
58,"MONA","Воин и дракон (Из к/с «Ониксовый шторм»)"
59,"LoVibe.","a good man with a broken heart"
60,"Albert Brite","Я хочу каждый твой атом"
61,"Martha Argerich, Claudio Abbado & Berlin Philharmonic","Piano Concerto No. 1 in B-Flat Minor, Op. 23: II. Andantino Semplice - Prestissimo - Tempo I"
62,"Borodin Quartet","String Quartet No. 2 in D: II. Scherzo"
63,"Tyler, The Creator","Sugar On My Tongue"
64,"Philip Jones Brass Ensemble & John Eliot Gardiner","Sonata pian'e forte"
65,"Ari Bajgora","Falle og slå seg"
66,"Renée Fleming, London Philharmonic Orchestra & Charles Mackerras","Manon: Adieu, Notre Petite Table"
67,"Julia Fischer & Milana Chernyavska","Danzas Españolas, Op. 23: No. 2, Zapateado"
68,"The Utah Symphony & Maurice Abravanel","Sandpaper Ballet"
69,"brux XTN","Paid to Exist"
70,"FloyyMenor & Cris MJ","Gata Only"
71,"Lionel Richie","Stuck On You"
72,"Marianne Beate Kielland & Øyvind Aase","Op.13;  10. Det Var En Deilig Hane"
73,"Chris Holsten","Oppe på månen"
74,"Rebecca Afonwy-Jones, The Norwegian Wind Ensemble & David Hill","Messiah, HWV 56, Part I (Arr. for Wind Ensemble by Stian Aareskjold): XVIII. He Shall Feed His Flock"
75,"Ornella Vanoni","L'appuntamento"
76,"Lola Young","Messy"
77,"SKAI ISYOURGOD","Stacks from All Sides"
78,"George Michael","Careless Whisper"
79,"DYSTINCT","YAMA"
80,"Yeat","COMË N GO"
81,"GIMS","Est-ce que tu m'aimes ? (Pilule Bleue)"
82,"Enya","Caribbean Blue"
83,"gotlibgotlibgotlib","аромат"
84,"Sting","Shape Of My Heart"
85,"АлСми","Базовый минимум"
86,"The Stranglers","Golden Brown"
87,"Shannon Jae Prior","The Usual (feat. Jesse Scott)"
88,"tuborosho","shalawa"
89,"oskar med k","Make Me Feel"
90,"David Guetta","When Love Takes Over (feat. Kelly Rowland)"
91,"Martin Solveig & Good Times Ahead","Intoxicated"
92,"Icegergert & SKY RAE","Наследство"
93,"Gala","Freed From Desire"
94,"Tame Impala","Dracula"
95,"Timbaland","Give It to Me (feat. Justin Timberlake & Nelly Furtado)"
96,"Aphex Twin","Pulsewidth"
97,"Bad Bunny & JHAYCO","Dakiti"
98,"sombr","undressed"
99,"Empire Of The Sun","We Are The People"
100,"Mary J. Blige","Family Affair"
101,"Lady Gaga","The Dead Dance"
102,"Blestyashchie","Там, только там (Mr.pinky & Mafu Remix)"
103,"Tate McRae","Just Keep Watching (From F1® The Movie)"
104,"Cameron Whitcomb","Medusa"
105,"Benson Boone","Mystical Magical"
106,"Easykid","Shiny"
107,"David Guetta, Teddy Swims & Tones And I","Gone Gone Gone"
108,"Caamp","All the Debts I Owe"
109,"Gorod 312","Фонари"
110,"The Weeknd","Save Your Tears"
111,"Olivia Dean","So Easy (To Fall In Love)"
112,"Teddy Swims","Bad Dreams"
113,"Sabrina Carpenter","Manchild"
114,"Tobias Sten & Synne Vo","Ingen her e deg"
115,"The Police","Every Breath You Take"
116,"MOLIY, Silent Addy, Skillibeng & Shenseea","Shake It To The Max (FLY) [Remix]"
117,"Limp Bizkit","Behind Blue Eyes"
118,"Sean Paul & Keyshia Cole","(When You Gonna) Give It Up to Me (Radio Version)"
119,"Бонд с кнопкой","Сидр"
120,"Andromeda & elysian.","MONTAGEM COMA"
121,"Ruben","Du lyg"
122,"Joji","PIXELATED KISSES"
123,"SKAAR","Higher Ground"
124,"Ваня Дмитриенко","Шёлк"
125,"Tiësto","I Follow Rivers (feat. Oaks)"
126,"Ed Sheeran","Camera"
127,"panicbaby","Claw Marks"
128,"Coolzone","Nasty Jamz"
129,"Erika","I Don't Know"
130,"Ravyn Lenae","Love Me Not"
131,"Zemfira","П.М.М.Л."
132,"Sabrina Carpenter","Tears"
133,"Gigi D'Agostino","L'amour Toujours"
134,"C+C Music Factory","Gonna Make You Sweat (Everybody Dance Now) [feat. Freedom Williams]"
135,"Ara Martirosyan","Карусели"
136,"Disturbed","The Sound of Silence"
137,"Chris Grey","LET THE WORLD BURN"
138,"Harry Styles","Sign of the Times"
139,"Morgan Wallen","Love Somebody"
140,"Christina Aguilera, Lil' Kim, Mýa & P!nk","Lady Marmalade"
141,"Journey","Don't Stop Believin'"
142,"dj Samir, DJ Zarek, DJ DUDA & LUNxdiE","Lua na Praça (Slowed)"
143,"Die Antwoord","Pitbull Terrier"
144,"Lana Del Rey","Cinnamon Girl"
145,"Abu Ali","Al Qawlu Qawlu Swarim"
146,"Highasakite","Mother"
147,"Chris Grey, G-Eazy & Ari Abdul","LET THE WORLD BURN (Remix)"
148,"Lady Gaga","Abracadabra"
149,"GIVĒON","Dancing in the Smoke (From the Netflix Series "Nobody Wants This" Season 2)"
150,"D'Angelo","Brown Sugar"
151,"The Weeknd & Anitta","São Paulo"
152,"ROSÉ & Bruno Mars","APT."
153,"Lewis Capaldi","Survive"
154,"Phil Collins","In the Air Tonight"
155,"The Goo Goo Dolls","Iris"
156,"Chicago","You're the Inspiration"
157,"RSP & Thomax","Brøytebil"
158,"INSTASAMKA","AGENT GIRL"
159,"Dermot Kennedy","Melodies (From the Netflix Series "Nobody Wants This" Season 2)"
160,"Kim","Confidence"
161,"Pitbull","Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)"
162,"Naza & SDM","Tout donner"
163,"BLOW RECORDS & Mc Jhey","Predador de Perereca"
164,"The Cranberries","Dreams"
165,"Santigold","Disparate Youth"
166,"50 Cent","In da Club"
167,"Mick Jagger","Strange Game (From The ATV+ Original Series "Slow Horses”)"
168,"Olga Myko","use me!!!!!!!"
169,"Ingrid Jasmin","REINLENDER 4 MY X"
170,"Ed Sheeran","Azizam"
171,"Fred again.., Skepta & PlaqueBoyMax","Victory Lap"
172,"Nirvana","Smells Like Teen Spirit"
173,"Alannah Myles","Black Velvet"
174,"Timbaland, Keri Hilson & D.O.E.","The Way I Are"
175,"Vanco","Ma Tnsani (Yalla Habibi) [feat. AYA]"
176,"Bon Jovi","Livin' On A Prayer"
177,"Debbie","All Night Long"
178,"MA:RK","That's Where I Should Be (Extended)"
179,"Calvin Harris & Clementine Douglas","Blessings"
180,"Enigma","Sadeness"
181,"Benson Boone","Beautiful Things"
182,"Ozoda","Ko'k Jiguli"
183,"Mazzy Star","Fade into You"
184,"Semicenk","Sen Kaldın"
185,"Lord Huron","The Night We Met"
186,"Gotye","Somebody That I Used to Know (feat. Kimbra)"
187,"Inna","Caliente (Radio Edit)"
188,"Disturbed","The Sound of Silence (CYRIL Remix)"
189,"Dan Korshunov & Кэнни","Сколько их было"
190,"Yes","Owner of a Lonely Heart"
191,"Scorpions","Wind of Change"
192,"Her Words Kill","Sir This Is A Cutthroat Fashion"
193,"Teddy Swims","Lose Control"
194,"Coucheron, Stig Brenner & Arif Murakami","Galopp (feat. May)"
195,"Breaking Rust","Livin' On Borrowed Time"
196,"Black Eyed Peas & Shakira","GIRL LIKE ME"
197,"Tom Robinson Band","2-4-6-8 Motorway"
198,"Róisín Murphy","Ramalama (Bang Bang)"
199,"Chris Isaak","Wicked Game"
200,"Rammstein","Sonne"
