
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"Oasis","Stop Crying Your Heart Out"
2,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast","Golden"
3,"Jere Klein, Katteyes & Mateo on the Beatz","TODO KE VER"
4,"Abraham Mateo & Ana Mena","Quiero Decirte"
5,"Trippie Redd & Diplo","Wish (Audiomack Trap Symphony Version)"
6,"Rels B","TU VAS SIN (fav)"
7,"Young Cister & Kreamly","QLOO*"
8,"El Bogueto & Yung Beef","Cuando No Era Cantante"
9,"Los Caligaris","Kilómetros"
10,"Kybba, Sean Paul, Ryan Castro & Busy Signal","Ba Ba Bad Remix"
11,"Taylor Swift","The Fate of Ophelia"
12,"4 Non Blondes","What's Up?"
13,"Blessd, Anuel AA, Kris R. & Luar La L","YOGURCITO REMIX (feat. ROA, Yan Block)"
14,"Mikel Erentxun","A Un Minuto de Ti"
15,"Easykid","Shiny"
16,"FLVCKKA, Sleezy O & Maury","Hotel Room"
17,"sombr","back to friends"
18,"Charli xcx & Caroline Polachek","Everything is romantic featuring caroline polachek"
19,"Danny Ocean","Corazón"
20,"The Police","Every Breath You Take"
21,"W Sound, Beéle & Ovy On the Drums","La Plena (W Sound 05)"
22,"EMIN & JONY","Камин"
23,"Tyler, The Creator","Sugar On My Tongue"
24,"Corazón Serrano & Dilbert Aguilar Y Su Orquesta La Tribu","No te preocupes por mí"
25,"La Bella Luz","Mix Chelero (El Chelero/En Dónde Estás Amor/En una Esquina Cuando Yo Cantaba)"
26,"La Critica & Oscar D'León","Pregones De San Cristóbal"
27,"Singer's Best","Creep (Karaoke Version Originally Performed by Radiohead)"
28,"Keane","Somewhere Only We Know"
29,"Radiohead","Creep"
30,"Beéle","no tiene sentido"
31,"Tim Sanders","Do To Me"
32,"George Michael","Careless Whisper"
33,"Daryl Hall & John Oates","Maneater"
34,"cjnobeat, MC Morena & MC GW","Até Quebrar a Cama 2.0"
35,"Ovy On the Drums, Quevedo & Beéle","YO y TÚ"
36,"Beéle","top diesel"
37,"KAROL G","LATINA FOREVA"
38,"Alex Warren","Ordinary"
39,"MC Tairon & Mc Vitin Da Igrejinha","Baile no Morro (Mixed)"
40,"The Hollies","Long Cool Woman (In a Black Dress)"
41,"Global Afro","YA NI SU NOMBRE ME SÉ (Private AfroHouse)"
42,"Fresto","Me Hace Daño Verte"
43,"Nicki Minaj","Beez In The Trap (feat. 2 Chainz)"
44,"Foreigner","I Want To Know What Love Is (Remastered)"
45,"Alleh & Yorghaki","capaz (merengueton)"
46,"Pitbull","Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)"
47,"Creedence Clearwater Revival","Have You Ever Seen The Rain"
48,"The Goo Goo Dolls","Iris"
49,"ZXKAI & slxughter","NO BATIDÃO (Slowed)"
50,"Laura Branigan","Self Control"
51,"Fuerza Regida & Grupo Frontera","COQUETA"
52,"New West","Those Eyes"
53,"America Pop","Vuela Mariposa"
54,"MXZI, dj Samir & DJ Javi26","Montagem Xonada"
55,"Starship","Nothing's Gonna Stop Us Now"
56,"Greg Kihn Band","The Breakup Song (They Don't Write 'Em)"
57,"Marc Segui, Rauw Alejandro & Pol Granch","Tiroteo (Remix)"
58,"Beéle","si te pillara"
59,"Bad Bunny","EoO"
60,"Men At Work","Down Under"
61,"Alex Gargolas & RKM & Ken-Y","Un Sueño"
62,"yovngmanota, Hades66, TORRRES & Remers","Días Grises 3.0 (feat. Tutu & Mvchoo23) [Remix]"
63,"Boza & ELENA ROSE","Orion"
64,"KAROL G & Marco Antonio Solís","Coleccionando Heridas"
65,"DJ Peligro","Perreolandia, Vol 1"
66,"Alemán & Neton Vega","Te Quería Ver"
67,"Lady Gaga","The Dead Dance"
68,"Billie Eilish","BIRDS OF A FEATHER"
69,"LINKIN PARK","The Emptiness Machine"
70,"a-ha","Take On Me"
71,"Pink Floyd","Another Brick In the Wall, Pt. 1"
72,"Beéle & Ovy On the Drums","Mi Refe"
73,"Benson Boone","Beautiful Things"
74,"Sebastián Yatra, Lucho RK, Belinda & Gente de Zona","CANCIÓN PARA REGRESAR"
75,"Tate McRae","you broke me first"
76,"FloyyMenor & Cris MJ","Gata Only"
77,"Lord Huron","The Night We Met"
78,"Camela","¿Qué Tiene Ella Que No Tenga Yo?"
