
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"BLOW RECORDS & Mc Jhey","Predador de Perereca"
2,"Taylor Swift","Opalite"
3,"JISOO & ZAYN","EYES CLOSED"
4,"Kid Cudi","Maui Wowie"
5,"Jong Ho","Just like the first time"
6,"ATEEZ","To be your light (JONGHO)"
7,"La Mave & Nateman","Dominga"
8,"Olivia Dean","Man I Need"
9,"LOONIE","Palaisipan (feat. Arthur Nery)"
10,"Furacão 2000","Mimosa 2000"
11,"Olivia Dean","So Easy (To Fall In Love)"
12,"PlaqueBoyMax, Rakai & BunnaB","TURN UP"
13,"Taylor Swift","The Fate of Ophelia"
14,"Easykid","Shiny"
15,"Mark Beats","POUGIE (feat. Paul N Ballin, GA Chillerong Ghetto & CHOLOW)"
16,"Dreycruz & Bert Symoun","Wag Ipagsabi"
17,"Charli xcx & Caroline Polachek","Everything is romantic featuring caroline polachek"
18,"Uncle Dags","Dugkat (feat. Gat Putch)"
19,"sombr","back to friends"
20,"Kehlani","Folded"
21,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast","Golden"
22,"Cup of Joe","Multo"
23,"PARTYNEXTDOOR & Drake","Come and See Me"
24,"Madison Beer","bittersweet"
25,"Dynamicduo & DJ Premier","Aeao"
26,"Trippie Redd & Diplo","Wish (Audiomack Trap Symphony Version)"
27,"Her Words Kill","Sir This Is A Cutthroat Fashion"
28,"La Mave","Vibrate"
29,"Mary J. Blige","Family Affair"
30,"Le John","Naiilang"
31,"Radiohead","Let Down"
32,"Kanye West","God Is"
33,"Loco & Punch","Say Yes"
34,"Jong Ho","Wind (Inst.)"
35,"Léo Santana & Melody","Desliza ("Ólhinho" No Corpinho) [Ao Vivo]"
36,"Gigi Perez","Sailor Song"
37,"EMIN & JONY","Камин"
38,"Calum Scott","Die For You"
39,"SB19","DAM"
40,"SB19","Time"
41,"Nicki Minaj","Beez In The Trap (feat. 2 Chainz)"
42,"ATEEZ","Everything (JONGHO)"
43,"Tyler, The Creator","Sugar On My Tongue"
44,"Jong Ho","A Day"
45,"Cup of Joe","Pahina"
46,"SKAI ISYOURGOD","Stacks from All Sides"
47,"Kwon Soon Kwan","Our Memories (with JONGHO) [Inst.]"
48,"SB19","DUNGKA!"
49,"SB19","Quit"
50,"December Avenue","Saksi Ang Langit"
51,"Alex Warren","Ordinary"
52,"Maki","kahel na langit"
53,"nicole","Panaginip"
54,"SB19","Shooting for the Stars"
55,"MXZI, dj Samir & DJ Javi26","Montagem Xonada"
56,"Sabrina Carpenter","When Did You Get Hot?"
57,"Oranje Space","Shiny Penny"
58,"Sean Kingston","Beat It (feat. Chris Brown & Wiz Khalifa)"
59,"Justin Bieber","DAISIES"
60,"Sarah Geronimo & SB19","Umaaligid"
61,"Die Antwoord","Pitbull Terrier"
62,"Jong Ho","A Fairy Tale of Youth(Inst.)"
63,"Arthur Nery","Di Nakakasawa (feat. Kiyo)"
64,"Jong Ho","GRAVITY"
65,"Ravyn Lenae","Love Me Not"
66,"SB19","8TonBall"
67,"Gordinho Bolado","Vai no Pal Vem no Pal"
68,"4 Non Blondes","What's Up?"
69,"Wale","Bad (Remix) [feat. Rihanna]"
70,"Sabrina Carpenter","Tears"
71,"RAYE","WHERE IS MY HUSBAND!"
72,"Sayfalse, Cape & Jxndro","Montagem Rugada"
73,"Olivia Dean","A Couple Minutes"
74,"DJ Guuga & MC Livinho","Vidrado Em Você"
75,"IV OF SPADES","Aura"
76,"DJ Snake","Let Me Love You (feat. Justin Bieber)"
77,"Sabrina Carpenter","Manchild"
78,"Disco Lines & Tinashe","No Broke Boys"
79,"RAPROJECT SIX","Eyes Can't Lie"
80,"Taylor Swift","Wi$h Li$t"
81,"Chris Brown X Tyga","Girl You Loud"
82,"KATSEYE","Gabriela"
83,"BIBI","Scott and Zelda"
84,"Napa","Deslocado"
85,"Kim","Confidence"
86,"Angelo Badalamenti","Laura Palmer's Theme"
87,"Malcolm Todd","Sweet Boy"
88,"Over October","Ikot"
89,"Chris Brown","It Depends (feat. Bryson Tiller)"
90,"Coldplay","Sparks"
91,"Sica & Jim P","Sana Tumawag (feat. Uncle Dags)"
92,"JUNNY","INVITATION (feat. Gaeko)"
93,"Bellefire","I'll Never Get Over You Getting Over Me"
94,"Anne-Marie","DEPRESSED"
95,"$uicideboy$","...And to Those I Love, Thanks for Sticking Around"
96,"The Marías","No One Noticed"
97,"Lizzy McAlpine","Staying"
98,"fitterkarma","Kalapastangan"
99,"Nateman","IMMA FLIRT (feat. Lucky)"
100,"George Baker Selection","Paloma Blanca"
101,"GIVĒON","Dancing in the Smoke (From the Netflix Series "Nobody Wants This" Season 2)"
102,"Restless Heart","When She Cries"
103,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, Kevin Woo, samUIL Lee & KPop Demon Hunters Cast","Soda Pop"
104,"Soapdish","Tensionado"
105,"Industry","State of the Nation"
106,"Tate McRae","Just Keep Watching (From F1® The Movie)"
107,"sombr","undressed"
108,"FloyyMenor & Cris MJ","Gata Only"
109,"Jack Stauber","Oh Klahoma"
110,"2hollis","poster boy"
111,"Tkandz & CXSPER","Now or Never"
112,"Carla Morrison","Valentina"
113,"CORTIS","GO!"
114,"The Goo Goo Dolls","Iris"
115,"Good Neighbours","Home"
116,"Charli xcx","party 4 u"
117,"Stell","‘Di Ko Masabi"
118,"Miley Cyrus","Adore You"
119,"Kendrick Lamar, SZA","All The Stars"
120,"Keyshia Cole","Love"
121,"Benson Boone","Beautiful Things"
122,"The 1975","About You"
123,"Gordinho Bolado & felipe original","Eu Tô Fazendo uma Mágica"
124,"Earl Agustin","Tibok"
125,"yung kai","blue"
126,"Ariana Grande","twilight zone"
127,"Hale","Blue Sky"
128,"fitterkarma","Pag-Ibig ay Kanibalismo II"
129,"Pitbull & Ne-Yo","Time of Our Lives"
130,"Lord Huron","The Night We Met"
131,"Meek Mill","All Eyes On You (feat. Chris Brown & Nicki Minaj)"
132,"El Manu","Hindi Ako Mawawala (Stripped)"
133,"Sabrina Carpenter","Nobody’s Son"
134,"Kendrick Lamar & SZA","luther"
135,"VEDO","Fine Shyt"
136,"Green Day","Last Night On Earth"
137,"Noah Kahan","You’re Gonna Go Far"
138,"TWICE","THIS IS FOR"
139,"REO Speedwagon","In My Dreams"
140,"Ariana Grande","we can't be friends (wait for your love)"
141,"Chappell Roan","The Subway"
142,"Dibyo","NO DOUBT"
143,"Adam Levine","Lost Stars"
144,"Zelle","Sabihin"
145,"Ed Sheeran","Sapphire"
146,"Chris Brown","Residuals"
147,"Cloonee, Young M.A & InntRaw","Stephanie"
148,"Chappell Roan","Good Luck, Babe!"
149,"HELLMERRY","Gangsta Baby (feat. Baby G)"
150,"Pierce the Veil","So Far So Fake"
151,"Billie Eilish","BIRDS OF A FEATHER"
152,"YDEN","Ngalan Mo"
153,"SB19 & Aruma","MAPA (Indonesian Ver.)"
154,"Daniel Caesar","Always"
155,"Phoebe Bridgers","Scott Street"
156,"EKKSTACY","i walk this earth all by myself"
157,"Cynthia Erivo","Defying Gravity (feat. Ariana Grande)"
158,"CHRYSTAL & NOTION","The Days (NOTION Remix)"
159,"Maroon 5","Wait"
160,"Ryan.B & Effie","No Reason"
161,"Taylor Swift","Sweet Nothing"
162,"Taylor Swift","Wood"
163,"M83","Outro"
164,"Sisqó","Incomplete"
