
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"Fukaj & Vito Bambino","Zabiore Cię Tam"
2,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast","Golden"
3,"MIÜ, Zalia, Leon Krześniak & Koder","dopóki się nie znüdzisz"
4,"Oskar Cyms","Zabierz mnie"
5,"IGO","Bruce"
6,"Taylor Swift","The Fate of Ophelia"
7,"sombr","12 to 12"
8,"pszona","ZŁY"
9,"Calvin Harris & Jessie Reyez","Ocean"
10,"Damiano David, Tyla & Nile Rodgers","Talk to Me (feat. Tyla, Nile Rodgers)"
11,"UNKLFNKL & Katarina","Maybe I Just Have Anxiety"
12,"BLACKPINK","JUMP"
13,"Musicairecords","Riki Tiki"
14,"Dawid Podsiadło, Kaśka Sochacka & ZORZA","w kilometrach"
15,"Lady Gaga","How Bad Do U Want Me"
16,"Musicairecords","Mam wywalone 2"
17,"David Guetta, Teddy Swims & Tones And I","Gone Gone Gone"
18,"Joel Corry & Abi Flynn","Phases"
19,"Olivia Dean","Man I Need"
20,"Disco Lines & Tinashe","No Broke Boys"
21,"Shouse","Only You"
22,"Swedish House Mafia","Wait So Long (Why Do I Have To) [REMIND Remix]"
23,"Kacperczyk & Daria Zawiałow","GDZIE TRAFIA MIŁOŚĆ, GDY UMIERA"
24,"Rudimental & Khalid","All I Know"
25,"Tyler, The Creator","Sugar On My Tongue"
26,"brux XTN","Paid to Exist"
27,"Trippie Redd & Diplo","Wish (Audiomack Trap Symphony Version)"
28,"Albert Brite","Wild"
29,"Lady Gaga","The Dead Dance"
30,"Charli xcx & Caroline Polachek","Everything is romantic featuring caroline polachek"
31,"RAYE","WHERE IS MY HUSBAND!"
32,"KATSEYE","Gabriela"
33,"R3HAB","All My Life"
34,"Abraham Mateo & Ana Mena","Quiero Decirte"
35,"oskar med k","Make Me Feel"
36,"Lanberry","proszę pana"
37,"Furacão 2000","Mimosa 2000"
38,"IAmChino, Pitbull & Flo Rida","Borracho Y Loco"
39,"Kuba i Kuba & EMO","Więcej nas"
40,"Miro Kepinski & Krzysztof Zalewski","Szklana Góra"
41,"LATWOGANG","Azizam (feat. Ed Sheeran)"
42,"Dawid Kwiatkowski","Dalej, Dalej! (Chopin, Chopin!)"
43,"Krzysztof Zalewski","Miłość Miłość"
44,"Kinny Zimmer & Kaptur","JESZCZE RAZ"
45,"KATO","Turn The Lights Off (feat. Jon)"
46,"James Hype","Waterfalls (feat. Sam Harper & Bobby Harvey)"
47,"Alex Warren","Eternity"
48,"Leo Walt","Black Beatles"
49,"Kid Cudi","Maui Wowie"
50,"Hypaton, Norma Jean Martine & Henri PFR","Outta My Head"
51,"Roxie","Błękit"
52,"Maesic, Marshall Jefferson & Salomé Das","Life Is Simple (Move Your Body)"
53,"Chappell Roan","Good Luck, Babe!"
54,"Tate McRae","Just Keep Watching (From F1® The Movie)"
55,"Pezet, Mata & Kaz Bałagane","Plan B"
56,"PRO8L3M, Anita Lipnicka & Luxon","Nie bój się bać"
57,"Tkandz & CXSPER","Now or Never"
58,"Sobel & francis","CAŁE LATO"
59,"Alex Warren","Ordinary"
60,"Mosimann & Tribbs","Halo"
61,"KAROL G","Si Antes Te Hubiera Conocido"
62,"Nicki Minaj","Beez In The Trap (feat. 2 Chainz)"
63,"Chada","Żyć aż do bólu"
64,"Billie Eilish","when the party's over"
65,"SABI & MIA BOYKA","Базовый минимум"
66,"4 Non Blondes","What's Up?"
67,"Teddy Swims","Bad Dreams"
68,"Akcent, SERA & Misha Miller","Don't Leave (Kylie)"
69,"Kuban, FAVST & Zalia","kyoto"
70,"Lost Frequencies, Argy & rhys from the sticks","Summer Skies"
71,"Mata, Skolim & Khaid","KAMIKAZE"
72,"BL3SS & Gravagerz","Afters"
73,"CEO Blessed DJ Savage liquid FM","nanotechnology mind control"
74,"Armin van Buuren & SACHA","Set Me Free"
75,"Maciej Skiba","Chcę Ciebie częściej"
76,"EMIN & JONY","Камин"
77,"Mrozu & Zalia","Odpowiedni moment"
78,"The Goo Goo Dolls","Iris"
79,"Kaśka Sochacka","Szum"
80,"Icegergert & Zivert","БАНК"
81,"Wiktoria Kida & Księga Żywiołów","Po blady świt"
82,"Ваня Дмитриенко & Аня Пересильд","Силуэт (из к/ф «Алиса в Стране Чудес»)"
83,"Avi, clearmind & FANTØM","Miłość"
84,"PRO8L3M & Vito Bambino","Ritz Carlton (Remix)"
85,"Sabrina Carpenter","Tears"
86,"Shakira","Addicted to You"
87,"Pradawne Dźwięki","Prowadź Mnie Orle"
88,"MiłyPan","Zapomnieć"
89,"Sayfalse, Cape & Jxndro","Montagem Rugada"
90,"Bonnie Tyler","Total Eclipse of the Heart"
91,"sombr","undressed"
92,"Vito Bambino","dwadziescia"
93,"Azteck, Pitbull & Gabry Ponte","Pretty Woman (All Around The World)"
94,"George Michael","Careless Whisper"
95,"AKORGO BOYS","ДЫК КЫН ДЫШ"
96,"Lola Young","Messy"
97,"Fontaines D.C.","Starburster"
98,"EBEN","Hurts"
99,"PlaqueBoyMax, Rakai & BunnaB","TURN UP"
100,"EsDeeKid & Rico Ace","Phantom"
101,"Albert Brite","Я хочу каждый твой атом"
102,"Ely Oaks","Breakin' Dishes"
103,"Sorry Boys","Absolutnie, absolutnie"
104,"Damien Rice","9 Crimes"
105,"Marshmello, Ellie Goulding & AVAION","Save My Love"
106,"AFROJACK, Martin Garrix, David Guetta & Amél","Our Time"
107,"Friendz & Łobuzy","Jak Ta LALA"
108,"Pezet & Auer","Dom Nad Wodą"
109,"Erika","I Don't Know"
110,"Calvin Harris & Clementine Douglas","Blessings"
111,"Armin van Buuren","In and Out of Love (feat. Sharon den Adel)"
112,"Tame Impala","Dracula"
113,"Sean Paul & Keyshia Cole","(When You Gonna) Give It Up to Me (Radio Version)"
114,"Billie Eilish","BIRDS OF A FEATHER"
115,"Ely Oaks & LAVINIA","I Wanna Go"
116,"Gigi D'Agostino","L'amour Toujours"
117,"Tate McRae","TIT FOR TAT"
118,"Musicairecords","Mam wywalone"
119,"Carla Fernandes","Co, jeśli?"
120,"Trinix & Mariana Froes","Vaitimbora"
121,"Enrique Iglesias, Pitbull & IAmChino","Tamo Bien"
122,"Teddy Swims","Lose Control"
123,"sombr","back to friends"
124,"Disturbed","The Sound of Silence (CYRIL Remix)"
125,"The Righteous Brothers","Unchained Melody"
126,"The Stranglers","Golden Brown"
127,"Mareux","The Perfect Girl"
128,"panicbaby","Claw Marks"
129,"Empire Of The Sun","We Are The People"
130,"Ronnie Ferrari & MiłyPan","Przez cały wieczór"
131,"Yes","Owner of a Lonely Heart"
132,"Gotye","Somebody That I Used to Know (feat. Kimbra)"
133,"LoVibe.","a good man with a broken heart"
134,"P!nk","U + Ur Hand"
135,"2hollis","poster boy"
136,"MK","Dior (feat. Chrystal)"
137,"Timbaland","Give It to Me (feat. Justin Timberlake & Nelly Furtado)"
138,"Tate McRae","you broke me first"
139,"CYRIL","Stumblin' In"
140,"ZXKAI & slxughter","NO BATIDÃO (Slowed)"
141,"Enlly Blue","Through My Soul"
142,"Mary J. Blige","Family Affair"
143,"Roxie","Codzienność (Pamiętaj Nas)"
144,"Maryla Rodowicz & Krzysztof Zalewski","Remedium (Wsiąść do pociągu)"
145,"Timbaland, Keri Hilson & D.O.E.","The Way I Are"
146,"Dawid Podsiadło, Kaśka Sochacka & ZORZA","samoloty"
147,"Jakone & Kiliana","Жиганская"
148,"Gloria Gaynor","I Will Survive"
149,"The Police","Every Breath You Take"
150,"New Order","Blue Monday"
151,"Jax Jones","Breathe (feat. Ina Wroldsen)"
152,"Damiano David","Zombie Lady"
153,"Yeat","COMË N GO"
154,"Ed Sheeran","Azizam"
155,"George Harrison","Beware of Darkness (2014 Remaster)"
156,"Santigold","Disparate Youth"
157,"David Guetta & Sia","Beautiful People"
158,"FloyyMenor & Cris MJ","Gata Only"
159,"Paul McCartney & Wings","Live And Let Die"
160,"Tiko Tiko","Against All Odds"
161,"Alan Walker & MEEK","Dancing in Love"
162,"Silent Circle","Touch in the Night"
163,"Portishead","Roads"
164,"Kokabana","CIEMNOŚĆ"
165,"Iggy Pop","The Passenger"
166,"Ghost Rider","Make Us Stronger"
167,"Kuban, Mrozu & FAVST","zanim spadnie deszcz"
168,"Sarius & Gibbs","NajsHajs (feat. Rogal DDL)"
169,"Michael Patrick Kelly","Wildflower"
170,"Morandi","Save Me (feat. Helene)"
171,"SKAI ISYOURGOD","Stacks from All Sides"
172,"PJ Robi","Piosenka z tamtych lat"
173,"Ziggy in tha House","It's Raining"
174,"Martin Solveig & Good Times Ahead","Intoxicated"
175,"Duke Dumont","Ocean Drive"
176,"Gorillaz","Feel Good Inc"
177,"Pitbull","Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)"
178,"Manu Chao","Me Gustas Tú"
179,"MOLIY, Silent Addy, Skillibeng & Shenseea","Shake It To The Max (FLY) [Remix]"
180,"Laback & Andon","Another Day in Paradise"
181,"Mazzy Star","Fade into You"
182,"Daan'd","Mira Mira"
183,"Everything But the Girl & Todd Terry","Missing (Todd Terry Club Mix)"
184,"ROSÉ & Bruno Mars","APT."
185,"Kaeyra","Keep Dreaming"
186,"Miley Cyrus","Secrets (feat. Lindsey Buckingham & Mick Fleetwood)"
187,"Bungee","FIKU MIKU"
188,"Sting","Shape Of My Heart"
189,"Depeche Mode","Enjoy the Silence"
190,"Nooréboy","Wsadziłem głowę między uda"
191,"Benson Boone","Beautiful Things"
192,"Zalia","my"
193,"Myles Smith","Stay (If You Wanna Dance)"
194,"Ravyn Lenae","Love Me Not"
195,"Coolzone","Nasty Jamz"
196,"Shannon Jae Prior","The Usual (feat. Jesse Scott)"
197,"Savage","Don't Cry Tonight"
198,"Robert Miles","Children"
199,"CHRYSTAL & NOTION","The Days (NOTION Remix)"
200,"Rammstein","Sonne"
