
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"DJ Japa NK, MC Meno K, MC Ryan SP & Mc Jacaré","Posso Até Não Te Dar Flores (feat. DJ DAVI DOGDOG)"
2,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast","Golden"
3,"Taylor Swift","The Fate of Ophelia"
4,"Descendentes","Carta de Despedida"
5,"PEDRO SAMPAIO, Mc Gw, Mc Jhey & MC Rodrigo do CN","SEQUÊNCIA FEITICEIRA (feat. MC Nito)"
6,"Vizinhos","Pobre Ex-Namorado"
7,"sombr","back to friends"
8,"Beéle","no tiene sentido"
9,"ÁTOA, Luís Trigacheiro & Buba Espinho","Tu na Tua"
10,"Paulo Gonzo","Quem de Nós Dois (feat. Ana Carolina)"
11,"Morgan Wallen & Tate McRae","What I Want"
12,"Abraham Mateo & Ana Mena","Quiero Decirte"
13,"Damiano David","The First Time"
14,"Trinix & Mariana Froes","Vaitimbora"
15,"Nuno Ribeiro","Amor Limbo (feat. Bluay)"
16,"Olivia Dean","Man I Need"
17,"Alex Warren","Eternity"
18,"Alex Warren","Ordinary"
19,"Vizinhos","Casar É pra Esquecer"
20,"Lady Gaga","The Dead Dance"
21,"Disco Lines & Tinashe","No Broke Boys"
22,"Vizinhos","Pôr do Sol"
23,"Aragão & Mariana Pereira","Amor de Agosto"
24,"Damiano David, Tyla & Nile Rodgers","Talk to Me (feat. Tyla, Nile Rodgers)"
25,"Lewis Capaldi","Something In The Heavens"
26,"oskar med k","Make Me Feel"
27,"Lewis Capaldi","Survive"
28,"THEUZZIN, Mn de Niteroi, 2L Motta & DJ MK De Niterói","BOA NOITE POVO (REMIX)"
29,"D.A.M.A","Terra da Maria"
30,"Gigi Perez","Sailor Song"
31,"Pedro Abrunhosa & Sara Correia","Que O Amor Te Salve Nesta Noite Escura (Ao Vivo)"
32,"Noble","Call You Again"
33,"W Sound, Beéle & Ovy On the Drums","La Plena (W Sound 05)"
34,"Radiohead","Karma Police"
35,"Lola Young","Messy"
36,"Calema & Dilsinho","Leva Tudo"
37,"Felipe Amorim, Vitão, BIN & Malibu","Eu Vou na Sua Casa"
38,"Jonas Blue & Malive","Edge of Desire"
39,"Calvin Harris & Clementine Douglas","Blessings"
40,"EMIN & JONY","Камин"
41,"KAROL G","Si Antes Te Hubiera Conocido"
42,"Trippie Redd & Diplo","Wish (Audiomack Trap Symphony Version)"
43,"DJ Malvado & DJ Aka-m","Mussulo (feat. Dody)"
44,"Diogo Piçarra & Bandidos do Cante","Tu e Eu"
45,"Charli xcx & Caroline Polachek","Everything is romantic featuring caroline polachek"
46,"Damiano David","Next Summer"
47,"Ed Sheeran","A Little More"
48,"IZA","Doce Feito Caramelo"
49,"Teddy Swims","God Went Crazy"
50,"Calema & Sara Correia","Respirar"
51,"Myles Smith","Gold"
52,"Dean Lewis","With You"
53,"Deejay Telio & Wet Bed Gang","Álcool & Prazer"
54,"MC Petite Abelha","Falsa Tuga"
55,"Mark Ronson & RAYE","Suzanne"
56,"Benson Boone","Beautiful Things"
57,"Mc GP, Mc Lele JP, DJ DAVI DOGDOG & Dj Andrabeat","ME POSTOU NO DAILY - FESTA DO BIG G"
58,"Márcia & Jorge Palma","Um Passo ao Lado"
59,"TRIANGLE DES BERMUDES","Charger (feat. MC YOSHI, Mauvais djo & Kokosvoice)"
60,"David Guetta & Sia","Beautiful People"
61,"Calema","Amar Pela Metade"
62,"Naza & SDM","Tout donner"
63,"Bad Bunny","NUEVAYoL"
64,"Tkandz & CXSPER","Now or Never"
65,"Os Quatro e Meia","Tiques de Rico (feat. Miguel Araújo)"
66,"KATSEYE","Gabriela"
67,"Oh Wonder","All We Do"
68,"Furacão 2000","Mimosa 2000"
69,"Papillon","¡ +1 !"
70,"Napa","Deslocado"
71,"Luís Trigacheiro & Diogo Piçarra","Porta 43"
72,"Thukuthela, GL_Ceejay, JAZZWRLD & Makhadzi Entertainment","uMoya"
73,"CEO Blessed DJ Savage liquid FM","nanotechnology mind control"
74,"Nicky Jam & Beéle","Hiekka"
75,"Tom Odell","Another Love"
76,"Veigh","Talvez você precise de mim"
77,"HUGEL, Topic & Arash","I Adore You (feat. Daecolm)"
78,"7AL3M","Deixa-me Ir"
79,"Zé Felipe & Ana Castela","Sua Boca Mente (You're Still The One)"
80,"B. Mathey","Se for Falar De Mim"
81,"YeezYuri","teletubbies (feat. Wet Bed Gang)"
82,"Irina Barros","TU E A LUA"
83,"Teddy Swims","The Door"
84,"4 Non Blondes","What's Up?"
85,"Gusttavo Lima & Luis Fonsi","Vagabundo"
86,"Brandi Carlile","The Story"
87,"Olivia Dean","So Easy (To Fall In Love)"
88,"Fontaines D.C.","Starburster"
89,"Alleh & Yorghaki","capaz (merengueton)"
90,"cjnobeat, MC Morena & MC GW","Até Quebrar a Cama 2.0"
91,"Benson Boone","Sorry I'm Here For Someone Else"
92,"RAYE","WHERE IS MY HUSBAND!"
93,"Teddy Swims","Bad Dreams"
94,"Coldplay, Little Simz, Burna Boy, Elyanna & TINI","WE PRAY"
95,"Keith Jarrett","24 Preludes and Fugues, Op. 87: No. 4 in E Minor"
96,"Franz Ferdinand","Take Me Out"
97,"Chappell Roan","Pink Pony Club"
98,"Nilo, Mc Paiva ZS & DJ Di Marques","Fui Mlk (feat. FamousKyo)"
99,"Sam Smith","Writing's On the Wall"
100,"Daniela Soares","Juro que te vi"
101,"Chappell Roan","Good Luck, Babe!"
102,"Patymusicpxo","Entre o Çeú e o Chão"
103,"Tyler, The Creator","Sugar On My Tongue"
104,"Kodaline","All I Want"
105,"Billie Eilish","BIRDS OF A FEATHER"
106,"Debbie","All Night Long"
107,"Bad Bunny","DtMF"
108,"Os Quatro e Meia","Meu Amor, Dorme Bem"
109,"Phoenix Rdc","Vencedor"
110,"Teddy Swims","Guilty"
111,"Tate McRae","Just Keep Watching (From F1® The Movie)"
112,"Gracie Abrams","That’s So True"
113,"Black Eyed Peas & Shakira","GIRL LIKE ME"
114,"WizTheMc & bees & honey","Show Me Love"
115,"BLOW RECORDS & Mc Jhey","Predador de Perereca"
116,"Teddy Swims","Lose Control"
117,"FloyyMenor & Cris MJ","Gata Only"
