
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"brux XTN","Paid to Exist"
2,"Florian Rus & Inna","7 zile"
3,"MOLIY, Silent Addy, Skillibeng & Shenseea","Shake It To The Max (FLY) [Remix]"
4,"MUSIC HUB","Scuipa-ma in gura"
5,"MoBlack & Salif Keïta","Yamore (feat. Cesária Evora, Benja (NL) & Franc Fala)"
6,"Jonas Blue & Malive","Edge of Desire"
7,"DNDM & Umar Keyn","D’octobre,"
8,"Ed Sheeran","Sapphire"
9,"David Guetta, Teddy Swims & Tones And I","Gone Gone Gone"
10,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast","Golden"
11,"Holy Molly & Deliric","Camera mea"
12,"Akcent, SERA & Misha Miller","Don't Leave (Kylie)"
13,"b.u.g. mafia","Corina (feat. Lexi Cali)"
14,"MIRA","Cu Tălpile Goale"
15,"Theo Rose","Greu să fiu eu"
16,"Andra","Numai din iubirea ta"
17,"Abraham Mateo & Ana Mena","Quiero Decirte"
18,"Andia","Ultimul revers"
19,"Cabron, Cristi Minculescu & Puya","Contra timp"
20,"Iuliana Beregoi & Cristian Porcari","Picătura De Cerneală"
21,"Alex Warren","Ordinary"
22,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast & David Guetta","Golden (David Guetta REM/X (Extended))"
23,"Meraki Moon","If you only knew (English Version)"
24,"BLANCO","sWaGGG 2026"
25,"Alex Warren & ROSÉ","On My Mind"
26,"Charli xcx & Caroline Polachek","Everything is romantic featuring caroline polachek"
27,"Alina Eremia & Mihail","Aud"
28,"EMIN & JONY","Камин"
29,"Alex Velea, Connect-R & Smiley","Combinația"
30,"Benson Boone","Mystical Magical"
31,"Taylor Swift","The Fate of Ophelia"
32,"Furacão 2000","Mimosa 2000"
33,"Manelele Trecutului","M-as goli de buzunare"
34,"Trippie Redd & Diplo","Wish (Audiomack Trap Symphony Version)"
35,"Irina Rimes","Hora fetelor"
36,"Hurts & Purple Disco Machine","Wonderful Life '25 (Extended)"
37,"Lidia Buble","Tic Tac"
38,"The Motans","Rămâi cu bine"
39,"David Guetta & Sia","Beautiful People"
40,"Blessd, Javiielo & Neutro Shorty","Dos Problemas (feat. Big Soto) [Remix]"
41,"Afro-Carpathic","Hei, Octombrie!"
42,"Damiano David, Tyla & Nile Rodgers","Talk to Me (feat. Tyla, Nile Rodgers)"
43,"KATSEYE","Gabriela"
44,"Delia & NOUA UNSPE","Lacrimi din soare"
45,"Lady Gaga","The Dead Dance"
46,"Mary J. Blige","Family Affair"
47,"Florian Tufallari","Dubai (feat. Ilir Tironsi & Sheiku Durresit)"
48,"Rita & RENVTØ","Drum bun"
49,"VUNK & Lidia Buble","Vino, du-te (Live acustic)"
50,"Raluka","Era Era"
51,"Connect-R, Smiley & Alex Velea","Cum Te-a Facut Mama Ta"
52,"Shimza, AR/CO & Kasango","Fire Fire"
53,"Teddy Swims","Bad Dreams"
54,"Damiano David","Next Summer"
55,"CEO Blessed DJ Savage liquid FM","nanotechnology mind control"
56,"Edward Sanda & Ioana Ignat","Tu pe mine m-ai ales"
57,"Vanco","Ma Tnsani (Yalla Habibi) [feat. AYA]"
58,"Tkandz & CXSPER","Now or Never"
59,"Lara Silva & DJ Guuga","Só Vamo"
60,"Voltaj","Ne-am promis"
61,"IRAIDA","Lume, Lume"
62,"Topic & Sofiya Nzau","Away"
63,"MUSIC HUB","Tine-ma in lesa"
64,"Jo","Iartă-mă tu"
65,"Andia","Pata de culoare"
66,"Kid Cudi","Maui Wowie"
67,"Luis Gabriel","Iti dau balans (feat. Lea & Liviu Guta)"
68,"The Urs","Vântul"
69,"Enrique Iglesias, Pitbull & IAmChino","Tamo Bien"
