
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"Icegergert & Zivert","БАНК"
2,"Ваня Дмитриенко & Аня Пересильд","Силуэт (из к/ф «Алиса в Стране Чудес»)"
3,"SABI & MIA BOYKA","Базовый минимум"
4,"Ваня Дмитриенко","Шёлк"
5,"ELMAN","С неба (feat. TRIDA)"
6,"KATO","Turn The Lights Off (feat. Jon)"
7,"Jakone & Kiliana","Жиганская"
8,"AY YOLA","Homay"
9,"Icegergert & SKY RAE","Наследство"
10,"Albert Brite","Wild"
11,"Filatov & Karas","Иногда"
12,"AY YOLA","Чёрная Луна (из к/ф «АВГУСТ»)"
13,"MONA","Иордан"
14,"Trippie Redd & Diplo","Wish (Audiomack Trap Symphony Version)"
15,"Линочка Ли","Любить тебя"
16,"KDDK & Alex Alta","1&2"
17,"МОТ","одинок.Net"
18,"tima ishet svet","волна"
19,"Disco Lines & Tinashe","No Broke Boys"
20,"Sayfalse, Cape & Jxndro","Montagem Rugada"
21,"Alex Warren","Ordinary"
22,"Charli xcx & Caroline Polachek","Everything is romantic featuring caroline polachek"
23,"КАЗАКИ ДЕЛАЮТ ХИТЫ","Облака"
24,"Garik Garik","Судьба капканы расставит, а я их вновь обойду"
25,"Crash Adams","New Heart"
26,"Shouse","Only You"
27,"DJ Smash & D’Or","РОЗОВЫЙ ТУМАН"
28,"Lady Gaga","The Dead Dance"
29,"Artik & Asti","Модный Поп"
30,"Gorod 312","Фонари"
31,"Moya Mishel","Иногда"
32,"NEIKED & Portugal. The Man","Glide"
33,"NAVAI & MONA","Есенин"
34,"AKORGO BOYS","ДЫК КЫН ДЫШ"
35,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast","Golden"
36,"Анна Немченко","Танцпол везде"
37,"Tyler, The Creator","Sugar On My Tongue"
38,"Zivert","Гудбай"
39,"АлСми","Базовый минимум"
40,"Jeny Vesna","Отъебитесь"
41,"Furacão 2000","Mimosa 2000"
42,"Maesic, Marshall Jefferson & Salomé Das","Life Is Simple (Move Your Body)"
43,"Beautiful Boys","Нежная Любовь"
44,"Abraham Mateo & Ana Mena","Quiero Decirte"
45,"Lesha Svik, NILETTO & Mary Gu","Аритмия"
46,"ZXKAI & slxughter","NO BATIDÃO (Slowed)"
47,"a8p4s","Не видно"
48,"Sevara Nazarkhan","Там нет меня"
49,"Monetochka","Каждый раз"
50,"Nikolay Kim & Gruppa Aramis","Девочка ждет"
51,"MONA","Воин и дракон (Из к/с «Ониксовый шторм»)"
52,"Бонд с кнопкой","Кухни"
53,"Egor Kreed","Незабудки"
54,"BEARWOLF","Валькирия"
55,"dabbackwood","не попался"
56,"tuborosho","shalawa"
57,"BEARWOLF","ТОПИМ"
58,"Shakira","Addicted to You"
59,"Артем Пора Домой & Jahmal TGK","Прости за любовь"
60,"EMIN & JONY","Камин"
61,"Endshpil","10"
62,"Timbaland","Give It to Me (feat. Justin Timberlake & Nelly Furtado)"
63,"Yulevna","Август шепчет:Осень на носу"
64,"KAMRAD","Be Mine"
65,"Alfa & Manu Chao","A me mi piace"
66,"Златенция","Маленькой девочкой"
67,"Akcent, SERA & Misha Miller","Don't Leave (Kylie)"
68,"Tokio Hotel","How to Love"
69,"Demeter","O.P."
70,"Rakhim & NYUSHA","Не бойся"
71,"Люся Чеботина","КАБЛУК"
72,"Tate McRae","Sports car"
73,"Jakone, Kiliana & REFLEX","Потому что не было тебя"
74,"FloyyMenor & Cris MJ","Gata Only"
75,"ARYA MUSIC","К тебе готов идти босиком"
76,"Smyslovye Gallyutsinatsii","Звёзды 3000"
77,"Inna","Caliente (Radio Edit)"
78,"Jonas Blue & Malive","Edge of Desire"
79,"Don Toliver","Lose My Mind (feat. Doja Cat) [From F1® The Movie]"
80,"GeeGun, Artik & Asti & NILETTO","Худи"
81,"Damiano David","Next Summer"
82,"Антон Токарев","Седьмой лепесток"
83,"Sabrina Carpenter","Tears"
84,"Beautiful Boys","Ты выбираешь чудеса"
85,"Calvin Harris & Clementine Douglas","Blessings"
86,"Andery Toronto, Криминальный бит & MIROLYBOVA","Умница"
87,"Jakone & Kiliana","Асфальт"
88,"Pedro Infante","Ni por Favor"
89,"XOLIDAYBOY","Пожары"
90,"Midway","Get Down (feat. B.Kone & TREXX)"
91,"heapper & DJ JUAN","MONTAGEM VOZES TALENTINHO (Super Slowed)"
92,"sombr","12 to 12"
93,"Dan Korshunov & Кэнни","Сколько их было"
94,"Sting","Shape Of My Heart"
95,"Ara Martirosyan","Карусели"
96,"Ava Max","Don’t Click Play"
97,"David Guetta, Teddy Swims & Tones And I","Gone Gone Gone"
98,"CHEPIKK & Холла","Не люби меня"
99,"Galibri & Mavik","Сочи - Киров - Ростов"
100,"PIZZA & Dose","Ночи напролёт"
101,"Татьяна Куртукова","Одного"
102,"SKAI ISYOURGOD","Stacks from All Sides"
103,"WokkHelly","До-Ре-Ми 2"
104,"тёмный принц","овердоз"
105,"Pompeya","90"
106,"2hollis","poster boy"
107,"Sunnatillo Do'stov","Alyonushka"
108,"SQWOZ BAB","ROMANTIC"
109,"Albert Brite","Я хочу каждый твой атом"
110,"Xcho","Зачарованная"
111,"Vintazh","Eva (feat. Ева Польна)"
112,"ДИГЕР","Осень дожди"
113,"ДжаЯмми","На рейве цветы"
114,"Женя Трофимов & Комната культуры","Поезда"
115,"Maxim Fadeev","Обязательно вернусь (Instrumental)"
116,"Tantsy Minus","ОНО"
117,"LYRIQ","OH MY LOVE"
118,"ivanzolo2004","Баобаб"
119,"CEO Blessed DJ Savage liquid FM","nanotechnology mind control"
120,"BLACKPINK","JUMP"
121,"George Michael","Careless Whisper"
122,"Lolita & Costa Lacoste","По-другому"
123,"ADAM","Zhurek"
124,"DZHIVAN","Автор"
125,"A'Studio","Она не виновата"
126,"Erika","I Don't Know"
127,"Pitbull","Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)"
128,"AVALAN ROKSTON, Avalan & Rokston","Something to Believe In"
129,"Akmal'","Ты мне покажи..."
130,"Miyagi & Эндшпиль","I Got Love (feat. Рем Дигга)"
131,"Бонд с кнопкой","Сидр"
132,"Женя Трофимов & Комната культуры","Привет"
133,"Пабло & Mr Lambo","Love Is"
134,"One-T","The Way To Love (feat. YWY & Nika)"
135,"KALEO","Way Down We Go"
136,"Blestyashchie","Там, только там (Mr.pinky & Mafu Remix)"
137,"Hanumankind & Kalmi","Big Dawgs"
138,"Miyagi","DAO (feat. HLOY & даена)"
139,"The Weeknd & Anitta","São Paulo"
140,"50 Cent","Ayo Technology (feat. Justin Timberlake & Timbaland)"
141,"Coolzone","Nasty Jamz"
142,"Enya","Caribbean Blue"
143,"Armin van Buuren","In and Out of Love (feat. Sharon den Adel)"
144,"Ellie Goulding & Juice WRLD","Hate Me"
145,"Rudimental & Khalid","All I Know"
146,"The Stranglers","Golden Brown"
147,"Dolphin","Весна"
148,"Imanbek","Limits"
149,"Fontaines D.C.","Starburster"
150,"Гио ПиКа & MIRAVI","Мир"
151,"V $ X V PRiNCE & Bollo","Пусто"
152,"SEVENROSE","Чёрная смородина"
153,"INSTASAMKA","AGENT GIRL"
154,"Gorilla Zippo","Танцую до утра"
155,"Садковская","сколько шансов у любви?"
