
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"Trippie Redd & Diplo","Wish (Audiomack Trap Symphony Version)"
2,"DYSTINCT","YAMA"
3,"Ski Aggu, Joost & Otto Waalkes","Friesenjung"
4,"Kid Cudi","Maui Wowie"
5,"Taylor Swift","The Fate of Ophelia"
6,"Charli xcx & Caroline Polachek","Everything is romantic featuring caroline polachek"
7,"TUL8TE","El Hob Gany"
8,"EMIN & JONY","Камин"
9,"Naza & SDM","Tout donner"
10,"Otilia","Bilionera (Radio Edit)"
11,"NANA & Booya Family","Darkman (Full Range Mix)"
12,"2 Unlimited","Burning Like Fire"
13,"Amr Gaber","كله قالي اشمعنا هو"
14,"MDP","Fake Love (Orchestral Version)"
15,"Lana Del Rey","Cinnamon Girl"
16,"TUL8TE","Heseeny"
17,"Kamel Ehab","لو تسمح يا هوى"
18,"FloyyMenor & Cris MJ","Gata Only"
19,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast","Golden"
20,"Albert Brite","Wild"
21,"Videoclub, Adèle Castillon & Mattyeux","Amour plastique"
22,"FloyyMenor, Ozuna & Anitta","Gata Only (Remix)"
23,"Erika","I Don't Know"
24,"CEO Blessed DJ Savage liquid FM","nanotechnology mind control"
25,"The Stranglers","Golden Brown"
26,"Don Miguelo","Y Qué Fue?"
27,"Semicenk","Sen Kaldın"
28,"DJ KORYA","اسمع ربابه"
29,"Nicki Minaj","Beez In The Trap (feat. 2 Chainz)"
30,"sombr","back to friends"
31,"Easykid","Shiny"
32,"Mohamed Alsalim","Aaouf El Denia"
33,"Sayfalse, Cape & Jxndro","Montagem Rugada"
34,"The Marías","No One Noticed"
35,"Shakira","Addicted to You"
36,"Empire Of The Sun","We Are The People"
37,"Ramy Sabry","El Hoob 3ebna"
38,"DEE PRODUCTION","بـرافو (feat. Maynoown)"
39,"Coolzone","Nasty Jamz"
40,"Maha Ftouni","أول حب"
41,"Evanescence","Bring Me to Life"
42,"4 Non Blondes","What's Up?"
43,"Nancy Ajram","Ya Salam"
44,"Maha Ftouni","أجمل فرحة"
45,"Saif Amer","شراره"
46,"Moayad Aljabal","Floating in Reverie"
47,"Amr Diab","Khalik Maaya"
48,"Alec Benjamin","Let Me Down Slowly (feat. Alessia Cara)"
49,"Rashed Al Majid","Min Araftek"
50,"dj Samir, DJ Zarek, DJ DUDA & LUNxdiE","Lua na Praça (Slowed)"
51,"Olivia Dean","So Easy (To Fall In Love)"
52,"ZXKAI & slxughter","NO BATIDÃO (Slowed)"
53,"Radiohead","Let Down"
54,"dnvn, SYNPIX & Phonk King","Verão Flow (Super Slowed)"
55,"Ellie Goulding & Juice WRLD","Hate Me"
56,"nour","Meen Ysadak (feat. Eldab3)"
57,"Marwan Fagi","Sad Wa Hasaif"
58,"FLVCKKA, Sleezy O & Maury","Hotel Room"
59,"Kim","Confidence"
60,"Bosy","عيونه هتدمع (من مسلسل اش اش)"
61,"Demet Özdemir","Ah Yar"
62,"Mohamed Alsalim","Bravo"
63,"Billie Eilish","WILDFLOWER"
64,"The Stranglers","Golden Brown (Slowed Down Version)"
65,"Melhem Zein","Kelma Ghabet Chams"
66,"James Arthur","Impossible"
67,"Alex Warren","Ordinary"
68,"NIGMA","Hummer"
69,"Tkandz & CXSPER","Now or Never"
70,"Andromeda & elysian.","MONTAGEM COMA"
71,"Lady Gaga","Bloody Mary"
72,"Sherine","بتمنى انساك"
73,"Fadel Chaker","Sahak Isho2"
74,"Amr Diab","Baba"
75,"Khalil Harrison & Tyler ICU","Jealousy (feat. Leemckrazy & Ceeka RSA)"
76,"Lana Del Rey","Young And Beautiful"
77,"Charlie Puth","Attention"
78,"TalkinToys","Be My First One"
79,"Habib Ali","Chefti Ya Rouhe"
80,"Woodkid","Run Boy Run"
81,"T-Pain","Up Down (Do This All Day) [feat. B.o.B]"
82,"Hussam Alrassam","Ghalat 3Omri غلط عمري"
83,"Ravyn Lenae","Love Me Not"
84,"دليجة","لا يمه لا ماريده"
85,"Runtown","Mad over You"
86,"Skylar Grey","Words"
87,"DJ Ryder, Dj Dudu Coupper & MC GW","Sequência da Botação"
88,"SKAI ISYOURGOD","Stacks from All Sides"
89,"Darky","RE MI"
90,"Rabeh Saqer","Kaza"
91,"Yasser Abdulwahab","Baouna"
92,"Lorna","Papi Chulo... Te Traigo el MMM 2K17"
93,"Black Eyed Peas & Shakira","GIRL LIKE ME"
94,"Furacão 2000","Mimosa 2000"
95,"Jannat","El Badi Azlam"
96,"Mohamad Al Ahdal","Ana Astahel"
97,"Crash Adams","New Heart"
98,"Ayed","Habebi Reh"
99,"Cigarettes After Sex","Apocalypse"
100,"El7aga Nabila","Ya Wala (Titre Walad Bent Shayeb)"
101,"رحمه محسن","حفلة تنكرية"
102,"ZionRay & Dannrie Brown","Three Seconds To Goodbye"
103,"Yousif Al Sumaidaie","Watbartak Sheda"
104,"Adam","Ya Helou"
105,"Tyler, The Creator","Sugar On My Tongue"
106,"United States Air Force Band Of Mid-America","Die Parade Der Zinnsoldaten, Op. 123 (Arr. for Wind Ensemble)"
107,"Mehdi Yarrahi","Baraye To"
108,"The Handsome Family","Far from Any Road"
109,"QMIIR","SEMPERO (Super Slowed)"
110,"Sevdaliza","Ride Or Die, Pt. 2 (feat. Villano Antillano & Tokischa)"
111,"Gigi Perez","Sailor Song"
112,"Disco Lines & Tinashe","No Broke Boys"
113,"Nancy Ajram","Ya Albo"
114,"Alec Benjamin","Let Me Down Slowly"
115,"Cem Adrian","Ben Seni Çok Sevdim"
116,"De La Calle","Hoy Me Fumé un Verde"
117,"East Duo","Chubina"
118,"DJ Snake","Let Me Love You (feat. Justin Bieber)"
119,"Elissa","Teabet Menak"
