
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"RnBoi","MON BÉBÉ"
2,"Mia Guisse & Viviane Chidid","On a pas le temps"
3,"Andi","Cada Un Ten Se Dia"
4,"Llas Melo","Tiitëru"
5,"DJ Malvado & DJ Aka-m","Mussulo (feat. Dody)"
6,"Ayra Starr & Rema","Who’s Dat Girl"
7,"Dip Doundou Guiss","Dungeen Daj"
8,"Urban Chords","I'm a mess (Choir Version)"
9,"Mc Tchabaco","Dama na Fassi Fama (feat. We Dem Boyz) [Club Banger]"
10,"Mia Guisse & Wally B. Seck","Doolé"
11,"Jahman X-press","Arva (feat. Souleymane Faye, Soda Mama Fall & Kine Lam)"
12,"EMIN & JONY","Камин"
13,"Tkandz & CXSPER","Now or Never"
14,"Chris Brown","It Depends (feat. Bryson Tiller)"
15,"Kedjevara","Ça fait mal"
16,"BM Jaay","Sa lamigne (feat. Dip Doundou Guiss)"
17,"MC Tairon & Mc Vitin Da Igrejinha","Baile no Morro (Mixed)"
18,"FloyyMenor & Cris MJ","Gata Only"
19,"Tamsir SN","JËLËL"
20,"Mia Guisse","Belle mère"
21,"Franglish & KeBlack","Génération impolie"
22,"Khalil Harrison & Tyler ICU","Jealousy (feat. Leemckrazy & Ceeka RSA)"
23,"CEO Blessed DJ Savage liquid FM","nanotechnology mind control"
24,"Goon Flavour, Master KG & Eemoh","Ngishutheni"
25,"Wally B. Seck","AHMED $ (feat. Cheick Niang)"
26,"Maya Abdul","Maa La Moom"
27,"Viviane Chidid","Live Legend (Live)"
28,"Challenge mood","Kaire Santane"
29,"Ngaaka Blinde","Loy Diaay (feat. One Lyrical & Cool Lams)"
30,"BM Jaay","Bop Dou Pour Yenou"
31,"GIMS","DO YOU LOVE ME ?"
32,"Pape Diouf","Bellissimo"
33,"Ngaaka Blinde","Actu Locale (feat. Matadi)"
34,"Ngaaka Blinde","Bop (feat. Dou Marley & DABLE M)"
35,"Naza & SDM","Tout donner"
36,"AMADEUS","JIIN"
37,"SALIMA CHICA","SONGI SONGI"
