
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"Taylor Swift","The Fate of Ophelia"
2,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast","Golden"
3,"Taylor Swift","Opalite"
4,"BABYMONSTER","WE GO UP"
5,"Olivia Dean","So Easy (To Fall In Love)"
6,"JISOO & ZAYN","EYES CLOSED"
7,"Evangeline","離開我的依賴"
8,"Charli xcx & Caroline Polachek","Everything is romantic featuring caroline polachek"
9,"EMIN & JONY","Камин"
10,"Easykid","Shiny"
11,"Silence Wang","像晴天像雨天(电视剧《难哄》心动曲)"
12,"Madison Beer","bittersweet"
13,"sombr","back to friends"
14,"BLACKPINK","JUMP"
15,"Furacão 2000","Mimosa 2000"
16,"PlaqueBoyMax, Rakai & BunnaB","TURN UP"
17,"Trippie Redd & Diplo","Wish (Audiomack Trap Symphony Version)"
18,"RAYE","WHERE IS MY HUSBAND!"
19,"LBI","Jumping Machine (跳楼机)"
20,"Alex Warren","Ordinary"
21,"马师傅","善后"
22,"Shan Yichun","Firework"
23,"KATSEYE","Gabriela"
24,"Silet Open Up, Jacson Seran, Juan Reza & Diva Aurel","TABOLA BALE"
25,"Naza & SDM","Tout donner"
26,"CORTIS","GO!"
27,"Madison Beer","yes baby"
28,"Kid Cudi","Maui Wowie"
29,"FloyyMenor & Cris MJ","Gata Only"
30,"Olivia Dean","Man I Need"
31,"Lady Gaga","The Dead Dance"
32,"Ariana Grande","twilight zone"
33,"Tkandz & CXSPER","Now or Never"
34,"Chappell Roan","The Subway"
35,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, Kevin Woo, samUIL Lee & KPop Demon Hunters Cast","Soda Pop"
36,"MXZI, dj Samir & DJ Javi26","Montagem Xonada"
37,"Kehlani","Folded"
38,"frederic","Oddloop"
39,"Tyler, The Creator","Sugar On My Tongue"
40,"Zara Larsson","Blue Moon"
41,"Justin Bieber","DAISIES"
42,"Sayfalse, Cape & Jxndro","Montagem Rugada"
43,"4 Non Blondes","What's Up?"
44,"SKAI ISYOURGOD","Stacks from All Sides"
