
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"Sam Deep, Nia Pearl & Boohle","Shela (feat. Mano)"
2,"Thukuthela, GL_Ceejay, JAZZWRLD & Makhadzi Entertainment","uMoya"
3,"Nkeshemba","Ngixolele Mtanami"
4,"Final Dot","Vala"
5,"DJ Tira, Pcee & CampMasters","Awungazi (feat. General C'mamane)"
6,"Nelson Tivane & Makhadzi Entertainment","MAMA'S BABY"
7,"BigBaller_Ceo, Beekay Da Deejay & Sia_TheBee","Mexico"
8,"Mzukulu","Ubu Ghost bami (feat. Intombi yasoLundi)"
9,"sami kay, Rox Roberson & Misokuhle","Amanxeba"
10,"JayJayy & Mordecai","Phesheya"
11,"Maline Aura, Drega & MDU aka TRP","Mabebuza (Mdu aka TRP Remix)"
12,"Umafikizolo","Uyoncengwa Unyoko"
13,"JAZZWRLD, Thukuthela & Babalwa M","uValo (feat. Dlala Thukzin)"
14,"Nothando Hlophe","Methodist Medley"
15,"lordkez","Aweh"
16,"Mzukulu","Thandolwethu (feat. Zamambo Mkhize & Umfana weKhansela)"
17,"Zee Nxumalo, Skillz & Sykes","Mamma"
18,"Thukuthela, JAZZWRLD, GL_Ceejay & Zee_nhle","Ngine Ndaba"
19,"Nkeshemba","Isibaya Sikababa"
20,"Shebeshxt, Naqua SA & Zee Nxumalo","Rato Laka (feat. Slidoo Man)"
21,"Dj Jaivane, Smaki 08 & Wesley Keys","Lutho (feat. De Rose)"
22,"DJ Maphorisa, Xduppy & Kabza De Small","Abantwana Bakho (feat. Thatohatsi, Young Stunna & Nkosazana Daughter)"
23,"Mzukulu","Umkhovu etsheni (feat. Zamambo Mkhize)"
24,"Noxolo","Uthando Lwethu"
25,"LuuDadeejay","Bacardi via sgidongo (feat. Kabza De Small & Mac Breezy)"
26,"MaWhoo, GL_Ceejay & Thukuthela","Bengicela (feat. Jazzworx)"
27,"Nkabikazi & Big Zulu","S'yaz'Siyizoni (feat. Skillz & Diary)"
