
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"Eddie and the Bricks","Pause"
2,"Kenshi Yonezu & Hikaru Utada","JANE DOE"
3,"NMIXX","Blue Valentine"
4,"MFBTY","Angel"
5,"AOA","Miniskirt (Karaoke Version)"
6,"HWASA","Good Goodbye"
7,"HALCALI","おつかれSUMMER"
8,"Sabrina Carpenter","Tears"
9,"Kenshi Yonezu","IRIS OUT"
10,"DAVICHI","TIME CAPSULE"
11,"MXZI, dj Samir & DJ Javi26","Montagem Xonada"
12,"Woody","Sadder Than Yesterday"
13,"10CM","To Reach You (Instrumental)"
14,"SingAgain4 Singer No.55","One Confess"
15,"LEE CHANHYUK","Endangered Love"
16,"TWS","OVERDRIVE"
17,"BOYNEXTDOOR","Hollywood Action"
18,"AKORGO BOYS","ДЫК КЫН ДЫШ"
19,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast","Golden"
20,"DK(December)","Close your eyes"
21,"BABYMONSTER","WE GO UP"
22,"CORTIS","GO!"
23,"GA EUN","Got You"
24,"LEE JUNHO","Did You See The Rainbow?"
25,"HANRORO","Landing in Love"
26,"KIM CHAEWON & Dalpalan","Confession (Japanese Version)"
27,"yung kai","blue"
28,"DAY6","INSIDE OUT"
29,"Kehlani","Folded"
30,"TOUCHED","Last Day"
31,"Ameriie","OnePiece(Phonk)"
32,"ALLDAY PROJECT","FAMOUS"
33,"DAYOUNG","body"
34,"Hearts2Hearts","STYLE"
35,"MEOVV","BURNING UP"
36,"ILLIT","Billyeoon Goyangi (Do the Dance)"
37,"OVAN","Flower"
38,"Monday Kiz & Lee Yi Kyung","Destiny (2025)"
39,"Lee ye eun, Ashatree & JEON KEONHO","MY LOVE(2025)"
40,"WOODZ","Drowning"
41,"Oasis","Don't Look Back In Anger"
42,"SKAI ISYOURGOD","Stacks from All Sides"
43,"Rumi, JINU, EJAE, Andrew Choi & KPop Demon Hunters Cast","Free"
44,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, Kevin Woo, samUIL Lee & KPop Demon Hunters Cast","Your Idol"
45,"Nerd Connection","If I have you only (My love)"
46,"Kid Cudi","Maui Wowie"
47,"Christina Perri","A Thousand Years"
48,"Taylor Swift","The Fate of Ophelia"
49,"KANA-BOON","Silhouette"
50,"Tyler, The Creator","Sugar On My Tongue"
51,"Yerin Baek","(They Long To Be) Close To You"
