
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"The Creeps","Ooh I Like It!"
2,"Bert Heerink","Wie Houdt Me Tegen"
3,"Kate Bush","Wuthering Heights"
4,"Brita Borg","Ljuva sextital"
5,"Nils-Erik Sparf & Drottningholm Baroque Ensemble","Bilagers musiquen (Royal Wedding Music), BeRI 2 "Drottningholmsmusique": I. Allegro"
6,"Astrid Lindgren & Karlsson på taket","Bara en liten hund"
7,"Gun Sjöberg","Nej, Jag Ångrar Ingenting"
8,"Bröderna Lindqvist","Wiggen"
9,"Nannie Porres","I Folkviseton"
10,"Booker T. & The M.G.'s","I Still Haven't Found What I'm Looking For"
11,"Samir & Viktor","Bada nakna"
12,"Miriam Bryant","Regnblöta skor"
13,"Taylor Swift","The Fate of Ophelia"
14,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast","Golden"
15,"Agnes","EGO"
16,"Ed Sheeran","Sapphire"
17,"Ida-Lova","Svagare än jag"
18,"Lauren Daigle","You Say"
19,"Lady Gaga","The Dead Dance"
20,"Disco Lines & Tinashe","No Broke Boys"
21,"Darin","Allt jag har"
22,"sombr","12 to 12"
23,"Alex Warren","Ordinary"
24,"Miley Cyrus","End of the World"
25,"Trippie Redd & Diplo","Wish (Audiomack Trap Symphony Version)"
26,"Tjuvjakt & Fanny Avonne","Tusen spänn"
27,"Olivia Dean","Man I Need"
28,"Charli xcx & Caroline Polachek","Everything is romantic featuring caroline polachek"
29,"oskar med k","Make Me Feel"
30,"DYSTINCT","YAMA"
31,"Al Bano & Romina Power","Felicità"
32,"RAYE","WHERE IS MY HUSBAND!"
33,"Thomas Stenström","Nätterna"
34,"Lena Horne","I'm Confessin' (That I Love You)"
35,"AKORGO BOYS","ДЫК КЫН ДЫШ"
36,"David Guetta, Teddy Swims & Tones And I","Gone Gone Gone"
37,"Daniela Rathana","Vandraren"
38,"Albin Lee Meldau & Arvid Nero","Barfotabarn"
39,"Jubël & Alida","Waiting For A Star To Fall"
40,"Victor Leksell","Lys på mig"
41,"Veronica Maggio","Backspegeln (Radio Edit)"
42,"Christopher","Orbit"
43,"Cheat Codes, Edward Maya & Enisa","Be Your Friend"
44,"Omar Rudberg","Simon's Song (From the Netflix Series Young Royals)"
45,"Justin Bieber","DAISIES"
46,"Furacão 2000","Mimosa 2000"
47,"George Harrison","Beware of Darkness (2014 Remaster)"
48,"Zara Larsson","Midnight Sun"
49,"Chappell Roan","The Subway"
50,"Shaboozey & Myles Smith","Blink Twice"
51,"Benson Boone","Before You"
52,"Chappell Roan","Good Luck, Babe!"
53,"Nicki Minaj","Beez In The Trap (feat. 2 Chainz)"
54,"Jalen Ngonda","All About Me (Dub)"
55,"4 Non Blondes","What's Up?"
56,"Darin","Mimosa"
57,"Benson Boone","Mystical Magical"
58,"Kid Cudi","Maui Wowie"
59,"Weeping Willows","The Thrill of Danger"
60,"Smash Into Pieces","A Sky Full of Stars"
61,"Disturbed","The Sound of Silence (CYRIL Remix)"
62,"Ed Sheeran","Azizam"
63,"Tkandz & CXSPER","Now or Never"
64,"Puscifer","Momma Sed"
65,"Ella Tiritiello","Bara du är där"
66,"Myles Smith","Stay (If You Wanna Dance)"
67,"Fontaines D.C.","Starburster"
68,"Jireel & Reyn","X"
69,"Lady Gaga & Bruno Mars","Die With A Smile (Acoustic)"
70,"Otto Knows & Sarah Klang","Follow"
71,"Billie Eilish","BIRDS OF A FEATHER"
72,"CEO Blessed DJ Savage liquid FM","nanotechnology mind control"
73,"Molly Sandén","Blåögd"
74,"SABI & MIA BOYKA","Базовый минимум"
75,"KATO","Turn The Lights Off (feat. Jon)"
76,"Icegergert & Zivert","БАНК"
77,"Lou Reed","Perfect Day"
78,"Maria Jane Smith","I Believed"
79,"Nils Landgren Funk Unit","Take a Chance On Me"
80,"Tame Impala","Dracula"
81,"KATSEYE","Gabriela"
82,"Lady Gaga & Bruno Mars","Die With A Smile"
83,"Kerstin Ljungström & Kasino","Saltvatten"
84,"EsDeeKid & Rico Ace","Phantom"
85,"EMIN & JONY","Камин"
86,"DJ ARNE","Discosex"
87,"brux XTN","Paid to Exist"
88,"Billy Stewart","Summertime"
89,"Vella","All My Love"
90,"ADAAM & NBLNATION","Alltid Hennes"
91,"sombr","undressed"
92,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast & David Guetta","Golden (David Guetta REM/X (Extended))"
93,"The Cranberries","Dreams"
94,"voiceless & void","In Da Club"
95,"Teddy Swims","Lose Control"
96,"LIAMOO","Break Through The Ceiling"
97,"Thomas Stenström","Carpe Diem"
98,"Abraham Mateo & Ana Mena","Quiero Decirte"
99,"Kasino","Oh Love"
100,"Geese","Cobra"
101,"Harry Nilsson","Everybody's Talkin' (1971 Mix)"
102,"Sarah Klang","I'll Find My Way Home (Original Soundtrack of Little Did I Know)"
103,"Albert Brite","Wild"
104,"The Blues Brothers","Everybody Needs Somebody to Love"
105,"Benson Boone","Sorry I'm Here For Someone Else"
106,"Tyler, The Creator","Sugar On My Tongue"
107,"Bakis Boyz","UNGA I KVÄLL"
108,"Easykid","Shiny"
109,"cassö, RAYE & D-Block Europe","Prada"
110,"Shakira","Addicted to You"
111,"FloyyMenor & Cris MJ","Gata Only"
112,"sombr","back to friends"
113,"Gala","Freed From Desire"
114,"Caamp","All the Debts I Owe"
115,"Dire Straits","Sultans of Swing"
116,"David Guetta, Alphaville & Ava Max","Forever Young (Extended)"
117,"GIVĒON","Dancing in the Smoke (From the Netflix Series "Nobody Wants This" Season 2)"
118,"Drottningholm Baroque Ensemble","Bilagers musiquen (Royal wedding music), BeRI 2, "Drottningholmsmusique": Drottningholm Music, "Royal Wedding Music": I. Allegro con spirito - II. Allegretto"
119,"Solen","Mitt nya liv"
120,"Sabrina Carpenter","Tears"
121,"2hollis","poster boy"
122,"CYRIL","The Power Of Love"
123,"Håkan Hellström","Evergreen min vän evergreen"
124,"Naza & SDM","Tout donner"
125,"Sayfalse, Cape & Jxndro","Montagem Rugada"
126,"Taylor Swift","Opalite"
127,"Lady Gaga","Abracadabra"
128,"Boko Yout","GUSTO"
129,"Peg Parnevik","Jag har hört (hahaha)"
130,"Deki Alem","Mr Man"
131,"KALEO","Way Down We Go"
132,"The Goo Goo Dolls","Iris"
133,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
134,"SG Lewis & Oliver Sim","Baby Blue"
135,"BLOW RECORDS & Mc Jhey","Predador de Perereca"
136,"ORKID","Steep Hills"
137,"Jakone & Kiliana","Жиганская"
138,"Myles Smith","Nice To Meet You"
139,"PlaqueBoyMax, Rakai & BunnaB","TURN UP"
140,"Drottningholm Baroque Ensemble","Bilagers musiquen (Royal wedding music), BeRI 2, "Drottningholmsmusique": Drottningholm Music, "Royal Wedding Music": XX. Allegro - III. Andante - I. Allegro con spirito"
141,"FELICIA","Black Widow"
142,"Otilia","Bilionera (Radio Edit)"
143,"Lovet","Young Bandit"
144,"The Stranglers","Golden Brown"
145,"Zach Bryan","I Remember Everything (feat. Kacey Musgraves)"
146,"Dermot Kennedy","Melodies (From the Netflix Series "Nobody Wants This" Season 2)"
147,"Olga Myko","use me!!!!!!!"
148,"Semicenk","Sen Kaldın"
149,"Klara Hammarström","On and On and On"
150,"Dina Ögon","Dålig teve"
151,"Gigi D'Agostino","L'amour Toujours"
152,"Olivia Dean","So Easy (To Fall In Love)"
153,"DJ Snake","Paradise (feat. Bipolar Sunshine) [VIP House Edit]"
154,"George Michael","Careless Whisper"
155,"Orion7","Without Me"
