
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast","Golden"
2,"Taylor Swift","The Fate of Ophelia"
3,"Bleu Soleil & LUIZA","Soleil Bleu"
4,"Charli xcx & Caroline Polachek","Everything is romantic featuring caroline polachek"
5,"Lewis Capaldi","Survive"
6,"Lady Gaga","The Dead Dance"
7,"Tkandz & CXSPER","Now or Never"
8,"Alex Warren","Ordinary"
9,"Abraham Mateo & Ana Mena","Quiero Decirte"
10,"Kid Cudi","Maui Wowie"
11,"Trippie Redd & Diplo","Wish (Audiomack Trap Symphony Version)"
12,"4 Non Blondes","What's Up?"
13,"Ed Sheeran","Sapphire"
14,"Furacão 2000","Mimosa 2000"
15,"Nicki Minaj","Beez In The Trap (feat. 2 Chainz)"
16,"disiz & Theodora","melodrama"
17,"Olivia Dean","Man I Need"
18,"SOLEROY","Call It"
19,"DYSTINCT","YAMA"
20,"Disco Lines & Tinashe","No Broke Boys"
21,"RnBoi","MON BÉBÉ"
22,"Easykid","Shiny"
23,"David Guetta, Teddy Swims & Tones And I","Gone Gone Gone"
24,"Glockenbach & Tom Walker","Home"
25,"Ravyn Lenae","Love Me Not"
26,"Paul Kalkbrenner & Stromae","QUE CE SOIT CLAIR"
27,"David Guetta & Sia","Beautiful People"
28,"Lola Young","Messy"
29,"CEO Blessed DJ Savage liquid FM","nanotechnology mind control"
30,"HUGEL, Topic & Arash","I Adore You (feat. Daecolm)"
31,"Lady Gaga","Always Remember Us This Way"
32,"EMIN & JONY","Камин"
33,"RAYE","WHERE IS MY HUSBAND!"
34,"BLOW RECORDS & Mc Jhey","Predador de Perereca"
35,"Miley Cyrus","End of the World"
36,"KAMRAD","Be Mine"
37,"EsDeeKid & Rico Ace","Phantom"
38,"Bourvil","La Tendresse"
39,"Sabrina Carpenter","Manchild"
40,"Pegasus","Next Day"
41,"BLACKPINK","JUMP"
42,"Franglish & KeBlack","Génération impolie"
43,"Fontaines D.C.","Starburster"
44,"Calum Scott","You Are The Reason"
45,"DJ Malvado & DJ Aka-m","Mussulo (feat. Dody)"
46,"WizTheMc & bees & honey","Show Me Love"
47,"Damiano David","The First Time"
48,"brux XTN","Paid to Exist"
49,"Anne Mosters (aus The Voice of Germany 2025) & Rachel Leggio (aus The Voice of Germany 2025)","Redbone (aus "The Voice of Germany 2025") [Live]"
50,"Hecht","Mon Amour"
51,"sombr","undressed"
52,"FAST BOY & ClockClock","Born Again"
53,"sombr","back to friends"
54,"Alex Warren","Eternity"
55,"HotLap","Waitin'"
56,"DJ Antoine, Paolo Ortelli & Jay C","Sarà perché ti amo"
57,"Chappell Roan","Good Luck, Babe!"
58,"Sayfalse, Cape & Jxndro","Montagem Rugada"
59,"Michael Patrick Kelly","The One"
60,"Mary J. Blige","Family Affair"
61,"FloyyMenor & Cris MJ","Gata Only"
62,"PlaqueBoyMax, Rakai & BunnaB","TURN UP"
63,"Vitaa & Julien Doré","Viens on essaie"
64,"cjnobeat, MC Morena & MC GW","Até Quebrar a Cama 2.0"
65,"Shakira","Addicted to You"
66,"Banfy & Sheridan","Bam Bam"
67,"MC Tairon & Mc Vitin Da Igrejinha","Baile no Morro (Mixed)"
68,"Teddy Swims","Lose Control"
69,"Felix Jaehn & JHart","PRIDE"
70,"Tom Odell","Another Love"
71,"Dan Black & Louane","Orchestra (20th Anniversary Version)"
72,"DJ Snake & Bipolar Sunshine","Paradise"
73,"The Aranbee Pop Symphony Orchestra","Bittersweet Symphony"
74,"sombr","12 to 12"
75,"MOLIY, Silent Addy, Skillibeng & Shenseea","Shake It To The Max (FLY) [Remix]"
76,"ZXKAI & slxughter","NO BATIDÃO (Slowed)"
77,"Gala","Freed From Desire"
78,"Teddy Swims","Bad Dreams"
79,"Damiano David","Next Summer"
80,"Trinix & Mariana Froes","Vaitimbora"
81,"KATSEYE","Gabriela"
82,"Nico Santos","Home Pt. 2"
83,"Mous-K","Cole Palmer"
84,"Damiano David, Tyla & Nile Rodgers","Talk to Me (feat. Tyla, Nile Rodgers)"
85,"Ava Max","Lovin Myself"
86,"Hurts & Purple Disco Machine","Wonderful Life '25 (Extended)"
87,"Gotye","Somebody That I Used to Know (feat. Kimbra)"
88,"The Stranglers","Golden Brown"
89,"LoVibe.","a good man with a broken heart"
90,"Common Saints","Rebel Paradise"
91,"Lilly Wood & The Prick & Robin Schulz","Prayer in C (Robin Schulz Radio Edit)"
92,"Trauffer & Heimweh","Stärneliechtermeer"
93,"ÁSDÍS","Pick Up"
94,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast & David Guetta","Golden (David Guetta REM/X (Extended))"
95,"Benson Boone","Beautiful Things"
96,"Disturbed","The Sound of Silence (CYRIL Remix)"
97,"The Goo Goo Dolls","Iris"
98,"Ricchi & Poveri","Sarà Perché Ti Amo"
99,"Tate McRae","you broke me first"
100,"Naza & SDM","Tout donner"
101,"Bonnie Tyler","Total Eclipse of the Heart"
102,"panicbaby","Claw Marks"
103,"TRIANGLE DES BERMUDES","Charger (feat. MC YOSHI, Mauvais djo & Kokosvoice)"
104,"DJ Japa NK, MC Meno K, MC Ryan SP & Mc Jacaré","Posso Até Não Te Dar Flores (feat. DJ DAVI DOGDOG)"
105,"Calvin Harris & Clementine Douglas","Blessings"
106,"VAD BOYZ","MUEVELOU"
107,"Phil Collins","In the Air Tonight"
108,"Albert Brite","Wild"
109,"Debbie","All Night Long"
110,"AKORGO BOYS","ДЫК КЫН ДЫШ"
111,"David Guetta, Hypaton & Bonnie Tyler","Together"
112,"Ayra Starr & Rema","Who’s Dat Girl"
113,"IZA","Doce Feito Caramelo"
114,"George Michael","Careless Whisper"
