
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"Lony Bway & Marioo","Mitano"
2,"Worship House","Africa For Jesus (Live at Worship House Church Limpopo, 2023) [feat. Mish Mahendere]"
3,"Diamond Platnumz","Sasampa (feat. Focalistic, Uncool MC, Silas Africa, Xduppy)"
4,"Urban Chords","I'm a mess (Choir Version)"
5,"Harmonize & Ibraah","Friend Zone"
6,"Diamond Platnumz","Nani"
7,"Diameter Pallet","Kidampa"
8,"Saluh","Raha"
9,"JAZZWRLD, Thukuthela & Babalwa M","uValo (feat. Dlala Thukzin)"
10,"Ntombemhlope","MAMA (feat. Tee-s Papah)"
11,"GIMS","DO YOU LOVE ME ?"
12,"Ayra Starr & Rema","Who’s Dat Girl"
13,"Ciza, Jazzworx & Thukuthela","Isaka (6am)"
14,"Goon Flavour, Master KG & Eemoh","Ngishutheni"
15,"Diamond Platnumz","Msumari"
16,"Scotts Maphuma","Sya'Waver (feat. Uncool MC, Mluusician, Dlala Regal & Shaun Stylist)"
17,"Vigro Deep, Zee Nxumalo & Ch'cco","Bhampa"
18,"Alikiba","Sella"
19,"Kedjevara","Ça fait mal"
20,"Asagwile","Teamo (feat. Godfrey Steven) [Remix]"
21,"Vestine and Dorcas","Yebo (Nitawale)"
22,"Jay Melody","Ankali"
23,"Urban Chords","badman gangsta"
24,"MaWhoo, GL_Ceejay & Thukuthela","Bengicela (feat. Jazzworx)"
25,"Nandy","Sweety (feat. Jux)"
26,"Jay Melody","Mtoto"
27,"JFS music","Dry Wave (feat. King Tone SA & Soa mattrix)"
28,"EMIN & JONY","Камин"
29,"Nissah","Ex Pole"
30,"JAZZWRLD, MaWhoo, Thukuthela & GL_Ceejay","Uzizwa Kanjan"
31,"Nana Fofie & Warren Saada","Love"
32,"Loynizer__tz","Loynizer (Goodbye)"
33,"Godfrey Steven","I Wish You Good"
34,"Blessed Hango","Upendeleo"
35,"Vanillah","Are U Ok.? (feat. Yammi)"
36,"DJ Maphorisa, Xduppy & Scotts Maphuma","Ngibolekeni (feat. Sean 1401, Leemckrazy, Blxckie, Pcee, Madumane & Kabelo Sings)"
37,"DJ Maphorisa, DJ Tunez, Wizkid & Mavo","MONEY CONSTANT"
38,"Sounds Of Afrika Music","Ombi Langu  My Desire  Thandez' Lami"
39,"Aisha Masanja","Mjini Hakuna Kugombana"
40,"Machalii Watundu","Kanali"
41,"Upendo Nkone","Uniongoze Yesu"
42,"SALIMA CHICA","SONGI SONGI"
43,"Leemckrazy & King P","AmaGlobe (feat. Pcee, Scotts Maphuma, Mpho Spizzy, Infinity MusiQ & 031choppa)"
44,"Frida Amani","Wewe na mimi (feat. Jay melody) [bongo Flava]"
45,"Zuchu & Diamond Platnumz","Inama (feat. Diamond Platnumz)"
46,"JAZZWRLD, GL_Ceejay & Thukuthela","Tholukuthi (Clap Song) [feat. MaWhoo]"
47,"Khadeair","Magumba (feat. Peekay Mzee & Kaytah)"
48,"Wayne & Tango & Spykos","Ahi Tivaneni"
49,"Marioo","DUNIA"
50,"ROLAND ROBERT","Faragha"
51,"brux XTN","Paid to Exist"
52,"DJ BREAKBEAT","Joget Sampai Lemas"
53,"Sheby kinanda classic band","Akuogope nani"
54,"Centano","Peke Yangu"
55,"Dj azo wa kitaa","Bambia (Instrumental)"
56,"Mr Pilato, Ego Slimflow & Tebogo G Mashego","Biri Marung (feat. Sje Konka, Focalistic, DJ Maphorisa, Scotts Maphuma & CowBoii)"
57,"Filbert Sangule","MAPENZI YAKO"
58,"Fally Ipupa","Mayday"
59,"DJ Maphorisa, Xduppy & Enny Man Da Guitar","Dlala Ka Yona (feat. Focalistic, Ricky Lenyora, Uncool MC & Mellow & Sleazy)"
60,"Uncle Waffles","ZENZELE (feat. Royal Musiq, CowBoii, Uncool MC & Xduppy)"
61,"Mbosso","Nusu Saa"
62,"Maunda Zorro","Mapenzi Ya Wawili"
63,"Madilu System","Ya Jean"
64,"Marioo","MVUA"
65,"Dj mushizo, Dogo Mallo, Kusah & Country Wizzy","Staki Mazoea"
66,"Mluusician, Ricky Lenyora & DJ Maphorisa","Malacosta (feat. Vulela Maweekend, Mark Khoza & Angekebabuye mc)"
67,"Alex Warren","Ordinary"
68,"Killy Tz","Mwisho"
69,"Ice Prince","Oleku (feat. Brymo)"
70,"Harrycane & Eemoh","Vula Sekele"
71,"Dayoo, Ibraah & Miso Misondo","Kumaanisha"
72,"Joshua Baraka","Wrong Places"
73,"Dj Skizoh Bw, Master KG & Eemoh","Tsiri Tsiri (feat. DJ Kap)"
74,"Mbosso","Siko Single"
75,"Joel Lwaga","Saa Hii"
76,"Devrix Da Fubu","Je ?"
77,"GENIUSJINI X66","Sale Sale (feat. Jay Melody)"
78,"Mbosso","Pawa"
79,"Vanillah","I Gat U"
80,"Rostam","Abdul (Roma vs Stamina)"
81,"EeQue, Pcee & Royal Musiq","Ke Wave"
82,"Diamond Platnumz","Katam (feat. Bien)"
83,"Pipijojo","Chakacha"
84,"ZAiiD","Vitoto vya 2000 (feat. Ndaro)"
85,"Ciza, Tems & Omah Lay","Isaka II (6am)"
86,"Single Dee & Alikiba","Focus (Remix)"
87,"Loreen","Tattoo"
88,"Davido","With You (feat. Omah Lay)"
89,"The Unveiled","Tungamira"
90,"Maino","All the Above (feat. T-Pain)"
91,"CowBoii, Fada Figa & Papiki","Mdantso Nyana (feat. Leemckrazy & Macdeedozer)"
92,"Dogo Paten","Sikupendi"
93,"Turi Bayoz & SALIMA CHICA","Matekita"
94,"DJ Maphorisa, Tyler ICU & Visca","Izolo (feat. Madumane, Mpura & Daliwonga)"
95,"Roga Roga","Bokoko (feat. Extra Musica)"
96,"Whozu","Gere (feat. Alikiba)"
97,"Dj pacheko midundo","Tia Mguu (feat. Mama amina & Mkadebe)"
98,"Abongo Jakabwana","Digi Digi"
99,"Chino Kidd & Mdogo sajent","Tunakuja (feat. Mfana Kah Gogo & Deestar ZA)"
100,"TNK MusiQ, DJ Maphorisa & Seun1401","Uyaphapha Marn (feat. Scotts Maphuma & Kabelo Sings)"
101,"Wapendwa Muziki","Amefanya Mungu"
102,"Kabza De Small","Remix (feat. DJ Maphorisa & Masterpiece)"
103,"Dean Lewis","With You"
104,"Chris Brown","Angel Numbers / Ten Toes"
105,"Spirit-Boyz, Sedii_M & Malemon","Coke Water"
106,"JAY-Z & Mr Hudson","Young Forever"
107,"Marioo & ELEMENT EleéeH","Njozi"
108,"Rayvanny & SALIMA CHICA","Songi Songi"
109,"Mukololo, Mazet & Lucia Dottie","Zwiya Deeper (feat. Megadrumz, Dj Skizoh BW & Maq D) [Zwiya Difha]"
110,"Israel Mbonyi","Malengo Ya Mungu (Live)"
111,"Thukuthela, GL_Ceejay, JAZZWRLD & Makhadzi Entertainment","uMoya"
112,"FloyyMenor & Cris MJ","Gata Only"
113,"Benson Boone","In The Stars"
114,"Beenie Man","Dude (feat. Ms. Thing)"
115,"Mose Se Sengo "Fan Fan"","Papa Lolo"
116,"Thukuthela, JAZZWRLD, Sykes & Major League DJz","uMA weNGANE"
117,"Khalil Harrison & Tyler ICU","Jealousy (feat. Leemckrazy & Ceeka RSA)"
118,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast","Golden"
119,"OSKIDO","Tsa Ma Ndebele Kids (feat. Candy) [Mixed]"
120,"AbduKiba","Uyo sio demu (feat. Neiba & Nay Wa Mitego)"
121,"Msomali","Si Unajua? (feat. Meddy Voice)"
122,"Nelly","Just A Dream (Main)"
123,"Luvuyo SMA","Lovey dovey (feat. Catalyst & Selbisticsoul)"
124,"Ed Sheeran","Perfect"
125,"Iyanya","One Side"
126,"Spack (Tz)","Usiniache"
127,"Barnaba","Salama (feat. Diamond Platnumz)"
128,"Asagwile","Ndoa"
129,"Diamond Platnumz","Far Away (feat. Vanessa Mdee)"
130,"Afara Tsena","Afro Mbokalisation"
131,"Lony Bway","Mitano Tena"
132,"Naomi Raine","God Will Work It Out"
133,"Phany Love","Forever"
134,"Jay Melody","Nishalowa (feat. Alikiba)"
135,"Preston Pablo","Dance Alone"
136,"Asagwile","Aliye Niokoa"
137,"SUNNY VOICE","Kwa mfano"
138,"Miles Montana, HBK Live Act & Prince The Keyboo","Joy"
139,"Vestine and Dorcas","Emmanuel"
140,"lordkez","Aweh"
141,"Fireboy DML","Dopamine"
142,"Mzee wa Bwax & D Voice","Ganda"
143,"KMK MAKUBURI","Tegemeo Letu"
144,"Dogo Mallo","Kila Mtu na Maisha Yake"
145,"KIDENSA MC","Naoa (Live)"
146,"Svg melody","NOT YET"
147,"Amanda diana","Yesu owamazima"
148,"Qing Madi","American Love"
149,"Goodluck Gozbert","Narudisha Sifa"
150,"Phina","Kesho Yako"
151,"Camidoh, Mayorkun & Darkoo","Sugarcane (feat. King Promise) [Remix]"
152,"Tshala Muana","Kokola"
153,"Asagwile","Baba (feat. Walter Chilambo)"
154,"Faith Captain","Oshimiri Atata (Live)"
155,"Don Williams","Jamaica Farewell"
156,"Luambo Makiadi","Franco de mi amor (Franco Medley Matata Ya Muasi Na Mobali Ekoki Kosila Te / Azda / Mamou / Mario /Liberté)"
157,"Young Stunna","Adiwele (feat. Kabza De Small & Dj Maphorisa)"
158,"Bien","Chikwere"
159,"Kanda Bongo Man","Muchana"
160,"S'Villa","Jehovah (feat. Zuma)"
161,"MOLIY, Silent Addy, Skillibeng & Shenseea","Shake It To The Max (FLY) [Remix]"
162,"Harmonize","Kidedea"
163,"CEO Blessed DJ Savage liquid FM","nanotechnology mind control"
164,"Fally Ipupa","Mal accompagné"
165,"JAZZWRLD, Thukuthela & GL_Ceejay","Abasekho"
166,"Marioo","TETE"
167,"Joel Lwaga","Olodumare"
168,"Kaje Double Killer","Future"
169,"Kuduro","Oito"
170,"Diamond Platnumz","Kuna"
171,"Dj mushizo","Mapenzi Hisia (feat. Jetty Mc, Vanillah, Baddest 47 & Jay Combat)"
172,"Fally Ipupa","Associé"
173,"Mczo Morfan (Big)","SIPESA TU"
174,"Jay Melody","Sina"
175,"Omah Lay","i'm a mess"
176,"Tuzo Jeromini","Tupe Amani Tupe Faraja"
177,"Christian Bella","Chuchuchu"
178,"Marwan Khoury","Crystal"
179,"Miles Away","Bring Me Back (feat. Claire Ridgely) [Sped Up]"
