
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"Taylor Swift","Opalite"
2,"伯爵Johnny & Annie","伯虎说 (卡点版)"
3,"Taylor Swift","The Fate of Ophelia"
4,"SEA.","สมดุลรัก (Balance) [feat. Sexski]"
5,"WANYAi","ดาวตก (Wish) [feat. Z9]"
6,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast","Golden"
7,"Hers","ทีละน้อย"
8,"MvnnyMusik","Your Number |Zess|"
9,"Kehlani","Folded"
10,"AOA","Miniskirt (Karaoke Version)"
11,"sombr","back to friends"
12,"PlaqueBoyMax, Rakai & BunnaB","TURN UP"
13,"Kid Cudi","Maui Wowie"
14,"PURPEECH","กลัวว่าฉันจะไม่เสียใจ (Fear) [Live]"
15,"Tyler, The Creator","Sugar On My Tongue"
16,"伯爵Johnny & Annie","伯虎说 (左右环绕版)"
17,"Lana Del Rey","Cinnamon Girl"
18,"NONT TANONT","Time Flies (feat. Jeff Satur)"
19,"Charli xcx & Caroline Polachek","Everything is romantic featuring caroline polachek"
20,"Yes'sir days","ฝากให้เขารัก"
21,"Kantong Tungngern","แก้บน"
22,"EMIN & JONY","Камин"
23,"Alex Warren","Ordinary"
24,"Reneé Rapp","I Think I Like You Better When You’re Gone"
25,"Jin","Don’t Say You Love Me"
26,"LBI","Jumping Machine (跳楼机)"
27,"Olivia Dean","So Easy (To Fall In Love)"
28,"NJoinPlay","วันที่อ่อนแอ (Acoustic)"
29,"The Marías","No One Noticed"
30,"Billie Eilish","BIRDS OF A FEATHER"
31,"Violette Wautier","wanna be yours (อยากให้เธอรัก)"
32,"Minh Kresek","ฉันมันก็ดีได้แค่นี้"
33,"Etc. & The Parkinson","เมื่อไหร่จะบอก"
34,"PP Krit","What's going on"
35,"Madison Beer","bittersweet"
36,"LISA","Dream"
37,"FirstOne","จากฝัน (Reality) Ost.เขมจิราต้องรอด"
38,"Furacão 2000","Mimosa 2000"
39,"BamBam","WONDERING"
40,"Justin Bieber","Flatline"
41,"NS-NICK","ใครก็ได้ที่ไม่ใช่ฉัน"
42,"POOKIELUV","Miniskirt x Twenty-Five (Min's Remix)"
43,"KATSEYE","Gabriela"
44,"The 38 Years Ago","อ๊ะป่าว"
45,"Tate McRae","Just Keep Watching (From F1® The Movie)"
46,"BOWKYLION","ที่คั่นหนังสือ (Sometimes) [feat. NONT TANONT]"
47,"Disco Lines & Tinashe","No Broke Boys"
48,"Don Miguelo","Y Qué Fue?"
49,"NJoinPlay","แค่พักสักวัน"
50,"BLACKPINK","JUMP"
51,"Joey Phuwasit","Move On แบบใด"
52,"Matshubaba Studio","แค่ในใจ"
53,"Lana Del Rey","Young And Beautiful"
54,"Ravyn Lenae","Love Me Not"
55,"SKAI ISYOURGOD","Stacks from All Sides"
56,"Season Five","อยากอินเพลงรัก (feat. No One Else)"
57,"CORTIS","GO!"
58,"Gigi Perez","Sailor Song"
59,"คนกรุงเก่าเล่าเพลง","ชาติหน้าอาจไม่มีจริง"
60,"Olivia Dean","Man I Need"
61,"Cocktail","Yours Ever (feat. Q Flure)"
62,"Ryan.B & Effie","No Reason"
63,"FloyyMenor & Cris MJ","Gata Only"
64,"抓猫的鱼","南下的白鲸 (DJ House版伴奏)"
65,"keshi","WANTCHU"
66,"LISA","Thunder"
67,"Kendrick Lamar, SZA","All The Stars"
68,"Christina Perri","A Thousand Years"
69,"Sabrina Carpenter","Tears"
70,"KENG HARIT","มนตรา (Mantra) [เพลงประกอบซีรีส์ “เขมจิราต้องรอด”]"
71,"T-Pain","Up Down (Do This All Day) [feat. B.o.B]"
72,"โชเลย์ ชคัทพล","โปรดส่งเรามาคู่กันอีกได้ไหม"
73,"Kelis","Milkshake"
74,"NJoinPlay","วันที่อ่อนแอ (Live concert)"
75,"Only Monday","ยอมอยู่แล้ว (feat. ปั๊บ Potato)"
