
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"DYSTINCT","YAMA"
2,"EMP1RE","NAFS"
3,"Abdou Gambetta & Raouf Samourai","Rani out"
4,"Cheb Faycal","Waara hadi el waara"
5,"Madcon","Beggin'"
6,"A$AP Rocky","1 Train (feat. Kendrick Lamar, Joey Bada$$, Yelawolf, Danny Brown, Action Bronson & Big K.R.I.T.)"
7,"Pause","Cage"
8,"SC PAPI","N.L.R"
9,"Samara","Taîm"
10,"Cheb Âmrou","C'est toi que jaime"
11,"Mr-SKiLLS","Nensahom - ننساهم"
12,"EMIN & JONY","Камин"
13,"JenJoon","MCHEW !"
14,"El Castro","مضيق"
15,"SayaX","Mrid"
16,"Kid Cudi","Maui Wowie"
17,"GP Explorer, ElGrandeToto & La Mano 1.9","Thunes (feat. Zed)"
18,"Lvbel C5","HAVHAVHAV"
19,"Cheb Momo","Atiteha l'amour عطيتها"
20,"Phénix BBJ","FONFOND (feat. Kamara & Scara Ko)"
21,"DJ P2N & Yvon Yusuf","Zamo"
22,"Cheb hakim","Win Raki Zayda biha Hyati Damartiha (feat. Kacimou Nouni)"
23,"La mass le vrai","Safi"
24,"Draganov","3DABI"
25,"Mr-SKiLLS","قراري / karari"
26,"nour","Meen Ysadak (feat. Eldab3)"
27,"Trippie Redd & Diplo","Wish (Audiomack Trap Symphony Version)"
28,"Costi","Mare e lumea"
29,"TRIANGLE DES BERMUDES","Charger (feat. MC YOSHI, Mauvais djo & Kokosvoice)"
30,"ليل المحمدي","ما تيجي نركن الزعل"
31,"Samara","Lahnina"
32,"ZDEFF","DHOLI (PURE SESSION)"
33,"Samara","911"
34,"GIMS","Habibi (Pilule Bleue)"
35,"TUL8TE","Heseeny"
36,"CEO Blessed DJ Savage liquid FM","nanotechnology mind control"
37,"Charli xcx & Caroline Polachek","Everything is romantic featuring caroline polachek"
38,"Kaso","Ya Baba"
39,"Samara","Armano"
40,"Blingos & Balti","Qadari"
41,"Delarue, Morad & ElGrandeToto","Obligación"
42,"YAKUZA","TNS"
43,"SayaX","Dou3na"
44,"SKAI ISYOURGOD","Stacks from All Sides"
45,"Shakira","Addicted to You"
46,"Cheba Hind","Mayna"
47,"Young RZ","Mafiosa"
48,"El Castro","Retroviseur (feat. A.L.A)"
49,"L'vibe","VOLCAN #2 (feat. BLADE)"
50,"Cheb Faycal","Galbek houa lbanka (Live)"
51,"ZXKAI & slxughter","NO BATIDÃO (Slowed)"
52,"Cairokee","Basrah w Atooh"
53,"Furacão 2000","Mimosa 2000"
54,"Ahlam El-Yamani","El-Hob W-Nareh"
55,"Draganov","Tach"
56,"Chaba Samira l'Oranaise","Nebghi"
57,"Madcon","Beggin'"
58,"Nancy Ajram","Ya Salam"
59,"Desert Blues","Itel"
60,"Mert","Ajajaj (feat. Soolking)"
61,"Bilel Tacchini","عشقك ادمان"
62,"Samara","Paroles"
63,"Samara","Zayn (Outro)"
64,"Bady Maestro","ما غاضتنيش العشرة يتبلع باب ينحلو 10"
65,"Samara","Vegas (feat. Stou)"
66,"FloyyMenor & Cris MJ","Gata Only"
67,"Samara","VxV (Intro)"
68,"Tchiggy","3al 7dida"
69,"El Castro","L.E.V.E.L .6 (feat. A.L.A)"
70,"El Katiba & G.G.A","Zippette"
71,"Samara","Lasmer"
72,"Dr. Dre","Still D.R.E. (feat. Snoop Dogg)"
73,"Khalass & Ghania","Daouar daouar"
74,"Adam","Ya Helou"
75,"Amine Matlo","Hiya Tzewjet"
76,"Anas","Sugar Daddy (feat. Cheb Faycal)"
77,"Young RZ","Lamine Yamal"
78,"Sayfalse, Cape & Jxndro","Montagem Rugada"
79,"TUL8TE","El Hob Gany"
80,"Stoor","Melina (feat. lferda)"
81,"Raja Meziane","Doña Victoria"
82,"Samara","Houma Skhouna 2"
83,"Amr Diab","Baba"
84,"Amr Diab","Khalik Maaya"
85,"Albert Brite","Wild"
86,"Mr-SKiLLS","دير بالك - Dir Balak"
87,"Nordo","Tamam"
88,"Amir Ben Romdhane","Snin Tejri Bia"
89,"King of Yemeni art","الوفاء ماتغير - سالم المسعودي جلسة حصرية"
90,"Don Miguelo","Y Qué Fue?"
91,"Otilia","Bilionera (Radio Edit)"
92,"PNL","Autre monde"
93,"Khalil Harrison & Tyler ICU","Jealousy (feat. Leemckrazy & Ceeka RSA)"
94,"Bleu Soleil & LUIZA","Soleil Bleu"
95,"Lana Del Rey","Cinnamon Girl"
96,"Ali Alabedi","كلمة راجل (feat. صلاح الورفلى)"
97,"Nicki Minaj","Beez In The Trap (feat. 2 Chainz)"
98,"Cheb Mirou","Malek Ya Zahri"
99,"Abraham Mateo & Ana Mena","Quiero Decirte"
100,"Didine Canon 16","Moujat El Babour (feat. Chemsou Freeklane)"
101,"ElGrandeToto","BGHAWNI"
102,"Tim Duzit","Kat Slater (Native Remedies Remix)"
103,"Tagne","Nadi Canadi"
104,"HUGEL, Topic & Arash","I Adore You (feat. Daecolm)"
105,"Dhaf","Tout Seul 1"
106,"Samara","Mabghitchi"
107,"Cheb Mourad","Manich Mrigel"
108,"Cheb Rami Ck & ���Dark Studio������","La Taille  هي دارت لاطاي و انا طاحت صحتي"
109,"Dj Bogy","ما تبكيش قدامي (حالات واتس اب حزين)"
110,"LoVibe.","a good man with a broken heart"
111,"Himo 4k","a9liya carre (LIVE)"
112,"Rai Maghreb","Dima Yasrali (feat. Cheb Momo)"
