
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"Nikbinler","Eylülzede"
2,"Semicenk","Sen Kaldın"
3,"melih","Keşkelerle Süslenen Sonbaharlar / Elvedayla Süslenmiş Bir Yarının Dünündeyim"
4,"Çağla & Doğu Swag","Seni Düşündüm"
5,"Sahipsiz Şarkılar","Gitme bu gece"
6,"Anatolian Psych Rock Lab","Bu Şehir Girdap Gülüm"
7,"Murat Göğebakan","Diğer Yarım"
8,"Semicenk","Çıkmaz Bir Sokakta"
9,"Demet Özdemir","Ah Yar"
10,"Selda Bağcan","Sürgün"
11,"Şam & Laçin","Kendine İyi Bak"
12,"İzmirli Volkan","Acelem Yok"
13,"Rubar Amed","Bêzari (feat. Sultan Özünlü)"
14,"Anatolian Psych Rock Lab","Acem Kızı"
15,"Amo988","Sar Zamanımızı Geriye"
16,"Yüksel Baltacı","Haram"
17,"Charli xcx & Caroline Polachek","Everything is romantic featuring caroline polachek"
18,"UZI & Motive","Şarkılar Sokaklara Ait"
19,"Trippie Redd & Diplo","Wish (Audiomack Trap Symphony Version)"
20,"İntizar","Büyük İnsan"
21,"Postmodern Anadolu","Verin Benim Sevdiğimi"
22,"SoundAura","Ava Yaman - Karabulut (Taşacak Bu Deniz Dizi Müziği)"
23,"SoundAura","Elif Su Baltacı - Krimata (Taşacak Bu Deniz Dizi Müziği)"
24,"Pikapta Raks","Toroslu Yollar"
25,"BLOK3","napıyosun mesela ?"
26,"Sherine","بتمنى انساك"
27,"Fasıl-ı Jazz","Yekte"
28,"Cem Yıldız","Mânâ"
29,"Poizi","PERDE"
30,"EMIN & JONY","Камин"
31,"Simar","Zap"
32,"Cem Adrian","Ben Seni Çok Sevdim"
33,"Ziynet Demir","Dera Sore Picuke"
34,"BLOK3","git"
35,"Canbay & Wolker & Aleyna Kalaycıoğlu","EPEY ZAMAN GEÇTİ"
36,"Ömer Winson","iki kişiyiz yanımda batu var"
37,"Ercan Demirel","Elveda Deme Bana"
38,"Sezen Aksu","Son Bakış"
39,"Gülay Sezer","Cesaretin Var Mi Aska"
40,"Mehmet Hamdi Bol","Kuşlar Benide Alın"
41,"Tim Duzit","Kat Slater (Native Remedies Remix)"
42,"Furacão 2000","Mimosa 2000"
43,"Inna","Caliente (Radio Edit)"
44,"Afra & Sefo","Aşiyan"
45,"İskender Paydaş","Batsın Bu Dünya (feat. BBD Korosu)"
46,"Norm Ender & Ebru Gündeş","Bir Çift Göz"
