
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"Urban Chords","I'm a mess (Choir Version)"
2,"Abongo Jakabwana","Digi Digi"
3,"Ayra Starr & Rema","Who’s Dat Girl"
4,"Vinka","Lalala (Instrumental)"
5,"Elijah Kitaka","Daily Bundle"
6,"Goon Flavour, Master KG & Eemoh","Ngishutheni"
7,"Pawaboy AB","Yandalula"
8,"Tracy Melon","Tovayo"
9,"Urban Chords","badman gangsta"
10,"Omega 256","See You Tonight (feat. Cindy Sanyu)"
11,"Spice Diana","Nze Nakiriza (feat. Vyroota)"
12,"Alien Skin Official","Ki Uganda Ki Nyuma"
13,"Karole Kasita","Go (feat. Elijah Kitaka) [Remix]"
14,"Da Agent Official","BALIWA"
15,"Ntombemhlope","MAMA (feat. Tee-s Papah)"
16,"World hive","God of miracles"
17,"JAZZWRLD, Thukuthela & Babalwa M","uValo (feat. Dlala Thukzin)"
18,"Aroma Music & An-Known","Mpeke"
19,"Ciza, Jazzworx & Thukuthela","Isaka (6am)"
20,"Alex Warren","Ordinary"
21,"Dokta Brain","Juuju"
22,"Gunna UG 5th Genna","Yankozesa"
23,"KiDi, Olivetheboy & KOJO BLAK","Gymnastic"
24,"JAZZWRLD, GL_Ceejay & Thukuthela","Tholukuthi (Clap Song) [feat. MaWhoo]"
25,"Fireboy DML","Dopamine"
26,"AaronX","Permission"
27,"Sheebah","Wesibadde"
28,"Joshua Baraka & JAE5","Dive In"
29,"Joshua Baraka","Wrong Places"
30,"Nandor Love","Soloboka (feat. Mad King)"
31,"Dax Vibez & Elijah Kitaka","Good Idea"
32,"KAYZ AND BOBOSA","KANJOOGE"
33,"Dire Straits","Walk of Life"
34,"Kunmie","Arike"
35,"MaWhoo, GL_Ceejay & Thukuthela","Bengicela (feat. Jazzworx)"
36,"JAZZWRLD, MaWhoo, Thukuthela & GL_Ceejay","Uzizwa Kanjan"
37,"Tracy Melon","Ogenda Kukilaba"
38,"Abigail Chams & Harmonize","Me too"
39,"Liam Voice","Biggwa (feat. Fik Fameica)"
40,"EMIN & JONY","Камин"
41,"Woman Evolve Worship & Tasha Cobbs Leonard","All Authority (LIVE)"
42,"Ray G","Ow’eishe"
43,"Nina Roz","Mekete (feat. Roden Y)"
44,"Sandra Naxx","Nepanka"
45,"Kidd Carder","Calculate"
46,"Davido","With You (feat. Omah Lay)"
47,"Kevin Kade","SiKOSA (feat. ELEMENT EleéeH)"
48,"LIL PAZO LUNABE MUSIC","Ekisododo (feat. Latinum)"
49,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast","Golden"
50,"Preston Pablo","Dance Alone"
51,"Axon & Denim Cartel","Ni**as In Fashion (feat. Soundlykbb & Tai Dai)"
