
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"Albert Brite","Wild"
2,"KATO","Turn The Lights Off (feat. Jon)"
3,"Musicairecords","Riki Tiki"
4,"SABI & MIA BOYKA","Базовый минимум"
5,"TAYANNA & FIЇNKA","Миленький"
6,"Trippie Redd & Diplo","Wish (Audiomack Trap Symphony Version)"
7,"Jerry Heil","Додай гучності (12 points)"
8,"Jax Jones","Breathe (feat. Ina Wroldsen)"
9,"Анна Трінчер","No cocaina"
10,"Charli xcx & Caroline Polachek","Everything is romantic featuring caroline polachek"
11,"Jakone & Kiliana","Жиганская"
12,"Furacão 2000","Mimosa 2000"
13,"Icegergert & Zivert","БАНК"
14,"Ваня Дмитриенко & Аня Пересильд","Силуэт (из к/ф «Алиса в Стране Чудес»)"
15,"Shannon Jae Prior","The Usual (feat. Jesse Scott)"
16,"Dan Korshunov & Кэнни","Сколько их было"
17,"Abraham Mateo & Ana Mena","Quiero Decirte"
18,"Shakira","Addicted to You"
19,"CEO Blessed DJ Savage liquid FM","nanotechnology mind control"
20,"ELMAN","С неба (feat. TRIDA)"
21,"Sayfalse, Cape & Jxndro","Montagem Rugada"
22,"Alex Warren","Ordinary"
23,"Alena Omargalieva & MamaRika","Не ходи"
24,"NORD DIVISION, FCK FAMOUS GROUP, BESSMERTNII & HERITAGE SQUAD","ЛОНГМІКС (feat. REBUS, Монолог, 1032, Rubicon, YaZheYao & Потікша Фляга)"
25,"Tyler, The Creator","Sugar On My Tongue"
26,"FIЇNKA","Афини"
27,"brux XTN","Paid to Exist"
28,"Bad Omens","Dying To Love"
29,"Albert Brite","Wild (Sped Up)"
30,"ZXKAI & slxughter","NO BATIDÃO (Slowed)"
31,"Златенция","Маленькой девочкой"
32,"Simply Three","Bad Guy"
33,"LoVibe.","a good man with a broken heart"
34,"АлСми","Базовый минимум"
35,"Marshroot","Переболить (Reworked 2025)"
36,"Garik Garik","Судьба капканы расставит, а я их вновь обойду"
37,"BONES","CtrlAltDelete"
38,"张佳伊","劳动光荣"
39,"KREMENTSOVA","Побачення"
40,"hatikoali","GO!"
41,"Ivan Dorn","La Re"
42,"Victoria Niro","Питань нема"
43,"Albert Brite","Я хочу каждый твой атом"
44,"PATSYKI Z FRANEKA","Серце"
45,"Dj David Braun","Осінь прийшла. Autumn has come (feat. Anna Helmut)"
46,"Drevo","Генгста"
47,"Ваня Дмитриенко","Шёлк"
48,"David Guetta, Teddy Swims & Tones And I","Gone Gone Gone"
49,"AKORGO BOYS","ДЫК КЫН ДЫШ"
50,"Mr. Menace & Sir Soaked","S.I.A.S.D."
51,"DNK","Армагедон"
52,"Lolita","90-е"
53,"Doppiez","Почему"
54,"Dj David Braun","I have a dream"
55,"Fontaines D.C.","Starburster"
56,"Basta","Голос (feat. Полина Гагарина)"
57,"Taylor Swift","The Fate of Ophelia"
58,"Aphex Twin","Pulsewidth"
59,"GIMS","Habibi (Pilule Bleue)"
60,"Gorod 312","Фонари"
61,"Empire Of The Sun","We Are The People"
62,"Drevo","Смарагдове небо"
63,"EBEN","Hurts"
64,"Amaya Roma","Караоке"
65,"Icegergert & SKY RAE","Наследство"
66,"Scissor Sisters","It Can't Come Quickly Enough"
67,"SKAI ISYOURGOD","Stacks from All Sides"
68,"Pierce the Veil","So Far So Fake"
69,"NIKITA","French Kiss"
70,"Klavdia Petrivna","Осінь"
71,"Sting","Shape Of My Heart"
72,"Zmeex","Shadow"
73,"Las eras","Constitución"
74,"Electrobirds","Листівки"
75,"Argy & Omnya","Aria"
76,"George Michael","Careless Whisper"
77,"Lali Gordzamashvili","ლურჯი იები-Blue Violets"
78,"Endshpil","10"
79,"Sean Paul & Keyshia Cole","(When You Gonna) Give It Up to Me (Radio Version)"
80,"CHEEV","Раз в житті"
81,"Falling In Reverse","God Is a Weapon (feat. Marilyn Manson)"
82,"LuxeMan","Sky of Love"
83,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast","Golden"
84,"JACOTÉNE","Leave Me (Please Don't Leave Me)"
85,"Maestro Barsik","Ти поверни любов"
86,"Amaya Roma","Ніч"
87,"NEIKED & Portugal. The Man","Glide"
88,"Justin S","My Love"
89,"Vanco","Ma Tnsani (Yalla Habibi) [feat. AYA]"
90,"LYRA Music UA","Сонцем стану"
91,"Monetochka","Каждый раз"
92,"44","Не Моя"
93,"Teddy Swims","Bad Dreams"
94,"Nicki Minaj","Beez In The Trap (feat. 2 Chainz)"
95,"Kid Cudi","Maui Wowie"
96,"Timbaland","Give It to Me (feat. Justin Timberlake & Nelly Furtado)"
97,"Pitbull","Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)"
98,"DIANAMusic & Musicland","Хочу тебе, тебе хочу!"
99,"PlaqueBoyMax, Rakai & BunnaB","TURN UP"
100,"Шугар","Ягода"
101,"Dave King","Right Back (Original Mix)"
102,"2hollis","poster boy"
103,"Armin van Buuren","In and Out of Love (feat. Sharon den Adel)"
104,"Don Toliver","Lose My Mind (feat. Doja Cat) [From F1® The Movie]"
105,"Anton Ishutin","For You (Nezhdan Remix) [feat. Note U]"
106,"Disturbed","The Sound of Silence (CYRIL Remix)"
107,"Ostap Drivko","Я тебе зловлю"
108,"Youssou N'Dour","7 Seconds (feat. Neneh Cherry)"
109,"RAYE","WHERE IS MY HUSBAND!"
110,"4 Non Blondes","What's Up?"
111,"Tate McRae","you broke me first"
112,"Boombox","Твій на 100%"
113,"dabbackwood","не попался"
114,"Jeny Vesna","Отъебитесь"
115,"DIANAMusic & Musicland","Ти моя півонія"
