
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"Karan Aujla & Ikky","For A Reason"
2,"Taylor Swift","The Fate of Ophelia"
3,"DYSTINCT","YAMA"
4,"Naza & SDM","Tout donner"
5,"Maqbool Mansoor","Salam"
6,"EMIN & JONY","Камин"
7,"Sai Abhyankkar, Paal Dabba, bebhumika & Deepthi Suresh","Oorum Blood (From "Dude")"
8,"Vanco","Ma Tnsani (Yalla Habibi) [feat. AYA]"
9,"FloyyMenor & Cris MJ","Gata Only"
10,"Olivia Dean","Man I Need"
11,"Gyanii Sangeet","Teri Teri Yaad"
12,"Charli xcx & Caroline Polachek","Everything is romantic featuring caroline polachek"
13,"Trippie Redd & Diplo","Wish (Audiomack Trap Symphony Version)"
14,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast","Golden"
15,"Vijay Antony & Sangeetha Rajeshwaran","Ichu Ichu"
16,"Kid Cudi","Maui Wowie"
17,"Drake & Central Cee","Which One"
18,"Furacão 2000","Mimosa 2000"
19,"CEO Blessed DJ Savage liquid FM","nanotechnology mind control"
20,"Sherine","بتمنى انساك"
21,"Jonas Blue & Malive","Edge of Desire"
22,"sombr","back to friends"
23,"Alex Warren","Ordinary"
24,"Ed Sheeran","Sapphire"
25,"Ayra Starr & Rema","Who’s Dat Girl"
26,"SKAI ISYOURGOD","Stacks from All Sides"
27,"Easykid","Shiny"
28,"Sachet-Parampara, Sachet Tandon, Parampara Tandon, Irshad Kamil & Prashant Pandey","Humsafar (From "Saiyaara")"
29,"Khalil Harrison & Tyler ICU","Jealousy (feat. Leemckrazy & Ceeka RSA)"
30,"HUGEL, Topic & Arash","I Adore You (feat. Daecolm)"
31,"Aksomaniac, Fatboi Raccoon & Shreyas","Paapam"
32,"WizTheMc & bees & honey","Show Me Love"
33,"TUL8TE","El Hob Gany"
34,"Tkandz & CXSPER","Now or Never"
35,"Ravyn Lenae","Love Me Not"
36,"Vishal Mishra, Kaushik-Guddu & Kunaal Vermaa","Deewaniyat (From "Ek Deewane Ki Deewaniyat") [Original Soundtrack]"
37,"Disco Lines & Tinashe","No Broke Boys"
38,"Urban Chords","I'm a mess (Choir Version)"
39,"Don Toliver","Lose My Mind (feat. Doja Cat) [From F1® The Movie]"
