
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"Taylor Swift","The Fate of Ophelia"
2,"Sam Fender","Back To Black (BBC Radio 1 Live Session)"
3,"Lewis Capaldi","Something In The Heavens"
4,"RAYE","WHERE IS MY HUSBAND!"
5,"Fontaines D.C.","Starburster"
6,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast","Golden"
7,"David Guetta, Teddy Swims & Tones And I","Gone Gone Gone"
8,"Olivia Dean","Man I Need"
9,"Taylor Swift","Opalite"
10,"Sammy Virji, Spice & Flowdan","Match My Mood"
11,"Sonny Fodera, D.O.D & Poppy Baskcomb","Think About Us"
12,"Olivia Dean","So Easy (To Fall In Love)"
13,"Jalen Ngonda","All About Me (Dub)"
14,"Myles Smith","Stay (If You Wanna Dance)"
15,"Lady Gaga","The Dead Dance"
16,"Siouxsie & The Banshees","The Passenger"
17,"SIENNA SPIRO","Die On This Hill"
18,"Ed Sheeran","Sapphire"
19,"sombr","12 to 12"
20,"Alex Warren","Ordinary"
21,"Laura Branigan","Self Control"
22,"Ruelle","The Other Side"
23,"sombr","undressed"
24,"Rosalie Craig","Violet"
25,"Tkandz & CXSPER","Now or Never"
26,"Sam Fender & Elton John","Talk to You"
27,"Lola Young","Messy"
28,"Disco Lines & Tinashe","No Broke Boys"
29,"Calvin Harris & Jessie Reyez","Ocean"
30,"Tame Impala","Dracula"
31,"Ed Sheeran","Camera"
32,"Trippie Redd & Diplo","Wish (Audiomack Trap Symphony Version)"
33,"Charli xcx & Caroline Polachek","Everything is romantic featuring caroline polachek"
34,"James Hype","Waterfalls (feat. Sam Harper & Bobby Harvey)"
35,"MK & Clementine Douglas","Come Find Me"
36,"4 Non Blondes","What's Up?"
37,"Kehlani","Folded"
38,"The Last Dinner Party","Nothing Matters"
39,"Gunna","wgft (feat. Burna Boy)"
40,"Nicki Minaj","Beez In The Trap (feat. 2 Chainz)"
41,"Chappell Roan","Good Luck, Babe!"
42,"Dave & Tems","Raindance"
43,"Kid Cudi","Maui Wowie"
44,"Portishead","Roads"
45,"Miley Cyrus","Secrets (feat. Lindsey Buckingham & Mick Fleetwood)"
46,"Cara Dillon","The Parting Glass"
47,"KATSEYE","Gabriela"
48,"Furacão 2000","Mimosa 2000"
49,"Calvin Harris & Clementine Douglas","Blessings"
50,"Mick Jagger","Strange Game (From The ATV+ Original Series "Slow Horses”)"
51,"Chappell Roan","Pink Pony Club"
52,"Friction","Never Know (Love You So)"
53,"Q Lazzarus","Goodbye Horses"
54,"EsDeeKid & Rico Ace","Phantom"
55,"GIVĒON","Dancing in the Smoke (From the Netflix Series "Nobody Wants This" Season 2)"
56,"Olivia Dean","Nice To Each Other"
57,"Ayra Starr & Rema","Who’s Dat Girl"
58,"Cat Burns","There's Just Something About Her"
59,"ROSÉ & Bruno Mars","APT."
60,"Benson Boone","Beautiful Things"
61,"Fred again.., Skepta & PlaqueBoyMax","Victory Lap"
62,"Massive Attack","Dissolved Girl"
63,"Skunk Anansie","Weak"
64,"Olive","You're Not Alone"
65,"KELSON","Way down We Go (Acoustic Version)"
66,"Alex Warren","Carry You Home"
67,"Anne-Marie","DEPRESSED"
68,"Tate McRae","TIT FOR TAT"
69,"Adriano Celentano","Prisencolinensinainciusol"
70,"Mobb Deep, Nas & Jorja Smith","Down For You"
71,"DYSTINCT","YAMA"
72,"Muse","Feeling Good"
73,"Rihanna","Stay (feat. Mikky Ekko)"
74,"Drake & Central Cee","Which One"
75,"EMIN & JONY","Камин"
76,"Sam Ryder","Better Man"
77,"Susanna Hoffs","Happy Together (feat. Rufus Wainwright)"
78,"The Goo Goo Dolls","Iris"
79,"Robbie Williams","Pretty Face"
80,"Sabrina Carpenter","Manchild"
81,"Siouxsie","Here Comes That Day"
82,"P!nk","Don't Let Me Get Me (Radio Edit)"
83,"Ravyn Lenae","Love Me Not"
