
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"Roze Oficial, Max Carra, Valen & RAMKY EN LOS CONTROLES","Tu jardín con enanitos"
2,"Taylor Swift","The Fate of Ophelia"
3,"The La Planta, Flor Alvarez & Pushi","Mil Preguntas"
4,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast","Golden"
5,"Rels B","TU VAS SIN (fav)"
6,"Abraham Mateo & Ana Mena","Quiero Decirte"
7,"Jere Klein, Katteyes & Mateo on the Beatz","TODO KE VER"
8,"La Revulsiva","Tú Vas Sin"
9,"Cazzu","Con Otra"
10,"Alex Warren","Ordinary"
11,"Beéle","no tiene sentido"
12,"Kybba, Sean Paul, Ryan Castro & Busy Signal","Ba Ba Bad Remix"
13,"cjnobeat, MC Morena & MC GW","Até Quebrar a Cama 2.0"
14,"Kidd Voodoo & JC Reyes","Me Mareo"
15,"DJ Japa NK, MC Meno K, MC Ryan SP & Mc Jacaré","Posso Até Não Te Dar Flores (feat. DJ DAVI DOGDOG)"
16,"Don Omar & Kendo Kaponi","El Duro (feat. Kendo Kapponi)"
17,"W Sound, Beéle & Ovy On the Drums","La Plena (W Sound 05)"
18,"4 Non Blondes","What's Up?"
19,"Alleh & Yorghaki","capaz (merengueton)"
20,"Hector Bambino EL Father y Wisin & Yandel","El Teléfono"
21,"Gusttavo Lima & Luis Fonsi","Vagabundo"
22,"Ke personajes & J Balvin","Celosa"
23,"The La Planta, Valen Vargas & Pushi","Si Ésta Casa Hablara"
24,"Nico Valdi, Chofer & El Lobo","Típica Argentina"
25,"Luck Ra","TU MISTERIOSO ALGUIEN (CUARTETO) [feat. Miranda!]"
26,"Pixies","All I Think About Now"
27,"Talita Mel & Xand Avião","Melzinho"
28,"Ovy On the Drums, Quevedo & Beéle","YO y TÚ"
29,"Lola Young","Messy"
30,"Emanero, David Bisbal & Luciano Pereyra","La peligrosa"
31,"Dj Mutha & Exequiel Lopez","Mambinho Brasileño (Turreo Edit)"
32,"Maria Becerra, TINI & XROSS","HASTA QUE ME ENAMORO"
33,"Teddy Swims","Lose Control"
34,"La Dosis & La Nueva Escuela","Si Te Pillara"
35,"Blessd, Anuel AA, Kris R. & Luar La L","YOGURCITO REMIX (feat. ROA, Yan Block)"
36,"Charli xcx & Caroline Polachek","Everything is romantic featuring caroline polachek"
37,"KAROL G","Cuando Me Muera Te Olvido"
38,"oskar med k","Make Me Feel"
39,"MC Tairon & Mc Vitin Da Igrejinha","Baile no Morro (Mixed)"
40,"Jombriel, DFZM & Jøtta","VITAMINA"
41,"Marco Marquez Storytime","Yo Soy Así (Cazzu) (feat. Xpertos Viral)"
42,"Dj Plaga & mamiyosoyelth","Perreo Th 7"
43,"Trippie Redd & Diplo","Wish (Audiomack Trap Symphony Version)"
44,"Germanini, Lyon la f, JhonAlex & Nacho G Flow","Comando Estelar"
45,"Yonrey & Yanley, Dj MasterVega & Spin-Hype","SON DE AMORES"
46,"Chappell Roan","Good Luck, Babe!"
47,"La T y la M & Malandro","Amor de Vago"
48,"Ricky Martin & Carín León","A Medio Vivir"
49,"Feid","SE LO JURO MOR"
50,"La Nueva Escuela","Maquillaje"
51,"John Summit & Britney Spears","I Wanna Go - John Summit Remix"
52,"Julianno Sosa, benjitalkapone & Jairo Vera","y ke pa (Remix)"
53,"La Nueva Escuela","Qloo*"
54,"Sebastián Yatra, Lucho RK, Belinda & Gente de Zona","CANCIÓN PARA REGRESAR"
55,"Ed Sheeran","Azizam"
56,"Beéle","si te pillara"
57,"El Bogueto & Yung Beef","Cuando No Era Cantante"
58,"VALEN & The La Planta","Mix Cumbia VV2: Herederos / Cómo Mirarte / Vas A Quedarte"
59,"Easykid","Shiny"
60,"Maria Becerra & XROSS","7 VIDAS"
61,"cumbia rocha","Suena en la Previa, Vol. 2"
62,"Airbag","Nunca Lo Olvides"
63,"BLOW RECORDS & Mc Jhey","Predador de Perereca"
64,"ROSÉ & Bruno Mars","APT."
65,"DENNIS & Luísa Sonza","Motinha 2.0"
66,"Max Carra & Lira","VIAJEMOS EN EL TIEMPO #1: Quién Te Quiere Como Yo"
67,"Mariana Froes","Figa De Guiné"
68,"La Nueva Escuela","Los Mayores"
69,"THEUZZIN, Mn de Niteroi, 2L Motta & DJ MK De Niterói","BOA NOITE POVO (REMIX)"
70,"Yes","Owner of a Lonely Heart"
71,"Tim Sanders","Do To Me"
72,"Elia y Elizabeth","Soy Una Nube"
73,"Benson Boone","Beautiful Things"
74,"Lady Gaga","Abracadabra"
75,"TINI & Beéle","Universidad"
76,"The La Planta, Junior & Pushi","Mix Cumbia 1"
77,"nimino & Manta","Better"
78,"Tainy, Skrillex & Four Tet","VOLVER (feat. Rauw Alejandro)"
79,"Max Carra","UWAIE (versión cumbia)"
80,"Benson Boone","Mystical Magical"
81,"KAROL G","LATINA FOREVA"
82,"Jonas Blue & Malive","Edge of Desire"
83,"Furacão 2000","Mimosa 2000"
84,"EMIN & JONY","Камин"
85,"Myke Towers & Quevedo","SOLEAO"
86,"Young Cister & Kreamly","QLOO*"
87,"La Nueva Escuela & Rmill","Pon De Tu Parte"
88,"Creedence Clearwater Revival","Have You Ever Seen The Rain"
89,"Bronski Beat","Smalltown Boy"
90,"Gotye","Somebody That I Used to Know (feat. Kimbra)"
91,"George Harrison","Beware of Darkness (2014 Remaster)"
92,"La T y la M","amor de veraNO"
93,"Miranda! & TINI","Me Gusta"
94,"Foreigner","I Want To Know What Love Is (Remastered)"
95,"IZA","Doce Feito Caramelo"
96,"6ix9ine","BEBE (feat. Anuel AA)"
97,"El Plan De La Mariposa","Túnel de la Vida"
98,"The Fall","Big New Prinz"
99,"Aitana","6 DE FEBRERO"
100,"KAROL G","Papasito"
101,"Dj Plaga, Mc Tota & El Turko","La Egresada"
102,"Valen","Vos y Yo"
103,"TINI","Una Noche Más"
104,"Tiziano El Bombón de la Cumbia","El Mismo Aire"
105,"KAROL G","Ivonny Bonita"
106,"Aneley, Maxi Espindola & Valen","Por Ese Hombre"
107,"George Michael","Careless Whisper"
108,"oskar med k & Khalid","nobody (make me feel)"
109,"Nicki Minaj","Beez In The Trap (feat. 2 Chainz)"
110,"Camila Moreno","Hablando a tu corazón"
111,"Beéle","quédate"
112,"Al Bano & Romina Power","Felicità"
113,"Phil Collins","In the Air Tonight"
114,"Trinix & Mariana Froes","Vaitimbora"
115,"Daddy Yankee","Sonríele"
116,"Laura Pausini","MI HISTORIA ENTRE TUS DEDOS"
117,"The Police","Every Breath You Take"
118,"juanssin","Money Call (feat. keloo)"
119,"Gonzy","FRIKI"
120,"KAROL G & Manu Chao","Viajando Por El Mundo"
121,"KAROL G","Si Antes Te Hubiera Conocido"
122,"Lady Gaga & Bruno Mars","Die With A Smile (Acoustic)"
123,"Fuerza Regida & Anuel AA","LOKiTA"
124,"benjitalkapone","Mambinho Brasileño"
125,"DJ Krlos Berrospi","Juerga de Primavera 2025"
126,"Katy Perry","CRUSH"
127,"Mora","DETRÁS DE TU ALMA"
128,"Max Carra & Tincho Di Salvo & Javi Zurro","Loco Enamorado I Varieté #4"
129,"Bob Dylan","Knockin' On Heaven's Door"
130,"Luck Ra, RAMKY EN LOS CONTROLES, The La Planta & La K'onga","FINGÍ DEMENCIA (CUARTETO)"
131,"Miranda!","Tu Misterioso Alguien"
132,"La Penúltima","Mariposas"
133,"Lady Gaga & Bruno Mars","Die With A Smile"
134,"sombr","back to friends"
135,"La Nueva Escuela & Callejero Fino","Embustera"
136,"Nico Valdi, Chofer, El Lobo & Chofer y Lobo","Ay Lobo"
137,"R.E.M.","Losing My Religion"
138,"Seu Jorge","Burguesinha"
139,"Makano","Te Amo"
140,"Bonnie Tyler","Total Eclipse of the Heart"
141,"The Weeknd","Blinding Lights"
142,"Angela Torres","FAVORITA"
143,"Max Carra & Flor Alvarez","VIAJEMOS EN EL TIEMPO #3  Te Amo"
144,"Rockwell","Somebody's Watching Me"
145,"Bon Jovi","Livin' On A Prayer"
146,"Lady Gaga","Always Remember Us This Way"
147,"Tate McRae","you broke me first"
148,"Black Eyed Peas & Shakira","GIRL LIKE ME"
149,"Cristian Marchi","Fast Cars & Superstars (feat. Reverend Haus)"
150,"KAROL G","Milagros"
151,"Keane","Somewhere Only We Know"
152,"La Nueva Escuela","Se Me Olvida / Empelotica"
153,"Lali & Miranda!","MEJOR QUE VOS"
154,"Sabrina Carpenter","Manchild"
155,"Tiago PZK","Domingo"
156,"Starship","Nothing's Gonna Stop Us Now"
157,"Don Omar","Anda Sola"
158,"Toto","Africa"
159,"Marc Segui, Rauw Alejandro & Pol Granch","Tiroteo (Remix)"
160,"No Doubt","Don't Speak"
161,"Pitbull","Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)"
162,"Teddy Swims","Bad Dreams"
163,"David Guetta, Alphaville & Ava Max","Forever Young (Extended)"
164,"Martin Moreno & kid wazi","Session Guaratech #1 Kid Wazi"
165,"Coolio & L.V.","Gangsta's Paradise"
166,"Radiohead","Creep"
167,"Golden Earring","Twilight Zone"
168,"Nicola Di Bari","Il Cuore E' Uno Zingaro"
169,"Guns N' Roses","Sweet Child O' Mine"
170,"Dire Straits","Sultans of Swing"
171,"Benji Bendi","Gata Fina (feat. Villano 13)"
172,"Kim Carnes","Bette Davis Eyes"
173,"Alannah Myles","Black Velvet"
174,"Alphaville","Big In Japan"
175,"Bad Bunny","BAILE INoLVIDABLE"
176,"Bad Bunny, Omar Courtz & Dei V","VeLDÁ"
