
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"Furacão 2000","Mimosa 2000"
2,"Lvbel C5 & AKDO","HA HA HA HA"
3,"ELMAN","С неба (feat. TRIDA)"
4,"Konsta & Sevara Nazarkhan","Asragin meni"
5,"Key-Sun","Bache Tokhs"
6,"AnswerInc","Roulette"
7,"SKAI ISYOURGOD","Stacks from All Sides"
8,"Jaman T","Только у нее"
9,"G'aybulla Tursunov","Quralay"
10,"SABI & MIA BOYKA","Базовый минимум"
11,"OKSII","Shurter"
12,"Namiq Qasımov","Sənin Qədər"
13,"Sevara Nazarkhan","Yur Muhabbat (Live)"
14,"Trippie Redd & Diplo","Wish (Audiomack Trap Symphony Version)"
15,"Saidjon Hoshimov","Shohimardon Soylari"
16,"Shakira","Addicted to You"
17,"MACAN & Basta","Пусть Бог будет рядом с твоими планами"
18,"MONA","Иордан"
19,"Xojiakbar Ruzmetov","Sev Mani"
20,"Tyler, The Creator","Sugar On My Tongue"
21,"PIZZA & NAVAI","Грустный эконом"
22,"Elissa","Baddi Doub"
23,"Stamina Beats","Küsüb Getdi (Boom Bap)"
24,"Xurshid Rasulov","Tulki (Live)"
25,"Gordinho Bolado & felipe original","Eu Tô Fazendo uma Mágica"
26,"Xcho","Зачарованная"
27,"Icegergert & SKY RAE","Наследство"
28,"Sayfalse, Cape & Jxndro","Montagem Rugada"
29,"Sting","Desert Rose (feat. Cheb Mami)"
30,"LoVibe.","a good man with a broken heart"
31,"The Stranglers","Golden Brown"
32,"Xojiakbar Ruzmetov","Ko’rmasam Bo’lmas"
33,"FloyyMenor & Cris MJ","Gata Only"
34,"Vanco","Ma Tnsani (Yalla Habibi) [feat. AYA]"
35,"Yorqinxo'ja Umarov","Telbaman"
36,"EMIN & JONY","Камин"
37,"Charli xcx & Caroline Polachek","Everything is romantic featuring caroline polachek"
38,"The Marías","No One Noticed"
39,"NAVAI & MONA","Есенин"
40,"Shoxrux","Devonangman (feat. Izzat Shukurov)"
41,"Demeter","O.P."
42,"Dilnoz & Shohrux Ummon","Sog'inib"
43,"TARA202","Магистрали"
44,"ZXKAI & slxughter","NO BATIDÃO (Slowed)"
45,"Manuş Baba","Bu Havada Gidilmez"
46,"Aikerim Kalaubaeva","Жүрек неге жылайды"
47,"SXLLX & Oliveira Mc 011","Mama Ma (Slowed)"
48,"Sherine","بتمنى انساك"
49,"Sevdaliza","Ride Or Die, Pt. 2 (feat. Villano Antillano & Tokischa)"
50,"Namiq Qasımov","Sənə Baxım"
51,"Aziz Yuldashev","Qarashlaring"
52,"Zivert","Life"
53,"Menace & Chevy Jones","Traphouse (feat. 211 & Chevy Jones)"
54,"Namiq Qasımov","Sərsəri Aşiq"
55,"Lana Del Rey","Cinnamon Girl"
56,"Maroflex","Gəl gözəlim"
57,"KREZUS & Surreal_dvd","Skins (Ultra Slowed + Reverb)"
58,"Sting","Shape Of My Heart"
59,"Cheb Rezki","Ana Al Ghaltan"
60,"Akmal'","Ты мне покажи..."
61,"ADAM","О тебе малая"
62,"MACAN & YASMI","Jet"
63,"Fundyy","Gamzende Uyut Beni (ESKİ Version)"
64,"Ergashov","Bache Tokhs"
65,"Endshpil","10"
66,"Арам Асатрян","Sirum Em, Sirum Em"
67,"retribq","Benden Sonra"
68,"The Weeknd & Anitta","São Paulo"
69,"Joe Dassin","Et si tu n'existais pas"
70,"MACAN & NAVAI","Неужели это все любовь"
71,"OKSII","Shurter (Speed Up)"
72,"Don Miguelo","Y Qué Fue?"
73,"Enya","Caribbean Blue"
74,"Andromeda & elysian.","MONTAGEM COMA"
75,"AnswerInc","Roulette"
76,"FloyyMenor, Ozuna & Anitta","Gata Only (Remix)"
77,"SkennyBeatz, Mr.Sero & Hazu Romaniei","Cok Güzel"
78,"Empire Of The Sun","We Are The People"
79,"QMIIR","SEMPERO (Super Slowed)"
80,"Ramgharxa","Diss track"
81,"Sura İskenderli","Niye"
82,"Rauf Tagiyev","Keyvan (Etrin duyulur havada)"
83,"Billie Eilish","WILDFLOWER"
84,"Arlene MC","Mamazota"
85,"Vahid Rostami","Getme Yarim"
86,"Sherine","Batmanna Ansak"
87,"HammAli & Navai","А если это любовь?"
88,"Minor live","Dard"
89,"Semicenk","Sen Kaldın"
90,"MOLIY, Silent Addy, Skillibeng & Shenseea","Shake It To The Max (FLY) [Remix]"
91,"Roshka","Ishondingmi"
92,"Sunnatillo Do'stov","Alyonushka"
93,"Konsta","Qizim"
94,"Jaloliddin Ahmadaliyev","Tong Otguncha"
95,"Loreen","Tattoo"
96,"Kim","Confidence"
97,"Gala","Freed From Desire"
98,"Yulduz Turdiyeva","Bizni sevgimiz boshqacha"
99,"Toxi$","November"
100,"MACAN","Май"
101,"Ulug'bek Yulchiyev","Mast Ayladi"
102,"The Stranglers","Golden Brown (Slowed Down Version)"
103,"East Duo","Chubina"
104,"2ke","CALA BOCA PUTA (Super Slowed)"
105,"Xcho","Уйду"
106,"Mahsun Kirmizigül","Sevdim"
107,"Timbaland","Give It to Me (feat. Justin Timberlake & Nelly Furtado)"
108,"Dj Glad, Dj Style & Ward 21","Eagle"
109,"Torbahed","YOSHO HAI MONTAGEM"
110,"TASSO","Таю"
111,"CEO Blessed DJ Savage liquid FM","nanotechnology mind control"
112,"Nilüfer","İnkar Etme"
113,"Ski Aggu, Joost & Otto Waalkes","Friesenjung"
114,"Coolzone","Nasty Jamz"
115,"Saad Lamjarred","Enty (feat. VAN)"
116,"Zemfira","П.М.М.Л."
117,"Jamshid Ximmatov","Oshiq Bu Ko'ngil (Sped up Version)"
118,"Guf","Письмо домой"
119,"Zmeex","Shadow"
120,"İsmail","Ifori Kelsin"
121,"Kıraç","Taş Duvarlar"
122,"GIMS","Est-ce que tu m'aimes ? (Pilule Bleue)"
123,"Səyyad Əlizadə","Bəyaz Gecələr"
124,"Adele","Lovesong"
125,"KHAOS, Jmilton & Mc Jajau","Montagem Supersonic (Slowed)"
126,"BLOK3","napıyosun mesela ?"
127,"Madrigal","Dip"
128,"Sevara Nazarkhan","Izhori Ishq"
129,"Orange Blossom","Ya Sîdî"
130,"Pikapta Raks","Toroslu Yollar"
131,"Asl Wayne","Tushunmidi"
132,"Эдилана Михибаева","Жок дебегин"
133,"Alex Warren","Ordinary"
134,"KATO","Turn The Lights Off (feat. Jon)"
135,"The Neighbourhood","Sweater Weather"
136,"Mashxurbek Yuldashev","Bevafo"
137,"HUSSVRX","I LOVE YOU SO JUMPSTYLE (Slowed)"
138,"Rammstein","Sonne"
139,"Titiyo","Come Along (Nåid 2001 Remix) [Remastered]"
140,"2hollis","poster boy"
141,"Feruza Jumaniyozova","Jim - Jim"
142,"Temur Abdusalimov & Abbbose","Go'zal Yorim"
143,"MXZI, dj Samir & DJ Javi26","Montagem Xonada"
144,"Siavash","Dokhtar Irouni"
145,"Laufey","Confess Your Love (feat. ola.wav) [Jiandro Remix]"
146,"Billie Eilish & Khalid","lovely"
147,"hatikoali","GO!"
148,"G-Eazy & Halsey","Him & I"
149,"Jah Khalib","Колыбельная"
150,"Adele","Skyfall"
151,"Sayfalse & Nulteex","Al Nacer! (Slowed)"
152,"Mania","Фразами к тебе"
153,"Sevinch Ismoilova","Гитарист"
154,"Nefilim La Santisima","SIEMPRE DESPIERTA"
155,"AKORGO BOYS","ДЫК КЫН ДЫШ"
156,"George Michael","Careless Whisper"
157,"JAY-Z","Empire State Of Mind (feat. Alicia Keys)"
158,"Mark Eliyahu & Cem Adrian","Derinlerde"
159,"Anton Ishutin","For You (Nezhdan Remix) [feat. Note U]"
160,"MVSTERIOUS, Hxmr & yngastrobeatz.","SLAVA FUNK! (Slowed)"
161,"DJ TAB","Duydum"
162,"Sibel Bilgiç","Alışamadım"
163,"SHAMI & Мактина","Сердце забрала"
164,"Amy Winehouse","Back To Black"
165,"Eminem","Mockingbird"
166,"Enchan","Very Sad"
167,"Justin S","My Love"
168,"Inna","Caliente (Radio Edit)"
169,"Mr. Menace & Sir Soaked","S.I.A.S.D."
170,"Jaman T","Алая (Kavkaz)"
171,"Inna","Hot"
172,"Dedublüman","Belki (Akustik)"
173,"ния & bir kyz","хороша"
174,"Rıza Tamer","Benden Sonra"
175,"İskender Paydaş","Batsın Bu Dünya (feat. BBD Korosu)"
176,"Mokali","Erkek Neşesi (Super Slowed)"
177,"Adele","Set Fire to the Rain"
178,"SHAMI","Фея"
179,"Serdar Ortaç","Dansöz"
180,"Inabat Jumaniyazova","Joq demeymen"
181,"slxughter","envy (super slowed)"
182,"Abraham Mateo & Ana Mena","Quiero Decirte"
183,"DudePlaya & N!GHTvisiøn","DYSTOPIA (SLOWED)"
184,"V $ X V PRiNCE & Bollo","Пусто"
185,"Indila","Tourner Dans Le Vide"
186,"El Alfa & Noriel","MARTILLANDO"
187,"Lely45","Моя душа"
188,"QMIIR","SEMPERO (Ultra Slowed)"
189,"Skryptonite","не расслабляйся"
190,"Imany","You Will Never Know"
191,"Adele","Rolling in the Deep"
192,"James Arthur","Certain Things (feat. Chasing Grace)"
193,"Alihan Samedov","Sen Gelmez Oldun"
194,"Shoxruxbek Ergashev","Men Jimgina Qolaverdim (LiveLive)"
195,"Vahram Vazyan","Любовь и боль"
196,"Ислам Идигов","В сигаретном дыму"
197,"Akmal'","Мир нам завидовал"
198,"Çağla & Doğu Swag","Seni Düşündüm"
199,"Ahmet Kaya","Bu Gala Daşlı Gala"
200,"Orhan Gencebay","Batsın Bu Dünya (Enstrümantal)"
