
"Monday, 27 October 2025 [performance over the past 7 days]"
Rank,Artist,Title
1,"Global Afro","YA NI SU NOMBRE ME SÉ (Private AfroHouse)"
2,"Abraham Mateo & Ana Mena","Quiero Decirte"
3,"Jezzy & Arcángel","Que Sensación (Remix)"
4,"MPM En El Track","Damela"
5,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast","Golden"
6,"Jere Klein, Katteyes & Mateo on the Beatz","TODO KE VER"
7,"yovngmanota, Anubiis & Rowma","Días Grises 1.0 (feat. Young Garcia) [Remix]"
8,"4 Non Blondes","What's Up?"
9,"Clarent & Omar Courtz","Scatpack"
10,"Charli xcx & Caroline Polachek","Everything is romantic featuring caroline polachek"
11,"Jezzy","Que Sensación"
12,"Donaty & Herido no muerto","Lo Que Pueda"
13,"Blessd, Anuel AA, Kris R. & Luar La L","YOGURCITO REMIX (feat. ROA, Yan Block)"
14,"Young Cister & Kreamly","QLOO*"
15,"Akapellah","La Maluquera"
16,"Clarent","LOVE"
17,"Yiyo Sarante","Manos de Tijera"
18,"Taylor Swift","The Fate of Ophelia"
19,"Silyvi","Never Been Kind (Cee ElAssaad Remix) [feat. Toshi]"
20,"Kybba, Sean Paul, Ryan Castro & Busy Signal","Ba Ba Bad Remix"
21,"W Sound, Beéle & Ovy On the Drums","La Plena (W Sound 05)"
22,"DJ Nosiey SA","The Underground"
23,"Tate McRae","you broke me first"
24,"Beéle","no tiene sentido"
25,"Blessd & GeezyDee","DIOMEDEZ"
26,"Trippie Redd & Diplo","Wish (Audiomack Trap Symphony Version)"
27,"El Bogueto & Yung Beef","Cuando No Era Cantante"
28,"Melchior Bachmann","Blow (Re.You Remix)"
29,"Tim Sanders","Do To Me"
30,"Daddy Yankee","Sonríele"
31,"cjnobeat, MC Morena & MC GW","Até Quebrar a Cama 2.0"
32,"Alleh & Yorghaki","capaz (merengueton)"
33,"El Alfa, Jon Z & Alofoke Music","BUM BUM"
34,"sombr","back to friends"
35,"ELENA ROSE & Justin Quiles","COSITA LINDA"
36,"Peso Pluma & Estevan Plazola","HOLLYWOOD"
37,"Kapo & Ryan Castro","DÓNDE"
38,"Boza & Sech","París"
39,"JHAYCO","Viene BASQUIAT…"
40,"Danny Ocean","Corazón"
41,"EMIN & JONY","Камин"
42,"Makano","Te Amo"
43,"MC LIPZL & DJ FÊNIX","Sequência de Ritmada 7"
44,"Arlene MC, Ceky Viciny & Alofoke Music","La Casa de Alofoke 2"
45,"Mora & De La Rose","AURORA"
46,"Bryant Myers","Cualquiera Tiene Ticket"
47,"Héctor & Tito","Besos en la Boca"
48,"VAD BOYZ","MUEVELOU"
49,"Jory Boy & Chencho Corleone","Incorregible"
50,"Alex Warren","Ordinary"
51,"Mora","DETRÁS DE TU ALMA"
52,"ZXKAI & slxughter","NO BATIDÃO (Slowed)"
53,"Furacão 2000","Mimosa 2000"
54,"Heavy-K","As'buyeli (feat. Drumetic Boyz & MalumNator)"
55,"Binomio de Oro de América","No Me Resignaré"
56,"De La Rose & Omar Courtz","NUBES"
57,"Easykid","Shiny"
58,"Omar Courtz & Bad Gyal","Comernos"
59,"Pitbull","Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)"
60,"SAIKO & Omar Courtz","LOKENECESITAS"
